Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Area;Esc;Mes;Dpto;Fex_c_2011
2924969;1;1;1;10;1;2;1;5;1953;58;1;4;1; ; ;1;5; ;1;1;2; ;5;11;2;17;11;04;17;147,710110513385
2924969;1;2;1;10;2;1;1;4;1980;31;3;6;1; ; ;1;3;70838;2;1;1;2;6;3;2;17;14;04;17;147,710110513385
2924970;1;1;1;10;1;2;1;6;1979;32;1;6;1; ; ;1;1;22668;2;1;2; ;6;4;3;17;15;04;17;176,056103364274
2924970;1;2;1;10;1;2;1;12;2002;9;3; ;1; ; ;1;5; ;2;1;1;2;3;3; ;17;3;04;17;176,056103364274
2924970;1;3;1;10;3;2;1;6;1954;57;5;4;1; ; ;1;2;68004;2;1;2; ;3;5; ;17;5;04;17;176,056103364274
2924971;1;1;1;10;1;1;1;5;1988;23;1;6;1; ; ;3; ; ;2;1;1;1;6;4;2;17;15;04;17;176,670451371364
2924972;1;1;1;10;1;1;1;2;1941;71;1;4;1; ; ;1;2;93000;2;1;2; ;3;5; ;17;5;04;17;155,746718632984
2924973;1;1;1;10;1;1;1;4;1978;34;1;2;1; ; ;1;1;32000;2;1;2; ;5;11;2;17;11;04;17;177,048566750306
2924973;1;2;1;10;1;2;1;11;1986;25;2;2;1; ; ;1;5; ;2;1;2; ;6;5;4;17;16;04;17;177,048566750306
2924973;1;3;1;10;1;2;1;4;2010;1;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;17; ;04;17;177,048566750306
2924974;1;1;1;10;1;1;1;10;1946;65;1;3;1; ; ;1;2;68004;2;1;2; ;3;5; ;17;5;04;17;137,036722893819
2924974;1;2;1;10;2;2;1;2;1952;60;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;17;5;04;17;137,036722893819
2924974;1;3;1;10;3;1;1;11;1984;27;3;6;1; ; ;1;3;70838;2;1;1;2;6;0;2;17;11;04;17;137,036722893819
2924975;1;1;1;10;1;1;1;11;1939;72;1;3;1; ; ;1;2;68004;2;1;2; ;6;1;2;17;12;04;17;145,895489070386
2924975;1;2;1;10;2;2;1;2;1944;68;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;17;5;04;17;145,895489070386
2924976;1;1;1;10;1;2;1;8;1983;28;1;6;2;1;6; ; ; ;1;1;1;1;6;3;2;17;14;04;17;160,950454276805
2924977;1;1;1;10;1;2;1;12;1948;63;1;5;1; ; ;1;2;68004;2;1;2; ;4;7; ;17;7;04;17;147,710110513385
2924977;1;2;1;10;1;1;1;8;1981;30;3;6;1; ; ;1;5; ;2;1;2; ;5;11;2;17;11;04;17;147,710110513385
2924979;1;1;1;10;1;2;1;9;1948;63;1;4;1; ; ;3; ; ;2;1;2; ;3;3; ;17;3;04;17;172,64421935781
2924979;1;2;1;10;2;2;1;10;1970;41;3;4;1; ; ;1;6; ;2;1;2; ;3;5; ;17;5;04;17;172,64421935781
2924979;1;3;1;10;3;2;1;4;1994;18;4;6;1; ; ;1;5; ;2;1;1;1;6;0;2;17;11;04;17;172,64421935781
2924979;1;4;1;10;3;2;1;4;2011;0;5; ;1; ; ;3; ; ;2; ; ; ; ; ; ;17; ;04;17;172,64421935781
2924979;1;5;1;10;1;2;1;8;1995;16;4;6;1; ; ;1;5; ;2;1;1;1;4;7; ;17;7;04;17;172,64421935781
2924980;1;1;1;10;1;2;1;10;1964;47;1;4;1; ; ;1;1;32000;2;1;2; ;6;5;4;17;16;04;17;159,244512273573
2924980;1;2;1;10;1;2;1;3;1998;14;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;17;8;04;17;159,244512273573
