DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;MES;DPTO;fex_c_2011
3231117;1;1;1;10;1;1;1;9;1969;43;1;4;2;1;60; ; ; ;2;1;2; ;3;5; ;2;5;06;63;893,344667359234
3231117;1;2;1;10;1;2;1;3;2001;12;3;6;2;1;60; ; ; ;2;1;1;1;4;0; ;2;5;06;63;893,344667359234
3231118;1;1;1;10;1;1;1;7;1983;29;1;2;1; ; ;1;1;23600;2;1;2; ;5;11;2;2;11;06;63;773,519933751301
3231118;1;2;1;10;2;2;1;10;1984;28;2;2;1; ; ;1;2;70700;2;1;2; ;3;5; ;2;5;06;63;773,519933751301
3231118;1;3;1;10;2;2;1;3;2001;12;3;6;1; ; ;1;5; ;2;1;1;1;4;0; ;2;5;06;63;773,519933751301
3231118;1;4;1;10;2;2;1;3;2010;3;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;06;63;773,519933751301
3231119;1;1;1;10;1;2;1;10;1949;63;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;06;63;910,191598900286
3231119;1;2;1;10;2;1;1;4;1950;63;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;06;63;910,191598900286
3231120;1;1;1;10;1;1;1;11;1955;57;1;2;2;1;24; ; ; ;2;1;2; ;5;11;2;2;11;06;63;456,562604168125
3231120;1;2;1;10;2;2;1;9;1972;40;2;2;2;1;24; ; ; ;2;1;2; ;5;11;2;2;11;06;63;456,562604168125
3231120;1;3;1;10;3;2;1;4;1997;16;3;6;2;1;24; ; ; ;2;1;1;1;4;8; ;2;8;06;63;456,562604168125
3231120;1;4;1;10;2;2;1;1;2006;7;3; ;2;1;24; ; ; ;2;1;1;1;3;1; ;2;1;06;63;456,562604168125
3231120;1;5;1;10;5;2;1;2;1969;44;5;6;1; ; ;1;3;73700;2;1;2; ;4;8; ;2;8;06;63;456,562604168125
3231121;1;1;1;10;1;1;1;12;1968;44;1;4;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;06;63;963,349026499548
3231124;1;1;1;10;1;1;1;4;1970;43;1;2;2;1;1; ; ; ;2;2;2; ;1;0; ;2;0;06;63;867,050543238275
3231124;1;2;1;10;2;2;1;1;1968;45;2;2;2;1;1; ; ; ;2;1;2; ;3;3; ;2;3;06;63;867,050543238275
3231124;1;3;1;10;2;1;1;10;2004;8;4; ;2;1;1; ; ; ;2;1;1;1;3;2; ;2;2;06;63;867,050543238275
3231124;1;4;1;10;2;2;1;8;2006;6;4; ;2;1;1; ; ; ;2;2;1;1;3;0; ;2;0;06;63;867,050543238275
3231125;1;1;1;10;1;1;1;2;1965;48;1;3;1; ; ;1;4; ;2;1;2; ;4;9; ;2;9;06;63;836,783954039793
