DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
823519;1;3;1;70;2;36;48;1;;2;60;1;;9;1;;;;;;;;;;1;;2;;2;95;62;1;1;2;112;25;192.702.298.365.023
828831;1;3;1;70;2;8;40;1;;2;8;1;;4;1;;;;;;;;;;1;;2;;2;62;62;1;1;1;121;15;582.725.385.834.082
828883;1;2;1;70;2;4;40;1;;2;8;2;;9;3;;;;;1;;;;;;;2;;2;62;58;75;1;1;7522;15;160.243.252.800.469
828883;1;3;1;70;2;12;30;4;;1;;;.;;;.;.;;;;;;;;;.;;;;77;;;1;1;;15;160.243.252.800.469
829012;1;2;1;70;2;30;48;3;;2;30;3;;1;2;;;;;;;;1;;;;2;;2;54;54;95;1;2;9500;15;118.049.086.604.067
829023;1;3;1;70;2;40;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;15;148.207.458.029.287
829036;1;3;1;70;2;4;48;1;;2;4;8;;2;1;;;;;1;;;;;;;1;120000;2;62;62;1;1;1;118;15;150.097.142.613.256
829036;1;4;1;70;2;8;48;1;;2;8;8;;3;4;;;;;;;;;;1;;2;;2;62;62;1;1;1;118;15;150.097.142.613.256
829070;1;1;1;70;2;3;48;1;;2;3;1;;3;1;;;;;;;;;;1;;1;400000;2;95;95;45;1;1;4521;15;193.718.782.430.176
830435;1;1;1;70;2;4;48;3;;2;84;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;23;116.142.372.722.063
830439;1;2;1;70;2;4;48;8;;1;;;.;;;.;.;;;;;;;;;.;;;;62;;;1;1;;23;143.413.292.244.846
830451;1;2;1;70;2;16;30;3;;2;24;4;;9;1;;;;;;;;;;1;;2;;2;54;55;85;1;2;8511;23;279.463.562.437.759
830455;1;3;1;70;2;6;30;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;23;149.306.037.307.478
832507;2;1;2;70;2;3;48;8;;2;4;1;;8;7;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;66;130.026.268.120.846
832512;1;3;1;70;2;4;50;1;;2;4;1;;4;3;;;;;;;;;;1;;2;;2;95;85;45;1;1;4542;66;173.628.521.864.532
832931;1;2;1;70;2;4;24;4;;2;180;3;;1;1;;;;;;;;;;1;;2;;2;94;54;95;1;1;9500;73;282.803.310.829.117
832943;1;2;1;70;2;4;56;3;;2;6;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;73;178.144.390.627.252
832943;1;3;1;70;2;4;20;8;;2;52;8;;3;1;;;;;;;;;;1;;2;;2;62;62;1;1;1;111;73;178.144.390.627.252
832957;1;2;1;70;2;52;56;1;;2;260;2;;9;1;;;;;;;;;;1;;2;;2;55;54;85;1;2;8532;73;189.973.730.829.997
832958;1;1;1;70;2;12;56;8;;2;12;8;;4;1;;;;;;;;;;1;;2;;2;62;62;1;1;1;115;73;228.193.182.223.437
832958;1;2;1;70;2;52;56;3;;2;36;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;2;9500;73;228.193.182.223.437
832958;1;4;1;70;2;8;30;8;;2;8;4;;1;1;;;;;;;;;;1;;1;40000;2;62;97;63;1;1;6310;73;228.193.182.223.437
832994;1;3;1;70;2;2;40;1;;2;24;1;;4;1;;;;;;;;;;1;;2;;2;45;45;15;1;1;1551;73;184.160.198.771.687
833010;1;5;1;70;2;8;48;8;;2;8;8;;2;1;;;;;;;;;;1;;1;120000;2;62;62;1;1;1;111;73;2.127.894.229.195
833020;1;2;1;70;2;8;40;4;;1;;;.;;;.;.;;;;;;;;;.;;;;41;;;1;1;;73;199.045.288.380.178
833058;1;3;1;70;2;26;48;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;2;;73;253.684.164.731.153
833060;1;2;1;70;2;8;48;4;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;77;77;15;1;1;1551;73;180.902.173.279.815
833066;1;2;1;70;2;4;48;4;;2;4;1;;3;1;;;;;;;;;;1;;1;75000;2;53;50;55;1;1;5521;73;199.230.869.944.338
833069;1;4;1;70;2;32;48;3;;2;32;1;;4;1;;;;;;;;;;1;;2;;2;54;71;13;1;2;1320;73;202.907.705.695.606
833069;1;8;1;70;2;6;48;3;;2;12;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;73;202.907.705.695.606
833071;1;4;1;70;2;4;48;3;;2;24;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;73;243.306.286.490.926
833072;1;3;1;70;2;12;48;4;;1;;;.;;;.;.;;;;;;;;;.;;;;57;;;1;1;;73;231.451.207.715.309
834943;1;2;1;70;2;36;48;4;;2;36;1;;7;4;;;;;;;;;;1;;2;;2;61;95;45;1;2;4530;13;152.370.106.274.928
834952;1;2;1;70;2;4;48;3;;2;4;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;13;211.172.618.688.623
834954;1;1;1;70;2;4;48;3;;2;16;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;13;10.531.477.696.408
834956;1;2;1;70;2;8;48;4;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;61;61;1;1;1;140;13;19.478.026.923.359
834960;1;3;1;70;2;8;50;4;;2;8;4;;1;4;;;;;;;;;;1;;2;;2;61;61;1;1;1;140;13;26.108.878.756.755
834964;1;3;1;70;2;16;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;2;;13;197.167.540.299.297
834977;1;1;1;70;2;60;48;4;;2;192;1;;2;8;;;;;;;;;;1;;2;;2;61;85;50;1;2;5020;13;10.531.477.696.408
