DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,DPTO,fex_c_2011
817580,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,144.925.042.546.052
817580,1,2,1,50,2,2,1,,,,,,,,,,,,,,,,63,144.925.042.546.052
817580,1,3,1,50,2,3,3,,2,2,2,2,,,2,,,,,,,,63,144.925.042.546.052
817581,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,143.384.964.027.964
817581,1,2,1,50,2,2,4,,2,2,1,,,,,,,,,,,,63,143.384.964.027.964
817581,1,3,1,50,2,2,3,,2,2,2,2,,,2,,,,,,,,63,143.384.964.027.964
817583,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,141.643.039.300.502
817583,1,2,1,50,2,2,1,,,,,,,,,,,,,,,,63,141.643.039.300.502
817583,1,3,1,50,2,3,1,,,,,,,,,,,,,,,,63,141.643.039.300.502
817584,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,149.224.400.081.231
817584,1,2,1,50,2,2,4,,2,2,1,,,,,,,,,,,,63,149.224.400.081.231
817584,1,4,1,50,2,4,1,,,,,,,,,,,,,,,,63,149.224.400.081.231
817585,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,16.149.571.336.311
817587,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,131.027.806.684.641
817587,1,2,1,50,2,2,4,,2,2,1,,,,,,,,,,,,63,131.027.806.684.641
817587,1,3,1,50,2,1,4,,2,2,2,2,,,2,,,,,,,,63,131.027.806.684.641
817587,1,5,1,50,2,5,2,,2,2,1,,,,,,,,,,,,63,131.027.806.684.641
817588,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,13.761.465.868.511
817588,1,2,1,50,2,2,4,,2,2,2,2,,,1,10,,,,,,,63,13.761.465.868.511
817588,1,3,1,50,2,2,3,,2,2,2,2,,,2,,,,,,,,63,13.761.465.868.511
817590,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,63,144.765.049.881.835
817590,1,2,1,50,2,2,4,,2,2,2,2,,,2,,,,,,,,63,144.765.049.881.835
823418,1,1,1,50,2,1,4,,2,2,2,2,,,2,,,,,,,,25,183.024.296.177.503
823419,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,25,305.936.350.595.426
823419,1,2,1,50,2,1,4,,2,2,2,2,,,2,,,,,,,,25,305.936.350.595.426
823420,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,25,268.231.804.582.108
823420,1,2,1,50,2,1,4,,2,2,2,2,,,2,,,,,,,,25,268.231.804.582.108
823420,1,3,1,50,2,1,3,,2,2,2,2,,,2,,,,,,,,25,268.231.804.582.108
823420,1,4,1,50,2,1,3,,2,2,2,2,,,2,,,,,,,,25,268.231.804.582.108
823421,1,1,1,50,2,4,4,,2,2,2,2,,,2,,,,,,,,25,920.287.004.207.496
823421,1,2,1,50,2,4,4,,2,2,2,2,,,2,,,,,,,,25,920.287.004.207.496
823421,1,3,1,50,2,3,1,,,,,,,,,,,,,,,,25,920.287.004.207.496
823421,1,4,1,50,2,4,1,,,,,,,,,,,,,,,,25,920.287.004.207.496
823421,1,5,1,50,2,4,1,,,,,,,,,,,,,,,,25,920.287.004.207.496
823425,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,25,227.374.769.451.567
823425,1,2,1,50,2,1,4,,2,2,2,2,,,2,,,,,,,,25,227.374.769.451.567
823425,1,3,1,50,2,1,3,,2,2,2,2,,,2,,,,,,,,25,227.374.769.451.567
823425,1,4,1,50,2,1,3,,2,2,2,2,,,2,,,,,,,,25,227.374.769.451.567
823426,1,1,1,50,2,2,1,,,,,,,,,,,,,,,,25,147.601.210.512.418
823426,1,2,1,50,2,2,4,,2,2,2,2,,,2,,,,,,,,25,147.601.210.512.418
823427,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,25,206.607.944.767.802
823428,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,25,134.732.784.686.248
823428,1,2,1,50,2,1,4,,2,2,2,2,,,1,2,,2,,2,,,25,134.732.784.686.248
823428,1,3,1,50,2,1,3,,2,2,2,2,,,2,,,,,,,,25,134.732.784.686.248
823465,1,1,1,50,2,1,6,ENFERMA,2,2,2,2,,,2,,,,,,,,25,920.287.004.207.496
823465,1,2,1,50,2,2,4,,2,2,2,2,,,2,,,,,,,,25,920.287.004.207.496
823465,1,3,1,50,2,3,1,,,,,,,,,,,,,,,,25,920.287.004.207.496
823465,1,4,1,50,2,4,1,,,,,,,,,,,,,,,,25,920.287.004.207.496
823465,1,5,1,50,2,5,4,,2,2,2,2,,,1,10,,,,,,,25,920.287.004.207.496
823465,1,6,1,50,2,6,1,,,,,,,,,,,,,,,,25,920.287.004.207.496
823466,1,1,1,50,2,1,1,,,,,,,,,,,,,,,,25,175.674.900.093.084
823466,1,2,1,50,2,2,1,,,,,,,,,,,,,,,,25,175.674.900.093.084
823466,1,3,1,50,2,3,1,,,,,,,,,,,,,,,,25,175.674.900.093.084
