DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;AREA;FT;DPTO;fex_c_2011
803411;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;5;1;5;819.797.140.576.471
803412;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;5;1;5;706.224.567.456.494
803412;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;706.224.567.456.494
803413;1;1;1;90;;2;;2;2;1;2;2;1;2;2;2;;;;;28;;;2;;;;5;1;5;850.369.506.193.844
803413;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;54;;30;;;;;;;5;1;5;850.369.506.193.844
803414;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;24;;;;;;;;;5;1;5;65.577.309.557.793
803414;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;5;1;5;65.577.309.557.793
803414;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;5;1;5;65.577.309.557.793
803415;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;5;1;5;672.500.997.446.207
803415;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;54;;;;;;;;;5;1;5;672.500.997.446.207
803415;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;672.500.997.446.207
803415;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;5;1;5;672.500.997.446.207
803416;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;68.020.413.348.359
803416;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;50;;20;;;;;;;5;1;5;68.020.413.348.359
803416;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;68.020.413.348.359
803416;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;5;1;5;68.020.413.348.359
803417;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;218.483.243.761.826
803417;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;5;1;5;218.483.243.761.826
803417;1;3;1;90;;2;;1;2;2;2;2;2;2;2;1;;;4;;;;;;;;25;5;1;5;218.483.243.761.826
803418;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;5;1;5;792.011.587.941.054
803420;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;5;1;5;236.863.616.261.074
803421;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;651.234.139.751.394
803421;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;651.234.139.751.394
803421;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;2;;1;;;;;;;5;1;5;651.234.139.751.394
803421;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;651.234.139.751.394
803421;1;6;1;90;;2;;1;2;2;2;2;2;2;2;2;;;1;;;;;;;;;5;1;5;651.234.139.751.394
803421;1;7;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;5;1;5;651.234.139.751.394
803422;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;30;;;;;;;5;1;5;709.117.373.599.438
803422;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;3;;5;;;;;;;5;1;5;709.117.373.599.438
803423;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;201.077.427.733.209
803423;1;2;1;90;;2;;1;2;2;1;2;1;2;2;2;;;21;;;24;;2;;;;5;1;5;201.077.427.733.209
803424;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;5;;10;;;;;;;5;1;5;63.666.974.358.763
803424;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;5;1;5;63.666.974.358.763
803426;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;5;1;5;536.485.800.485.044
803426;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;5;1;5;536.485.800.485.044
803426;2;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;5;1;5;536.485.800.485.044
803426;2;2;2;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;5;1;5;536.485.800.485.044
803427;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;141.244.913.491.299
803427;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;25;;;;;;;;;5;1;5;141.244.913.491.299
803429;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;30;;;;;;;5;1;5;165.187.693.657.637
803430;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;5;;;;;;;5;1;5;113.326.312.072.723
803430;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;40;;;;;;;5;1;5;113.326.312.072.723
803431;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;6;;;;;;;5;1;5;140.751.673.410.471
