DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,DPTO,AREA,fex_c_2011
803400,1,2,1,70,1,1,24,4,,2,98,1,,7,4,,,,,,,,,,1,,2,,2,45,97,28,1,1,2899,5,5,694.689.130.349.688
803416,1,2,1,70,1,4,48,4,,2,98,1,,6,2,,,,,,,,,,1,,2,,2,79,33,55,1,1,5529,5,5,68.020.413.348.359
803420,1,1,1,70,1,16,48,1,,2,16,1,,9,4,,,,,,,,,,1,,2,,2,38,38,62,1,2,6211,5,5,236.863.616.261.074
803421,1,7,1,70,1,2,10,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,5,5,651.234.139.751.394
803434,1,2,1,70,1,3,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,5,5,201.077.427.733.209
803436,1,2,1,70,1,24,10,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,5,5,751.488.280.093.602
803444,1,3,1,70,1,12,48,1,,2,12,1,,5,4,,,,,,,,,,1,,2,,2,32,32,64,1,1,6412,5,5,956.722.302.631.592
803446,1,3,1,70,1,8,48,1,,2,8,1,,5,1,,,,,,,,,,1,,2,,2,75,75,18,1,1,1810,5,5,828.326.201.154.785
803447,1,3,1,70,1,36,48,1,,2,48,4,,4,1,,,,,,,,,,1,,2,,2,45,79,18,1,2,1810,5,5,417.110.431.144.085
803450,1,2,1,70,1,36,48,1,,2,36,1,,4,1,,,,,,,,,,1,,2,,2,37,45,52,1,2,5234,5,5,644.956.659.125.666
803453,1,2,1,70,1,96,48,1,,2,96,1,,4,1,,,,,,,,,,1,,2,,2,0,55,70,1,2,7020,5,5,95.638.377.114.086
803453,1,3,1,70,1,16,48,3,,2,16,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,5,5,95.638.377.114.086
803460,1,4,1,70,1,48,48,4,,2,48,4,,1,1,,,,,,,,,,1,,2,,2,98,98,60,1,2,6031,5,5,96.360.354.782.309
803462,1,2,1,70,1,48,48,1,,2,999,1,,3,2,,,,,,,,,,1,,2,,2,55,80,19,1,2,1921,5,5,728.277.479.206.087
803463,1,4,1,70,1,30,48,1,,2,30,1,,3,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5234,5,5,745.431.986.813.168
803466,1,2,1,70,1,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,5,5,134.051.618.488.806
803468,1,2,1,70,1,96,48,1,,2,96,1,,7,2,,,,,,,,,,1,,2,,2,21,21,24,1,2,2429,5,5,211.867.370.236.948
803471,1,3,1,70,1,12,48,1,,2,12,1,,4,6,,,,,,,,,,1,,2,,2,45,45,52,1,1,5233,5,5,854.987.861.318.046
