DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
817580,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,63,144.925.042.546.052
817581,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,63,143.384.964.027.964
817587,1,3,1,80,2,2,,,,2,,2,,1,3,,6,,1,63,131.027.806.684.641
817588,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,63,13.761.465.868.511
817588,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,63,13.761.465.868.511
817590,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,63,144.765.049.881.835
823418,1,1,1,80,2,1,9,8,POR LA EDAD,2,,2,,,,,8,2,1,25,183.024.296.177.503
823419,1,2,1,80,2,1,1,6,,2,,2,,,1,,1,1,1,25,305.936.350.595.426
823420,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,268.231.804.582.108
823420,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,268.231.804.582.108
823420,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,268.231.804.582.108
823421,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,25,920.287.004.207.496
823421,1,2,1,80,2,2,,,,3,,2,,2,,.,,,1,25,920.287.004.207.496
823425,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,227.374.769.451.567
823425,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,227.374.769.451.567
823425,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,227.374.769.451.567
823426,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,147.601.210.512.418
823428,1,2,1,80,2,2,,,,2,,2,,1,1,,1,,1,25,134.732.784.686.248
823428,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,134.732.784.686.248
823465,1,1,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,920.287.004.207.496
823465,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,920.287.004.207.496
823465,1,5,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,920.287.004.207.496
823466,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,175.674.900.093.084
823468,1,3,1,80,2,1,1,1,,2,,2,,,,,2,2,1,25,353.903.194.183.061
823468,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,25,353.903.194.183.061
823468,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,25,353.903.194.183.061
823470,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,186.347.573.768.436
823472,1,2,1,80,2,1,2,2,,2,,2,,,,,9,2,1,25,240.747.611.576.178
823473,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,937.906.692.794.124
