DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;AREA;FT;DPTO;fex_c_2011
803399;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;84.960.671.736.764;5;850.369.506.193.844
803399;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;84.960.671.736.764;5;850.369.506.193.844
803400;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;694.375.550.637.626;5;694.689.130.349.688
803400;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;694.375.550.637.626;5;694.689.130.349.688
803400;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;694.375.550.637.626;5;694.689.130.349.688
803401;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;780.234.773.348.382;5;780.388.076.586.176
803401;1;2;1;95;2;;;;;;;;1;2;;1;;;52000;;;;2;2;2;1400000;1;5;780.234.773.348.382;5;780.388.076.586.176
803402;1;1;1;95;2;;;;;;;;1;2;;1;;;53000;;;;2;2;2;1400000;1;5;918.978.661.386.898;5;920.350.935.801.512
803402;1;2;1;95;2;;;;;;;;1;2;;2;;;;;;;2;2;2;450000;1;5;918.978.661.386.898;5;920.350.935.801.512
803403;1;1;1;95;2;;;;;;;;1;2;;2;;;;;;4500000;2;1;2;;2;5;706.216.573.688.656;5;706.224.567.456.494
803403;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;706.216.573.688.656;5;706.224.567.456.494
803404;1;1;1;95;2;;;;;;;;1;2;;2;;;;;;;2;2;2;24000000;1;5;890.865.843.760.246;5;891.099.164.194.933
803404;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;890.865.843.760.246;5;891.099.164.194.933
803404;1;3;1;95;2;;;;;;;;1;2;;2;;;;;;;2;2;2;1000000;1;5;890.865.843.760.246;5;891.099.164.194.933
803404;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;890.865.843.760.246;5;891.099.164.194.933
803405;1;1;1;95;2;;;;;;;;1;2;;1;;;2000000;;;;2;2;2;;2;5;608.516.327.926.869;5;6.089.901.841.132
803405;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;608.516.327.926.869;5;6.089.901.841.132
803405;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;608.516.327.926.869;5;6.089.901.841.132
803405;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;608.516.327.926.869;5;6.089.901.841.132
803406;1;1;1;95;2;;;;;;;;1;2;;1;;;52000;;;;2;2;2;;2;5;733.614.508.417.159;5;73.570.056.622.516
803406;1;2;1;95;2;;;;;;;;1;2;;2;;;;;;;2;2;2;100000;1;5;733.614.508.417.159;5;73.570.056.622.516
803406;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;733.614.508.417.159;5;73.570.056.622.516
803406;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;733.614.508.417.159;5;73.570.056.622.516
803406;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;733.614.508.417.159;5;73.570.056.622.516
803407;1;1;1;95;2;;;;;;;;1;2;;1;;;180000;;;;2;2;2;;2;5;791.286.274.853.256;5;792.011.587.941.054
803408;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;791.286.274.853.256;5;792.011.587.941.054
803409;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;598.780.453.791.405;5;596.990.279.194.023
803409;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;598.780.453.791.405;5;596.990.279.194.023
803409;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;;;;;5;598.780.453.791.405;5;596.990.279.194.023
803409;1;4;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;;;5;598.780.453.791.405;5;596.990.279.194.023
