DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
803399;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;850.369.506.193.844
803400;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;694.689.130.349.688
803403;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;706.224.567.456.494
803404;1;4;1;80;5;1;2;1;;2;;2;;;1;;2;1;1;5;891.099.164.194.933
803405;1;2;1;80;5;1;4;7;;2;;2;;;;;9;2;1;5;6.089.901.841.132
803405;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;6.089.901.841.132
803405;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;6.089.901.841.132
803406;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;73.570.056.622.516
803409;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;596.990.279.194.023
803409;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;596.990.279.194.023
803409;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;596.990.279.194.023
803409;1;5;1;80;5;1;3;4;;3;;2;;;;;10;2;1;5;596.990.279.194.023
803409;2;1;2;80;5;1;4;6;;3;;2;;;;PORQUE TENIA UN CARRO Y TRABAJABA COMO INDEPENDIENTE Y SE  LO  ROBARON;12;2;1;5;596.990.279.194.023
803409;2;2;2;80;5;2;;;;2;;2;;2;;.;;;1;5;596.990.279.194.023
803409;2;5;2;80;5;2;;;;2;;2;;2;;.;;;1;5;596.990.279.194.023
803409;2;6;2;80;5;2;;;;2;;2;;2;;.;;;1;5;596.990.279.194.023
803411;1;1;1;80;5;2;;;;3;;2;;2;;.;;;1;5;819.797.140.576.471
803411;1;4;1;80;5;1;4;3;;2;;2;;;;;4;2;1;5;819.797.140.576.471
803412;1;1;1;80;5;1;4;3;;3;;2;;;;;4;2;1;5;706.224.567.456.494
803413;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;850.369.506.193.844
803414;1;2;1;80;5;1;3;6;;2;;2;;;2;;5;1;1;5;65.577.309.557.793
803414;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;65.577.309.557.793
803415;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;672.500.997.446.207
803415;1;3;1;80;5;1;1;1;;2;;2;;;;;2;2;1;5;672.500.997.446.207
803415;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;672.500.997.446.207
803416;1;4;1;80;5;1;1;1;;2;;2;;;;;2;2;1;5;68.020.413.348.359
803417;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;218.483.243.761.826
803421;1;1;1;80;5;2;;;;2;;2;;2;;.;;;1;5;651.234.139.751.394
803423;1;1;1;80;5;1;4;3;;3;;2;;;;;4;2;1;5;201.077.427.733.209
803423;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;201.077.427.733.209
803426;2;2;2;80;5;2;;;;2;;2;;2;;.;;;1;5;536.485.800.485.044
803430;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;113.326.312.072.723
803433;1;1;1;80;5;1;2;2;;2;;2;;;;;9;2;1;5;237.705.035.829.536
803434;1;1;1;80;5;1;2;6;;2;;2;;;;;11;2;1;5;201.077.427.733.209
803437;1;2;1;80;5;1;2;2;;2;;2;;;;;9;2;1;5;212.735.212.079.831
803438;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;909.456.031.811.709
803438;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;909.456.031.811.709
803439;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;818.594.780.566.776
803439;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;818.594.780.566.776
803440;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;661.100.781.493.289
803443;1;1;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;637.648.808.195.363
803443;1;4;1;80;5;1;4;3;;2;;2;;;;;8;2;1;5;637.648.808.195.363
803443;1;5;1;80;5;1;4;3;;2;;2;;;;;9;2;1;5;637.648.808.195.363
803444;1;1;1;80;5;1;1;7;;2;;2;;;;;8;2;1;5;956.722.302.631.592
803446;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;828.326.201.154.785
803447;1;1;1;80;5;2;;;;3;;2;;2;;.;;;1;5;417.110.431.144.085
803447;1;6;1;80;5;2;;;;2;;2;;2;;.;;;1;5;417.110.431.144.085
803448;1;1;1;80;5;1;3;6;;2;;2;;;;;8;2;1;5;194.461.554.208.331
803449;1;2;1;80;5;1;4;6;;2;;2;;;;;9;2;1;5;765.903.079.720.077
803450;1;4;1;80;5;1;1;7;;2;;2;;;1;;4;1;1;5;644.956.659.125.666
803451;2;1;2;80;5;1;2;7;;2;;2;;;;;2;2;1;5;709.117.373.599.438
803453;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;95.638.377.114.086
803454;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;854.987.861.318.046
803454;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;854.987.861.318.046
803455;1;2;1;80;5;1;2;2;;2;;2;;;;;9;2;1;5;566.631.560.363.613
803457;1;2;1;80;5;1;1;3;;2;;2;;;;;4;2;1;5;830.113.033.738.488
803457;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;830.113.033.738.488
803462;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;728.277.479.206.087
803464;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;157.451.602.332.593
803468;1;1;1;80;5;1;4;3;;2;;2;;;;;8;2;1;5;211.867.370.236.948
803471;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;854.987.861.318.046
803472;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;835.884.509.327.746
803473;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;615.683.970.693.843
803473;2;1;2;80;5;2;;;;2;;2;;2;;.;;;1;5;615.683.970.693.843
803476;1;1;1;80;5;1;1;3;;2;;2;;;;;4;2;1;5;737.864.071.929.673
803476;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;737.864.071.929.673
803477;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;833.079.777.432.875
803478;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;799.491.428.576.476
803478;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;799.491.428.576.476
803484;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;622.184.746.721.532
803485;1;1;1;80;5;1;2;4;;3;;2;;;;;10;2;1;5;686.598.958.254.755
803485;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;686.598.958.254.755
803485;1;7;1;80;5;2;;;;2;;2;;2;;.;;;1;5;686.598.958.254.755
803487;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;723.523.902.927.996
803487;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;723.523.902.927.996
803488;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;670.258.092.444.028
803489;1;1;1;80;5;2;;;;2;;2;;2;;.;;;1;5;671.237.157.051.762
803490;1;2;1;80;5;1;1;5;;2;;2;;;;;9;2;1;5;69.930.748.547.389
