Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;Clase;Mes;Dpto;Fex_c_2011
3058379;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;900000;2400000;2;1;2; ;2;2;10;63;1740,1258433028
3058379;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1740,1258433028
3058382;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1676,72476157618
3058382;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1676,72476157618
3058382;1;3;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;360000; ;2;2;2; ;2;2;10;63;1676,72476157618
3058382;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1676,72476157618
3058382;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1676,72476157618
3058383;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;1820000; ;2;2;2; ;2;2;10;63;2051,06833052171
3058383;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2051,06833052171
3058383;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2051,06833052171
3058383;1;4;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;180000; ;2;2;2; ;2;2;10;63;2051,06833052171
3058383;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2051,06833052171
3058384;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1706,31078638813
3058384;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1706,31078638813
3058385;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2210,72153582325
3058385;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2210,72153582325
3058385;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2210,72153582325
3058385;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2210,72153582325
3058386;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1212,67812072867
3058386;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1212,67812072867
3058386;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1212,67812072867
3058386;1;4;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;1000000;2;1;2; ;2;2;10;63;1212,67812072867
3058389;1;1;1;95;1; ;2;1; ;567000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1988,20774851833
3058389;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1988,20774851833
3058389;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1988,20774851833
3058391;1;1;1;95;1; ;2;1; ;567000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1740,1258433028
3058391;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1740,1258433028
