Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3058379;1;4;1;1;1;1;1;1;3;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;2;10;63;1740,1258433028
3058382;1;5;4;1;1;1;1;1;3;1; ; ;20000000;120000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;5;2;2; ;7;1;1;1;4;1;1;1;1;1;2;3;1;01;2;10;63;1676,72476157618
3058383;1;3;2;1;1;1;1;1;3;1; ; ;15000000;120000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;6;1;1;1;4;1;1;1;1;1;2;3;1;01;2;10;63;2051,06833052171
3058384;1;2;1;1;2;1;1;1;3;3; ; ; ; ;80000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;3;1;3;1;2;1;1;1;1;1;2;3;1;01;2;10;63;1706,31078638813
3058385;1;3;2;1;1;1;1;1;3;1; ; ;13500000;120000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;2;10;63;2210,72153582325
3058386;1;4;3;1;1;1;1;1;3;3; ; ; ; ;120000;2;2;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;2;10;63;1212,67812072867
3058389;1;4;3;1;1;1;1;1;3;1; ; ;25000000;130000; ;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;2;3;1;01;2;10;63;1988,20774851833
3058391;1;4;1;1;1;1;1;1;3;1; ; ;13000000;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;2;1;1;2;4;1;1;1;1;1;2;3;1;01;2;10;63;1740,1258433028
3058392;1;5;2;1;1;1;1;1;3;3; ; ; ; ;130000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;1;2;3;1;1;1;4;1;1;1;1;1;2;2;1;01;2;10;63;1842,75903853174
3058393;1;3;2;1;1;1;1;1;3;1; ; ;22000000;150000; ;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;3;2;1;1;3;1;1;2;4;1;1;1;1;1;2;3;1;01;2;10;63;1665,50798798541
