DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
1097532;1;2;1;70;1;4;48;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;05;05;918,872089170962
1097535;1;1;1;70;1;28;48;3; ;2;28;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;05;05;816,172238113012
1097535;1;3;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;05;05;816,172238113012
1097536;1;4;1;70;1;2;48;1; ;2;104;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;05;05;993,677699101991
1097545;1;1;1;70;1;100;48;1; ;2;100;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;2;5521;05;05;723,043082412744
1097548;1;5;1;70;1;4;48;1; ;2;4;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;95;95;45;1;1;4521;05;05;1253,9141957399
1097565;1;2;1;70;1;12;50;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;45;45;15;1;1;1593;05;05;1150,39491209898
1097567;1;2;1;70;1;32;60;1; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;79;79;17;1;2;1741;05;05;1047,69506104103
1097568;1;3;1;70;1;6;50;1; ;2;4;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;1;470000;2;33;33;74;1;1;7499;05;05;935,385415876843
1097570;1;1;1;70;1;16;50;1; ;2;2;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;51;1;2;5125;05;05;1113,43951680988
1097570;1;2;1;70;1;52;48;1; ;2;1;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;45;54;55;1;2;5511;05;05;1113,43951680988
1097580;1;2;1;70;1;24;30;1; ;2;106;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;05;05;1202,18889126836
1097583;1;3;1;70;1;36;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;05;05;1237,16969397358
1097584;1;5;1;70;1;4;48;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;51;1;1;5139;05;05;1013,60897492517
1097605;1;2;1;70;1;28;48;1; ;2;32;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;80;1;2;8050;05;05;1128,1715788083
1097615;1;1;1;70;1;4;48;1; ;2;4;1; ;6;2; ; ;1; ; ; ; ; ; ; ; ;1;620000;2;85;85;45;1;1;4542;05;05;1096,37755015994
1097616;1;4;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;05;05;863,661720046991
1097622;1;3;1;70;1;16;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;08;08;587,649948406534
1097639;1;3;1;70;1;78;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;50; ; ;1;2; ;08;08;674,281380165303
1097642;1;4;1;70;1;8;70;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;63;1;1;6331;08;08;517,375918198286
1097669;1;2;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;13;13;329,66762378084
1097683;1;2;1;70;1;72;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;13;13;332,674235176686
1097686;1;2;1;70;1;20;48;1; ;2;20;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;00;43;34;1;2;3430;13;13;344,778506849217
1097688;1;2;1;70;1;2;48;1; ;2;2;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;22;1;1;2212;13;13;343,02206355893
1097689;1;2;1;70;1;16;56;1; ;2;16;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;55;1;2;5530;13;13;244,166737519831
1097695;1;1;1;70;1;26;48;1; ;2;26;2; ;9;3; ; ; ; ; ; ; ;1; ; ; ;2; ;2;03;30;75;1;2;7512;13;13;345,536720109058
1097698;1;3;1;70;1;36;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;13;13;298,276256215588
1097701;1;4;1;70;1;2;48;1; ;2;8;1; ;6;8; ; ; ; ; ; ; ;1; ; ; ;2; ;2;33;33;74;1;1;7499;13;13;295,190764161108
1097707;1;2;1;70;1;13;48;2; ;2;13;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;13;75;1;1;7512;15;15;60,27513203115
1097708;1;2;1;70;1;8;40;1; ;2;104;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;40;1;1;4010;15;15;68,4593396510951
1097709;1;2;1;70;1;12;48;2; ;2;112;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;45;15;1;1;1551;15;15;95,6613028148682
1097709;1;3;1;70;1;13;48;1; ;2;13;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;1;4542;15;15;95,6613028148682
1097713;1;1;1;70;1;52;40;1; ;2;104;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;92;1;2;9242;15;15;97,8044958626912
1097714;1;1;1;70;1;24;60;1; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;44;74;1;2;7414;15;15;97,1297800468782
1097717;1;1;1;70;1;52;48;1; ;2;52;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7512;15;15;109,492041020533
1097722;1;1;1;70;1;4;40;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;15;15;74,8439001898981
1097723;1;4;1;70;1;52;48;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;98;60;1;2;6041;15;15;77,3056433103099
1097727;1;4;1;70;1;112;48;1; ;2;112;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;74;1;2;7499;15;15;67,5384892394312
1097728;1;1;1;70;1;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;1500000;2;02;02;74;1;1;7421;15;15;77,2360547830815
1097728;1;2;1;70;1;56;48;2; ;2;56;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;12;75;1;2;7512;15;15;77,2360547830815
1097733;2;2;2;70;1;36;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;15;15;77,3234471653829
1097736;1;3;1;70;1;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;1; ;15;15;64,8418286212604
1097743;1;2;1;70;1;2;48;1; ;2;104;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;50;1;1;5030;15;15;79,8272665222791
1097751;1;2;1;70;1;12;48;2; ;2;12;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;19;85;1;1;8515;15;15;97,1297800468782
1097756;1;3;1;70;1;16;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;2; ;15;15;66,382568071607
1097760;1;7;1;70;1;12;48;1; ;2;2;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;45;33;45;1;1;4530;15;15;57,914039607673
1097768;1;4;1;70;1;16;50;1; ;2;16;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;92;1;2;9249;15;15;50,7137429502605
1097769;1;3;1;70;1;2;48;1; ;2;2;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;480000;2;98;98;60;1;1;6041;15;15;51,9825144056494
1097773;1;1;1;70;1;3;50;1; ;2;3;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;95;95;45;1;1;4521;15;15;83,3353774782
1097774;1;2;1;70;1;4;50;4; ;2;8;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;15;15;54,9892354276349
1097774;1;5;1;70;1;52;20;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;15;15;54,9892354276349
1097776;1;3;1;70;1;24;40;1; ;2;28;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;21;64;1;2;6422;15;15;72,7698140082221
1097779;1;1;1;70;1;99;40;1; ;2;204;1; ;7;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;2;7492;15;15;76,2723574777414
1097781;1;3;1;70;1;16;60;4; ;2;16;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;50;1;2;5020;15;15;52,3443444055063
1097785;1;2;1;70;1;32;40;1; ;2;6;2; ;9;6; ; ; ; ; ; ; ; ; ;1; ;1;580000;2;33;39;75;1;2;7512;15;15;71,6003089557647
1097785;1;3;1;70;1;12;40;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;15;15;71,6003089557647
1097786;1;1;1;70;1;52;60;2; ;2;52;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;75;1;2;7512;15;15;80,9495943062009
1097787;1;4;1;70;1;24;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;15;15;40,6191351835105
1097798;1;2;1;70;1;16;48;1; ;2;16;1; ;4;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;17;17;179,537052177098
1097801;1;2;1;70;1;108;40;1; ;2;108;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;17;17;146,103566085737
1097803;1;1;1;70;1;4;60;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;98;41;52;1;1;5221;17;17;172,535142850664
1097804;1;3;1;70;1;24;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;17;17;190,310374342186
1097811;1;2;1;70;1;16;48;1; ;2;14;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;24;1;2;2424;17;17;175,980765487028
