DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1097532;1;2;1;70;05;4;48;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;05;918,872089170962
1097535;1;1;1;70;05;28;48;3; ;2;28;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;05;816,172238113012
1097535;1;3;1;70;05;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;1; ;05;816,172238113012
1097536;1;4;1;70;05;2;48;1; ;2;104;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;05;993,677699101991
1097545;1;1;1;70;05;100;48;1; ;2;100;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;2;5521;05;723,043082412744
1097548;1;5;1;70;05;4;48;1; ;2;4;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;95;95;45;1;1;4521;05;1253,9141957399
1097565;1;2;1;70;05;12;50;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;45;45;15;1;1;1593;05;1150,39491209898
1097567;1;2;1;70;05;32;60;1; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;79;79;17;1;2;1741;05;1047,69506104103
1097568;1;3;1;70;05;6;50;1; ;2;4;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;1;470000;2;33;33;74;1;1;7499;05;935,385415876843
1097570;1;1;1;70;05;16;50;1; ;2;2;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;51;1;2;5125;05;1113,43951680988
1097570;1;2;1;70;05;52;48;1; ;2;1;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;45;54;55;1;2;5511;05;1113,43951680988
1097580;1;2;1;70;05;24;30;1; ;2;106;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;05;1202,18889126836
1097583;1;3;1;70;05;36;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;05;1237,16969397358
1097584;1;5;1;70;05;4;48;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;51;1;1;5139;05;1013,60897492517
1097605;1;2;1;70;05;28;48;1; ;2;32;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;80;1;2;8050;05;1128,1715788083
1097615;1;1;1;70;05;4;48;1; ;2;4;1; ;6;2; ; ;1; ; ; ; ; ; ; ; ;1;620000;2;85;85;45;1;1;4542;05;1096,37755015994
