DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1097526;1;4;2;1;1;1;1;1;4;1; ; ;18000000;180000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;05;1;1156,92279210404
1097527;1;3;2;1;1;1;1;1;4;1; ; ;99;90000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;05;05;1;1221,47424068796
1097528;1;3;1;1;1;1;1;1;4;3; ; ; ; ;260000;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;05;1;1080,68209687432
1097529;1;3;2;1;1;1;1;1;1;3; ; ; ; ;160000;1;1;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;1;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;05;1;1196,20809204466
1097531;1;4;2;1;1;1;1;1;1;4; ; ; ;80000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;4;1;2;1;1;1;1;2;1;01;05;05;1;938,013479886327
1097532;1;1;1;1;1;1;1;2;1;4; ; ; ;50000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;05;05;1;918,872089170962
1097533;1;2;1;1;1;1;1;1;4;1; ; ;8000000;100000; ;1;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;05;05;1;865,91467876594
1097534;1;2;1;1;1;1;1;6; ;1; ; ;8000000;100000; ;2;2;2;2;2;2;1;2;2;2;1;2;1;2;2;1;2;2;2;2;2;1;1;1;4;1;2;1;1;1;1;2;1;01;05;05;1;1187,92852328143
1097535;1;1;1;3;1;1;1;1;1;4; ; ; ;150000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;1;2;1;01;05;05;1;816,172238113012
1097536;1;3;2;1;1;1;1;1;1;1; ; ;15000000;200000; ;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;993,677699101991
1097537;1;2;1;1;1;1;1;1;4;4; ; ; ;100000; ;1;2;2;1;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1043,96877969898
1097539;1;4;1;1;1;1;1;1;4;1; ; ;20000000;150000; ;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;865,91467876594
1097541;1;3;1;1;1;1;1;1;4;4; ; ; ;150000; ;1;2;2;2;1;2;1;1;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1156,92279210404
1097542;1;3;1;1;1;1;1;1;4;1; ; ;14000000;200000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1181,40064327637
1097544;1;3;1;1;1;1;1;1;1;4; ; ; ;200000; ;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1187,92852328143
1097545;1;4;3;1;1;1;1;1;3;3; ; ; ; ;190000;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;05;1;723,043082412744
1097546;1;2;1;1;1;1;1;1;4;3; ; ; ; ;180000;1;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1120,2094749287
1097547;1;4;3;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;1;2;1;1;1;2;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;917,679081986029
1097548;1;3;2;1;1;1;1;1;1;3; ; ; ; ;160000;1;1;2;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1253,9141957399
1097549;1;1;1;1;1;1;1;2;3;4; ; ; ;200000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;05;1;918,872089170962
1097552;1;4;3;1;1;1;1;1;3;1; ; ;50000000;300000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1025,47172775035
1097553;1;4;2;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;1;2;1;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1150,39491209898
1097554;1;3;2;1;1;1;1;1;4;3; ; ; ; ;170000;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1241,47419120898
1097555;1;2;2;1;1;1;1;1;3;1; ; ;25000000;150000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1143,89660804321
1097556;1;2;1;1;1;1;1;1;3;4; ; ; ;150000; ;1;1;2;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;843,691345475262
1097558;1;4;3;1;1;1;1;1;1;1; ; ;50000000;350000; ;1;1;2;1;1;1;1;1;1;2;1;2;1;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;944,995209983078
1097559;1;4;3;1;1;1;1;1;3;1; ; ;35000000;200000; ;1;1;2;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;582,668629359009
1097560;1;4;3;1;1;1;1;1;1;1; ; ;30000000;200000; ;1;2;2;2;1;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;826,157684813834
1097561;1;2;2;1;1;1;1;1;1;2; ;99;15000000;110000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;05;1;1191,28880351768
1097562;1;4;2;1;1;1;1;1;3;1; ; ;20000000;180000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1096,37755015994
1097563;1;5;3;1;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;2;1;1;1;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1219,86564920988
1097564;1;2;1;1;1;1;1;1;1;4; ; ; ;120000; ;1;1;2;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1026,90681304904
1097565;1;3;2;1;1;1;1;1;1;3; ; ; ; ;200000;1;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1150,39491209898
1097566;1;3;1;1;1;1;1;1;4;3; ; ; ; ;230000;1;1;1;1;1;1;2;2;2;2;1;1;1;1;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1150,39491209898
1097567;1;3;2;1;1;1;1;1;1;1; ; ;30000000;180000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1047,69506104103
1097568;1;3;2;1;1;1;1;1;3;1; ; ;20000000;200000; ;1;1;1;1;2;1;1;2;1;1;1;1;2;1;2;2;2;1;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;935,385415876843
1097569;1;3;2;1;1;1;1;1;3;1; ; ;25000000;250000; ;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1140,99772292069
1097570;1;4;3;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1113,43951680988
1097572;1;3;2;1;1;1;1;1;1;3; ; ; ; ;230000;1;1;2;2;1;1;1;2;2;2;1;2;1;1;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1096,37755015994
1097573;1;6;5;1;1;1;1;1;3;2; ;200000;35000000;300000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;05;1;857,951713462195
1097574;1;4;3;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;993,677699101991
1097575;1;3;1;1;1;1;1;1;4;3; ; ; ; ;200000;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;876,717480057108
1097577;1;3;3;1;1;1;1;1;3;1; ; ;15000000;150000; ;1;1;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1010,73966575193
1097578;1;2;1;1;1;1;1;1;1;3; ; ; ; ;140000;1;1;2;2;1;1;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1156,92279210404
1097580;1;4;3;1;1;1;1;1;3;1; ; ;25000000;350000; ;1;1;2;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1202,18889126836
1097581;1;5;3;1;1;1;1;1;3;1; ; ;35000000;200000; ;1;1;2;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1267,38470709315
1097582;1;5;3;1;1;1;1;1;3;2; ;180000;36000000;250000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;991,657295697536
1097583;1;7;2;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1237,16969397358
1097584;1;6;4;1;1;1;1;1;3;1; ; ;65000000;300000; ;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1013,60897492517
1097586;1;7;2;1;1;1;1;1;3;2; ;600000;75000000;350000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;1;1;1;2;2;1;01;05;05;1;1243,69757397864
1097587;1;5;3;1;1;1;1;1;3;2; ;600000;50000000;300000; ;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1043,96877969898
1097588;1;5;3;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;1;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1214,97593663219
1097589;1;5;3;1;1;1;1;1;3;1; ; ;30000000;200000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;05;1;1295,49155314802
1097590;1;2;1;1;1;1;1;1;4;1; ; ;20000000;150000; ;1;1;2;2;1;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;811,897316826902
1097591;1;4;2;1;1;1;1;1;3;1; ; ;90000000;500000; ;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2;1;4;1;1;1;1;1;4;2;1;01;05;05;1;989,402777815881
1097592;1;2;1;1;1;1;1;1;1;3; ; ; ; ;190000;1;1;2;1;1;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1120,2094749287
