Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;P750s1;P750s1a1;P750s2;P750s2a1;P750s3;P750s3a1;P750s4;Clase;Mes;Dpto;Fex_c_2011
3314812;1;1;1;95;1; ;1;1; ;589500;300000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1777,5541778333
3314812;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1777,5541778333
3314817;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;1200000;2;1;2; ;2; ; ; ; ; ; ; ;2;10;63;1250,29529208152
3314817;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1250,29529208152
3314818;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1764,50871074534
3314818;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1764,50871074534
3314818;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;600000;2;1;2; ;2; ; ; ; ; ; ; ;2;10;63;1764,50871074534
3314818;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1764,50871074534
3314819;1;1;1;95;1; ;2;1; ;589500; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1623,11440794346
3314820;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;500000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;2;10;63;1297,81643222401
3314820;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1297,81643222401
3314820;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1297,81643222401
3314820;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;1297,81643222401
3314822;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2075,76589059324
3314822;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;63;2075,76589059324
