Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3139038;1;3;2;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;2;2;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;2;2;2; ;2;1;2;1;5;1;1;1;1;1;6;2;1;01;17;02;17;165,258435374743
3139039;1;1;1;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;6;2;1;01;17;02;17;148,688881088212
3139041;1;1;1;1;1;1;1;1;3;3; ; ; ; ;160000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;1;1;2;2; ;3;1;2;1;2;1;1;1;1;1;2;2;1;01;17;02;17;174,833006380057
3139042;1;5;3;1;1;1;1;1;3;1; ; ;100000000;400000; ;1;2;1;2;2;1;2;2;2;1;2;1;1;2;1;1;1;1;1;1;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;2;1;01;17;02;17;208,572959590201
3139043;1;3;1;1;1;1;1;1;4;4; ; ; ;300000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;2;2;1;01;17;02;17;177,923283839672
3139044;1;3;1;1;1;1;1;1;3;1; ; ;180000000;1000000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2; ;1;1;2;1;6;1;1;1;1;1;6;2;1;01;17;02;17;195,850763222137
3139045;1;3;1;1;1;1;1;1;3;1; ; ;120000000;500000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;1;1;1;1;2;1;1;2;2;2; ;2;1;2;1;6;1;1;1;1;1;6;2;1;01;17;02;17;182,428834298356
3139047;1;6;3;1;1;1;1;1;3;1; ; ;100000000;400000; ;1;2;1;1;1;1;1;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;2;1;01;17;02;17;168,406060737493
3139048;1;3;2;1;1;1;1;1;3;3; ; ; ; ;230000;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2; ;3;1;2;1;6;1;1;1;1;1;2;2;1;01;17;02;17;198,998388584887
3139050;1;1;1;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;6;2;1;01;17;02;17;177,923283839672
3139051;1;4;2;1;1;1;1;1;3;3; ; ; ; ;370000;1;1;1;1;2;1;1;2;2;1;1;2;1;2;1;1;1;1;1;2;1;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;2;2;1;01;17;02;17;199,034978654227
