Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;Area;Mes;Dpto;Fex_c_2011
3139038;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;12000000;2;1;2; ;2;17;02;17;165,258435374743
3139038;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;10600000;2;1;2; ;2;17;02;17;165,258435374743
3139039;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;12000000;2;1;2; ;2;17;02;17;148,688881088212
3139041;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;174,833006380057
3139041;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;174,833006380057
3139041;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;174,833006380057
3139042;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;208,572959590201
3139042;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;208,572959590201
3139042;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;208,572959590201
3139042;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;208,572959590201
3139043;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;177,923283839672
3139044;1;1;1;95;1; ;1;1; ;589500;1000000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;195,850763222137
3139045;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;182,428834298356
3139045;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;182,428834298356
3139047;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;168,406060737493
3139047;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;168,406060737493
3139047;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;168,406060737493
3139047;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;168,406060737493
3139048;1;1;1;95;1; ;2;1; ;589500; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;198,998388584887
3139048;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ;600000; ; ;1;2;2; ;2;17;02;17;198,998388584887
3139048;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;198,998388584887
3139050;1;1;1;95;1; ;1;2; ; ;600000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;177,923283839672
3139051;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;199,034978654227
3139051;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;199,034978654227
3139052;1;1;1;95;1; ;1;2; ; ;300000;2;1;2;2;1800000; ; ; ;640000;2;1;1; ;2;17;02;17;195,850763222137
3139053;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;147,330955992278
3139053;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;147,330955992278
3139054;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;168,96953082544
3139054;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;168,96953082544
3139054;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;168,96953082544
3139057;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;205,775468183222
3139057;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;205,775468183222
3139057;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;205,775468183222
3139057;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;205,775468183222
3139058;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2;9600000; ; ; ; ;2;2;1; ;2;17;02;17;217,489338055298
3139058;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;217,489338055298
3139059;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;203,902153793779
3139062;1;1;1;95;1; ;1;2; ; ;350000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;195,850763222137
3139063;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;213,440134729753
3139063;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;213,440134729753
3139063;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;213,440134729753
3139064;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;208,407704252463
3139064;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;208,407704252463
3139065;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2400000;2;1;2; ;2;17;02;17;221,994888513982
3139065;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;221,994888513982
3139065;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;221,994888513982
3139066;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;182,428834298356
3139066;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;182,428834298356
3139067;1;1;1;95;1; ;1;2; ; ;280000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;182,428834298356
3139067;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;182,428834298356
3139069;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;1500000;2;1;2; ;2;17;02;17;124,391019486523
3139069;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;124,391019486523
3139069;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;124,391019486523
3139069;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;124,391019486523
3139069;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;17;02;17;124,391019486523
3139094;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;768000;1;73;02;73;219,182540559594
3139095;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;02;73;183,338959761975
3139095;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;02;73;183,338959761975
3139096;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;73;02;73;300,049311941849
3139096;1;3;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;6280000; ;2;2;2; ;2;73;02;73;300,049311941849
3139097;1;1;1;95;1; ;1;2; ; ;800000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;73;02;73;238,727337030843
