DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;DPTO;fex_c_2011
1145934;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;25;460,005671100325
1145934;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;7;21; ; ; ; ; ; ; ; ;2;25;460,005671100325
1145935;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;25;321,533588727441
1145935;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;25;321,533588727441
1145936;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;4; ; ; ; ; ; ;2;25;570,384580085497
1145936;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;20; ; ; ; ; ; ;2;25;570,384580085497
1145936;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;25;570,384580085497
1145937;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;4; ;12; ; ; ; ; ; ;2;25;1121,62855150953
1145937;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;30; ; ; ; ; ; ;2;25;1121,62855150953
1145938;1;1;1;90; ;1;2;2;2;2;2;2;2;2;2;6; ; ; ; ; ; ; ; ; ;2;25;1286,13435490976
1145938;1;2;1;90; ;1;1;2;1;2;2;2;2;2;2;6;30; ;10; ; ; ; ; ; ;2;25;1286,13435490976
1145938;1;3;1;90; ;2;1;2;1;2;2;1;2;2;2; ;30; ;3; ; ;30; ; ; ;2;25;1286,13435490976
1145938;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;11; ; ; ; ; ; ;2;25;1286,13435490976
