DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
1139652;1;2;1;70;1;4;48;1; ;2;28;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;97;18;1;1;1810;05;05;986,117252584958
1139653;1;4;1;70;1;20;72;1; ;2;22;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;92;95;45;1;2;4559;05;05;958,13309721959
1139655;1;1;1;70;1;8;48;4; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;05;05;1377,82534680602
1139655;1;3;1;70;1;52;48;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;79;18;1;2;1810;05;05;1377,82534680602
1139655;1;6;1;70;1;20;48;1; ;2;20;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;70;1;2;7020;05;05;1377,82534680602
1139656;1;2;1;70;1;12;24;1; ;2;52;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5219;05;05;1088,6199251293
1139659;1;3;1;70;1;24;48;1; ;2;24;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;39;95;36;1;2;3611;05;05;1318,01633279716
1139659;1;4;1;70;1;8;50;1; ;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;05;05;1318,01633279716
1139662;1;5;1;70;1;12;48;4; ;2;12;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6031;05;05;1068,83917237059
1139664;1;1;1;70;1;2;48;1; ;2;2;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;2100000;2;06;06;85;1;1;8512;05;05;973,274828065463
1139665;1;1;1;70;1;16;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;41;52;1;2;5211;05;05;1280,09251166807
1139665;1;2;1;70;1;48;48;4; ;2;19;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;43;43;70;1;2;7020;05;05;1280,09251166807
1139666;1;1;1;70;1;16;48;1; ;2;16;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;00;83;28;1;2;2899;05;05;1099,09867381875
1139666;1;2;1;70;1;4;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;05;1099,09867381875
1139670;1;3;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;05;05;955,48363183131
1139678;1;1;1;70;1;8;50;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;37;37;64;1;1;6412;15;15;91,0050514893522
1139682;1;4;1;70;1;24;50;1; ;2;24;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;53;55;1;2;5530;15;15;76,037350317577
1139697;1;2;1;70;1;24;20;1; ;2;106;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;50;45;51;1;2;5127;15;15;56,6946872517233
1139701;1;2;1;70;1;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;2; ;15;15;54,0436788009875
1139711;1;3;1;70;1;1;48;1; ;2;1;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;1200000;2;08;08;72;1;1;7220;17;17;161,813742890367
1139721;1;1;1;70;1;20;24;1; ;2;32;4; ;9;1; ; ; ; ; ;1; ; ; ; ; ;2; ;2;39;19;85;1;2;8532;18;18;73,9346782151304
1139728;1;1;1;70;1;24;56;1; ;2;24;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;18;18;46,0710900060502
1139728;1;2;1;70;1;32;56;1; ;2;32;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;55;52;1;2;5225;18;18;46,0710900060502
1139733;1;2;1;70;1;8;56;1; ;2;8;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5530;18;18;50,6499241636312
1139737;1;2;1;70;1;4;48;1; ;2;144;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;18;18;57,3350271441456
1139743;1;3;1;70;1;144;48;1; ;2;288;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;38;40;1;2;4010;18;18;223,191768082761
1139743;1;4;1;70;1;84;48;1; ;2;84;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8045;18;18;223,191768082761
1139751;1;1;1;70;1;8;48;1; ;2;25;3; ;1;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;18;18;86,6186978426267
1139759;1;1;1;70;1;6;52;1; ;2;18;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;18;18;45,714606489455
1139759;1;3;1;70;1;3;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;18;18;45,714606489455
1139764;1;1;1;70;1;48;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;230000;2;55;55;74;1;2;7493;19;19;51,1386343516242
1139771;1;1;1;70;1;24;48;1; ;2;30;1; ;3;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;2;5219;19;19;72,6146633185064
1139777;1;3;1;70;1;104;42;1; ;2;104;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;45;36;1;2;3691;19;19;109,88402530881
1139786;1;2;1;70;1;2;44;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;1; ;20;20;130,259991633408
1139786;1;4;1;70;1;2;98;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5231;20;20;130,259991633408
1139802;1;7;1;70;1;8;70;1; ;2;8;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;45;1;1;4521;20;20;122,981632336742
1139803;1;1;1;70;1;14;60;2; ;2;14;2; ;9;4; ; ; ; ; ; ; ;1; ; ; ;2; ;2;59;59;85;1;2;8511;20;20;115,573803353612
1139803;1;2;1;70;1;40;50;4; ;2;99;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;54;74;1;2;7493;20;20;115,573803353612
1139807;1;2;1;70;1;15;40;1; ;2;15;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;20;20;128,248413072112
1139811;1;2;1;70;1;4;40;1; ;2;48;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;20;20;129,617739558646
1139824;1;6;1;70;1;16;48;1; ;2;20;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;23;23;130,792442974676
1139825;1;2;1;70;1;24;48;1; ;2;24;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;44;66;1;2;6601;23;23;130,826014069622
1139829;1;2;1;70;1;8;40;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6031;27;27;29,8131805157605
1139834;1;2;1;70;1;4;48;2; ;2;48;1; ;6;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;19;19;92;1;1;9249;27;27;80,8582510872059
1139834;1;6;1;70;1;4;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;27;27;80,8582510872059
1139836;1;4;1;70;1;12;48;2; ;2;12;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;1;4521;27;27;29,8131805157605
1139841;1;2;1;70;1;24;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;2; ;27;27;29,8131805157605
1139849;1;1;1;70;1;3;40;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;27;27;29,8131805157605
1139850;1;2;1;70;1;52;48;2; ;2;52;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;44;64;1;2;6421;41;41;132,391141880221
1139855;1;1;1;70;1;5;48;4; ;2;5;4; ;1;9;HOJA DE SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;41;41;142,525652799255
1139875;1;3;1;70;1;8;48;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;55;1;1;5521;47;47;189,633692149786
1139883;1;2;1;70;1;4;24;1; ;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5530;47;47;189,589111679992
1139886;1;2;1;70;1;1;48;1; ;2;24;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;52;1;1;5233;47;47;147,158993917281
1139907;1;6;1;70;1;104;32;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;50;50;174,864435945555
1139913;1;2;1;70;1;8;60;1; ;2;9;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;83;28;1;1;2811;50;50;161,160943789243
1139917;1;3;1;70;1;12;48;1; ;2;13;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;95;45;1;1;4521;50;50;168,781194541966
1139918;1;2;1;70;1;24;48;1; ;2;104;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5530;50;50;196,834554613388
1139932;1;1;1;70;1;20;50;1; ;2;200;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;98;60;1;2;6031;50;50;183,117410343518
1139939;1;3;1;70;1;1;48;1; ;2;4;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;53;50;55;1;1;5513;50;50;192,566004177044
1139941;1;1;1;70;1;26;48;1; ;2;26;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;01;1;2;0121;50;50;191,613697370036
1139950;1;2;1;70;1;16;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;01;1;2;0112;50;50;172,167808747564
1139956;1;1;1;70;1;24;48;4; ;2;24;4; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;2;6421;52;52;135,418729176217
1139958;1;2;1;70;1;20;25;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;52;52;183,581670046869
1139959;1;1;1;70;1;54;48;1; ;2;208;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;58;75;1;2;7522;52;52;171,370202286879
1139973;1;1;1;70;1;16;48;1; ;2;16;1; ;4;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;55;1;2;5511;52;52;112,279180702458
1139978;1;2;1;70;1;4;40;1; ;2;10;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;32;74;1;1;7411;52;52;81,8062539926959
1139979;1;2;1;70;1;24;48;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;45;52;1;2;5211;52;52;179,967031445803
1139985;1;1;1;70;1;26;48;1; ;2;26;5; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;2;4530;52;52;123,410028775802
1139988;2;1;2;70;1;104;40;1; ;2;104;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;2;6412;52;52;161,877078908857
1139991;1;1;1;70;1;156;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;52;52;118,739510905134
1139992;1;1;1;70;1;8;40;1; ;2;26;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5530;52;52;170,18277733978
