DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1139940;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;50;173,685266026189
1139940;1;4;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;50;173,685266026189
1139940;1;5;1;80;50;1;4;4; ;2; ;2; ; ; ; ;8;2;1;50;173,685266026189
1139941;1;2;1;80;50;1;2;4; ;2; ;2; ; ; ; ;4;2;1;50;191,613697370036
1139944;1;1;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;50;169,799071825386
1139950;1;5;1;80;50;1;3;4; ;2; ;2; ; ; ; ;4;2;1;50;172,167808747564
1139955;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;8;2;1;52;157,959321280406
1139958;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;183,581670046869
1139959;1;2;1;80;52;1;1;3; ;2; ;2; ; ; ; ;9;2;1;52;171,370202286879
1139961;1;1;1;80;52;1;1;4; ;2; ;2; ; ; ; ;4;2;1;52;112,064425043499
1139962;1;1;1;80;52;1;1;4; ;2; ;2; ; ; ; ;4;2;1;52;183,691609198581
1139962;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;183,691609198581
1139964;1;3;1;80;52;1;2;2; ;2; ;2; ; ; ; ;2;2;1;52;125,095024600563
1139964;1;6;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;125,095024600563
1139966;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;52;171,370202286879
1139969;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;10;2;1;52;129,98029813019
1139969;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;52;129,98029813019
1139972;1;2;1;80;52;1;1;5; ;3; ;2; ; ; ; ;10;2;1;52;135,418729176217
1139972;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;135,418729176217
1139974;1;1;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;52;180,181787104762
1139976;1;1;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;163,392629681967
1139976;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;163,392629681967
1139978;1;6;1;80;52;1;3;8; ;2; ;2; ; ; ; ;2;2;1;52;81,8062539926959
1139978;1;7;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;81,8062539926959
1139979;1;1;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;52;179,967031445803
1139980;1;1;1;80;52;1;1;8; ;2; ;2; ; ; ; ;2;2;1;52;170,18277733978
1139981;1;1;1;80;52;1;1;2; ;2; ;2; ; ; ; ;2;2;1;52;170,18277733978
1139983;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;112,169241550746
1139984;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;10;2;1;52;157,744565621447
1139984;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;52;157,744565621447
1139986;1;2;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;52;157,959321280406
1139987;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;158,200806109615
1139988;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;52;161,877078908857
1139988;1;2;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;52;161,877078908857
1139988;3;1;3;80;52;1;2;2; ;2; ;2; ; ; ; ;2;2;1;52;161,877078908857
1139989;1;1;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;52;180,181787104762
1139990;1;1;1;80;52;1;2;2; ;2; ;2; ; ; ; ;2;2;1;52;170,18277733978
1139991;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;118,739510905134
1139991;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;52;118,739510905134
1139996;1;2;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;336,56573571536
1139998;1;1;1;80;54;1;4;1; ;2; ;2; ; ; ; ;8;2;1;54;469,905201687137
1139999;1;2;1;80;54;1;4;4; ;2; ;2; ; ; ; ;4;2;1;54;501,043976530501
1140002;1;4;1;80;54;2; ; ; ;3; ;2; ;1;4; ;8; ;1;54;346,645153055678
1140005;1;2;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;272,751131370619
1140005;1;3;1;80;54;1;4;4; ;2; ;2; ; ; ; ;8;2;1;54;272,751131370619
1140006;1;2;1;80;54;1;1;8; ;2; ;2; ; ; ; ;1;2;1;54;387,901779073356
1140006;1;3;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;387,901779073356
1140009;1;1;1;80;54;1;3;4; ;2; ;2; ; ; ; ;4;2;1;54;394,380563684655
1140009;1;2;1;80;54;1;2;9;POR EDAD;2; ;2; ; ; ; ;8;2;1;54;394,380563684655
1140009;1;3;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;394,380563684655
1140011;1;2;1;80;54;1;1;9;POR EMBARAZO;2; ;2; ; ; ;POR EMBARAZO;12;2;1;54;372,089747881179
1140011;1;4;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;372,089747881179
1140017;1;2;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;255,683539917394
1140017;1;3;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;255,683539917394
1140019;1;1;1;80;54;1;1;8; ;2; ;1;300000; ; ; ;4;2;1;54;359,75958663171
1140021;1;1;1;80;54;1;1;4; ;2; ;2; ; ; ; ;4;2;1;54;391,883124754615
1140021;1;2;1;80;54;1;3;3; ;2; ;2; ; ; ; ;9;2;1;54;391,883124754615
1140021;1;3;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;391,883124754615
1140021;1;4;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;391,883124754615
1140023;1;2;1;80;54;1;1;6; ;2; ;2; ; ; ; ;9;2;1;54;392,213408309955
1140025;1;3;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;269,891012505174
1140025;1;5;1;80;54;1;4;4; ;2; ;2; ; ; ; ;4;2;1;54;269,891012505174
1140026;1;2;1;80;54;1;4;3; ;2; ;2; ; ; ; ;9;2;1;54;349,909230247858
1140027;1;2;1;80;54;1;1;3; ;2; ;2; ; ; ; ;9;2;1;54;378,552455228049
1140029;1;3;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;54;380,656422885458
1140030;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;66;319,886409618414
1140030;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;319,886409618414
1140031;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;527,404988710356
1140031;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;527,404988710356
1140031;1;4;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;527,404988710356
1140031;1;5;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;527,404988710356
1140032;1;1;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;641,465971104533
1140032;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;641,465971104533
1140034;1;2;1;80;66;1;3;5; ;3; ;2; ; ; ; ;10;2;1;66;630,558990323449
1140034;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;630,558990323449
1140037;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;330,303391980189
1140037;1;3;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;66;330,303391980189
1140039;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;269,700028286032
