DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2753838,1,1,1,80,2,1,4,3,,1,4,2,,,,,9,2,1,8,63,885.607.479.686.379
2753845,1,1,1,80,2,1,4,4,,2,,2,,,,,4,2,1,8,63,380.047.824.364.507
2753845,1,2,1,80,2,1,4,3,,3,,2,,,,,9,2,1,8,63,380.047.824.364.507
2753846,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,527.202.604.597.504
2753847,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,403.125.521.378.771
2753847,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,403.125.521.378.771
2753851,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,595.170.034.228.395
2753857,1,2,1,80,2,1,2,9,CAMBIO  DE  RESIDENCIA,2,,2,,,,,9,2,1,8,63,399.431.586.832.329
2753859,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,64.227.949.732.967
2753859,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,64.227.949.732.967
2753860,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,630.966.412.295.694
2753874,1,2,1,80,2,1,2,8,,2,,2,,,,,1,2,1,8,63,345.336.701.399.989
2753874,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,345.336.701.399.989
2753874,1,4,1,80,2,1,1,8,,2,,2,,,,,1,2,1,8,63,345.336.701.399.989
2753875,1,2,1,80,2,1,3,8,,2,,2,,,,,4,2,1,8,63,701.968.795.411.953
2753875,1,4,1,80,2,1,3,3,,2,,2,,,,,9,2,1,8,63,701.968.795.411.953
2753875,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,701.968.795.411.953
2758250,1,2,1,80,2,1,1,4,,2,,2,,,,,9,2,1,8,63,399.431.586.832.329
2758251,1,2,1,80,2,1,1,3,,2,,1,68000,,,,9,2,1,8,63,645.043.190.083.253
2758252,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,304.668.698.360.844
2758252,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,304.668.698.360.844
2758252,1,4,1,80,2,1,2,9,EMBARAZO,2,,2,,,,,9,2,1,8,63,304.668.698.360.844
2758253,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,302.164.977.829.026
2758253,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,302.164.977.829.026
2758263,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,624.465.050.717.027
2758264,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,467.265.338.647.571
2758264,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,467.265.338.647.571
2758265,1,3,1,80,2,1,1,2,,2,,2,,,,,9,2,1,8,63,478.504.647.382.434
2758266,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,70.077.441.851.355
2758275,1,2,1,80,2,1,1,3,,2,,2,,,1,,9,1,1,8,63,645.043.190.083.253
2758276,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,467.265.338.647.571
2758276,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,467.265.338.647.571
2758277,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,709.934.339.943.206
2758278,1,2,1,80,2,1,1,3,,2,,2,,,,,9,2,1,8,63,744.604.446.462.576
2762313,1,2,1,80,2,1,2,3,,2,,2,,,,,9,2,1,8,18,187.715.063.195.457
2762313,1,5,1,80,2,1,3,4,,2,,2,,,,,4,2,1,8,18,187.715.063.195.457
2762314,1,1,1,80,2,1,1,4,,2,,1,300000,,1,,4,1,1,8,18,832.023.038.994.188
2762314,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,832.023.038.994.188
2762314,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,832.023.038.994.188
2762315,1,2,1,80,2,1,1,3,,2,,1,77000,,,,9,2,1,8,18,117.125.832.412.677
2762316,1,2,1,80,2,1,4,3,,2,,2,,,,,4,2,1,8,18,112.786.445.781.054
2762317,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,102.141.258.352.192
2762318,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,122.653.261.519.983
2762318,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,122.653.261.519.983
2762319,1,1,1,80,2,1,3,5,,3,,2,,,,,10,2,1,8,18,112.786.445.781.054
2762319,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,112.786.445.781.054
2762320,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,911.516.903.929.172
2762320,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,911.516.903.929.172
2762320,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,911.516.903.929.172
2762321,1,2,1,80,2,2,,,,2,,2,,1,4,,9,,1,8,18,164.647.936.048.729
2762322,1,4,1,80,2,1,1,8,,2,,2,,,,,2,2,1,8,18,131.917.972.402.678
2762323,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,18,848.748.562.645.972
2762324,1,1,1,80,2,1,4,4,,3,,2,,,,,8,2,1,8,18,106.983.285.068.622
2762804,1,2,1,80,2,1,4,9,DESPLAZAMIENTO,2,,2,,,,,9,2,1,8,63,48.859.481.060.495
2762804,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,48.859.481.060.495
2762804,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,48.859.481.060.495
2762806,1,2,1,80,2,1,2,8,,2,,2,,,,,9,2,1,8,63,467.265.338.647.571
2762806,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,467.265.338.647.571
2762808,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,821.288.753.215.873
2762810,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,735.819.463.989.694
2762812,1,2,1,80,2,1,1,7,,2,,2,,,,,9,2,1,8,63,839.587.260.580.915
2762813,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,55.273.462.787.375
2762813,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,55.273.462.787.375
2762827,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,637.679.895.507.654
2762827,1,4,1,80,2,1,2,3,,2,,2,,,,,9,2,1,8,63,637.679.895.507.654
2762828,1,2,1,80,2,1,3,3,,2,,2,,,,,9,2,1,8,63,679.875.704.245.049
2762829,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,847.055.566.604.329
2762829,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,847.055.566.604.329
2762829,1,6,1,80,2,1,1,9,CAMBIO  DE  DOMICILIO,2,,2,,,,,9,2,1,8,63,847.055.566.604.329
2762830,1,1,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,748.703.255.800.032
2762830,1,2,1,80,2,1,4,4,,2,,2,,,,,4,2,1,8,63,748.703.255.800.032
2762834,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,546.586.367.065.326
2762835,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,302.164.977.829.026
2762836,1,2,1,80,2,1,3,3,,2,,2,,,,,9,2,1,8,63,602.741.461.544.257
2762837,1,3,1,80,2,1,1,2,,2,,2,,,,,2,2,1,8,63,55.273.462.787.375
2762837,1,4,1,80,2,1,2,2,,2,,2,,,,,2,2,1,8,63,55.273.462.787.375
2762838,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,680.639.323.454.574
2762839,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,302.164.977.829.026
2762840,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,467.265.338.647.571
2762842,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,523.439.611.385.118
2762842,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,523.439.611.385.118
2762843,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,595.170.034.228.395
2762845,1,1,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,64.227.949.732.967
2762845,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,64.227.949.732.967
2762846,1,2,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,725.115.551.092.161
2762846,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,725.115.551.092.161
2762846,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,725.115.551.092.161
2762847,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,869.592.593.215.552
2762847,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,869.592.593.215.552
2762847,1,7,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,869.592.593.215.552
2762847,1,9,1,80,2,1,4,4,,2,,2,,,,QUEDO  SIN  UNA  PIERNA  ANDA  EN  MULETAS,12,2,1,8,63,869.592.593.215.552
2762848,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,676.971.442.035.573
2762857,1,1,1,80,2,1,4,3,,2,,2,,,,,9,2,1,8,63,608.008.090.661.125
2762857,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,8,63,608.008.090.661.125
