DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,fex_c_2011
2753838,1,1,1,90,,1,1,2,2,2,2,2,2,2,2,15,35,,,,,,,,,2,8,63,885.607.479.686.379
2753838,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,885.607.479.686.379
2753838,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,885.607.479.686.379
2753838,1,4,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,885.607.479.686.379
2753845,1,1,1,90,,1,2,2,2,2,2,2,2,2,2,8,,,,,,,,,,2,8,63,380.047.824.364.507
2753845,1,2,1,90,,1,1,2,2,2,2,2,2,2,2,10,35,,,,,,,,,2,8,63,380.047.824.364.507
2753845,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,380.047.824.364.507
2753846,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,2,8,63,527.202.604.597.504
2753846,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,527.202.604.597.504
2753847,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,403.125.521.378.771
2753847,1,2,1,90,,1,1,2,2,2,2,2,2,1,2,14,35,,,,,,,2,,2,8,63,403.125.521.378.771
2753847,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,12,,,,,,,,,2,8,63,403.125.521.378.771
2753847,1,4,1,90,,1,1,2,2,2,2,2,2,2,2,4,4,,,,,,,,,2,8,63,403.125.521.378.771
2753851,1,1,1,90,,1,2,2,2,2,2,2,2,2,2,14,,,,,,,,,,2,8,63,595.170.034.228.395
2753851,1,2,1,90,,1,1,2,2,2,2,2,2,2,2,10,40,,,,,,,,,2,8,63,595.170.034.228.395
2753857,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,399.431.586.832.329
2753857,1,2,1,90,,2,1,2,2,2,2,2,2,2,1,,60,,,,,,,,21,2,8,63,399.431.586.832.329
2753857,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,399.431.586.832.329
2753859,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,64.227.949.732.967
2753859,1,2,1,90,,1,1,2,2,2,2,2,2,2,2,21,38,,,,,,,,,2,8,63,64.227.949.732.967
2753859,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,64.227.949.732.967
2753859,1,5,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,64.227.949.732.967
2753859,1,6,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,64.227.949.732.967
2753860,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,2,8,63,630.966.412.295.694
2753860,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,2,8,63,630.966.412.295.694
2753864,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,2,8,63,464.765.780.999.533
2753872,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,15,,,,,,,,,2,8,63,464.765.780.999.533
2753874,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,345.336.701.399.989
2753874,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,45,,19,,,,,,,2,8,63,345.336.701.399.989
2753874,1,3,1,90,,1,1,2,2,2,2,2,2,1,2,10,20,,,,,,,2,,2,8,63,345.336.701.399.989
2753874,1,4,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,345.336.701.399.989
2753874,1,5,1,90,,2,1,2,2,2,2,2,2,2,2,,8,,,,,,,,,2,8,63,345.336.701.399.989
2753875,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,701.968.795.411.953
2753875,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,40,,,,,,,,,2,8,63,701.968.795.411.953
2753875,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,8,,,,,,,,,2,8,63,701.968.795.411.953
2753875,1,4,1,90,,2,1,2,1,2,2,2,2,2,2,,40,,25,,,,,,,2,8,63,701.968.795.411.953
2753875,1,6,1,90,,1,1,2,2,2,2,2,2,2,2,15,10,,,,,,,,,2,8,63,701.968.795.411.953
2758250,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,399.431.586.832.329
2758250,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,28,,,,,,,,,2,8,63,399.431.586.832.329
2758250,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,8,63,399.431.586.832.329
