DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,AREA,fex_c_2011
2752730,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,740.496.006.319.319
2752730,1,2,1,95,1,,1,1,,535600,200000,2,2,,,,,,,,,,,,,1,8,15,15,740.496.006.319.319
2752731,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,93.252.207.968.098
2752731,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,93.252.207.968.098
2752732,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,996.656.444.005.858
2752732,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,996.656.444.005.858
2752732,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,996.656.444.005.858
2752733,1,1,1,95,2,,,,,,,,1,2,2,,,,,4800000,2,1,2,,2,1,8,15,15,691.634.990.755.124
2752733,2,1,2,95,2,,,,,,,,1,2,2,,,,,4800000,2,1,2,,2,1,8,15,15,691.634.990.755.124
2752733,3,1,3,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,15,15,691.634.990.755.124
2752734,1,1,1,95,1,,2,1,,2000000,,2,2,,,,,,,,,,,,,1,8,15,15,106.000.566.080.565
2752734,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,106.000.566.080.565
2752734,1,3,1,95,2,,,,,,,,1,2,2,,,,,2400000,2,1,2,,2,1,8,15,15,106.000.566.080.565
2752734,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,106.000.566.080.565
2752735,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,961.564.881.116.912
2752735,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,961.564.881.116.912
2752735,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,961.564.881.116.912
2752736,1,1,1,95,2,,,,,,,,1,2,2,,,,,6000000,2,1,2,,2,1,8,15,15,910.442.399.848.549
2752737,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,781.459.169.095.998
2752737,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,781.459.169.095.998
2752737,1,4,1,95,2,,,,,,,,1,2,2,,,,,2400000,2,1,2,,2,1,8,15,15,781.459.169.095.998
2752738,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,781.459.169.095.998
2752738,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,781.459.169.095.998
2752738,1,4,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,15,15,781.459.169.095.998
2752739,1,1,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,15,15,908.942.750.220.664
2752739,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,908.942.750.220.664
