DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;MES;DPTO;fex_c_2011
2531350;1;1;1;10;1;2;1;11;1933;76;1;5;1; ; ;2;2;144000;2;1;2; ;5;11;2;73;11;10;73;186,571619171641
2531351;1;1;1;10;1;1;1;12;1965;44;1;2;1; ; ;2;1;158500;2;1;2; ;6;7;5;73;18;10;73;496,638043851202
2531351;1;2;1;10;2;2;1;4;1966;44;2;2;1; ; ;2;5; ;2;1;2; ;5;11;2;73;11;10;73;496,638043851202
2531351;1;3;1;10;1;2;1;10;1995;15;3;6;1; ; ;2;5; ;2;1;1;1;4;9; ;73;9;10;73;496,638043851202
2531351;1;4;1;10;1;2;1;1;2000;10;3;6;1; ; ;2;5; ;2;1;1;1;3;4; ;73;4;10;73;496,638043851202
2531353;1;1;1;10;1;2;1;11;1962;47;1;4;1; ; ;1;3;264000;2;1;2; ;6;7;5;73;18;10;73;357,148598273643
2531353;1;2;1;10;2;1;1;3;1992;18;3;6;1; ; ;1;5; ;2;1;1;2;6;1;2;73;12;10;73;357,148598273643
2531353;1;3;1;10;1;2;1;3;1995;15;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ;73;9;10;73;357,148598273643
2531353;1;4;1;10;4;2;1;11;1957;52;5;4;1; ; ;1;5; ;2;1;2; ;4;8; ;73;8;10;73;357,148598273643
2531354;1;1;1;10;1;2;1;12;1951;58;1;3;1; ; ;2;2;270000;2;1;2; ;6;7;5;73;18;10;73;198,684779559524
2531354;1;2;1;10;2;1;1;10;1956;54;2;3;1; ; ;2;1;250000;2;1;2; ;6;7;5;73;18;10;73;198,684779559524
2531354;1;3;1;10;3;2;1;1;1990;20;3;6;1; ; ;2;6; ;2;1;1;2;6;3;2;73;14;10;73;198,684779559524
2531355;1;1;1;10;1;2;1;1;1991;19;1;1;2;1;30; ; ; ;1;1;2; ;5;11;2;73;11;10;73;311,613848552205
2531355;1;2;1;10;2;1;1;8;1993;17;2;1;2;1;48; ; ; ;1;1;2; ;4;7; ;73;7;10;73;311,613848552205
2531355;1;3;1;10;1;2;1;1;2007;3;3; ;1; ; ;3; ; ;2;2;1;2;2;0; ;73;0;10;73;311,613848552205
2531356;1;1;1;10;1;2;1;5;1970;40;1;2;1; ; ;1;5; ;1;1;2; ;4;7; ;73;7;10;73;192,616133253054
2531356;1;2;1;10;2;1;1;12;1977;32;2;2;2;1;125; ; ; ;1;1;2; ;4;8; ;73;8;10;73;192,616133253054
2531358;1;1;1;10;1;2;1;12;1960;49;1;4;2;1;14; ; ; ;1;1;2; ;5;11;2;73;11;10;73;186,234830759273
2531359;1;1;1;10;1;1;1;11;1964;45;1;3;1; ; ;2;1;72000;2;1;2; ;5;11;2;73;11;10;73;385,232266506108
2531359;1;2;1;10;2;2;1;4;1968;42;2;3;1; ; ;1;1;400000;2;1;2; ;6;5;4;73;16;10;73;385,232266506108
2531361;1;1;1;10;1;1;1;3;1968;42;1;3;1; ; ;2;1;95000;2;1;2; ;6;7;5;73;18;10;73;385,232266506108
