DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;MES;DPTO;ORDEN;fex_c_2011
2531378;1;4;3;1;1;1;1;1;3;2; ;450000;90000000;550000; ;1;1;1;2;1;1;2;2;2;2;2;2;2;2;1;2;1;1;1;1;2;1;1;2;2; ;4;1;2;1;4;1;1;1;1;1;3;3;1;01;73;10;73;1;496,638043851202
2531379;1;2;1;1;1;1;1;1;3;3; ; ; ; ;460000;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;3;3;1;01;73;10;73;1;468,300785143047
2531380;1;4;3;1;1;1;1;1;3;1; ; ;35000000;170000; ;1;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;73;10;73;1;204,079849041256
2531381;1;4;3;1;1;1;1;1;3;1; ; ;18000000;160000; ;1;2;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;1;2;2;2; ;6;1;1;1;4;1;1;1;1;1;2;3;2;01;73;10;73;1;254,997228436128
2531382;1;2;1;1;1;1;9;1;4;3; ; ; ; ;140000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;4;1;1;1;2;1;2;1;1;1;2;3;2;01;73;10;73;1;248,587216669576
2531384;1;3;1;1;1;1;1;1;4;3; ; ; ; ;170000;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;1;1;1;2;3;1;01;73;10;73;1;192,981630938193
2531385;1;3;2;1;1;1;1;1;3;3; ; ; ; ;120000;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2; ;5;1;1;1;4;1;1;1;1;1;2;3;2;01;73;10;73;1;146,032863958617
2531386;1;3;1;1;1;1;1;1;3;3; ; ; ; ;170000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;1;2;1;1;1;1;1;2;3;2;01;73;10;73;1;215,107695931468
2531389;1;6;1;1;1;1;1;1;3;4; ; ; ;1000000; ;1;1;1;2;1;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;6;3;1;01;68;10;68;1;888,519640620463
2531392;1;3;1;1;2;1;1;1;3;4; ; ; ;350000; ;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;396,731625971301
2531392;2;1;1;1;2;1;1;1;3;3; ; ; ; ;150000;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;01;68;10;68;1;396,731625971301
2531393;1;5;2;1;1;1;1;1;3;1; ; ;180000000;700000; ;1;1;1;1;1;2;1;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;6;3;1;01;68;10;68;1;967,93233906759
2531394;1;5;2;1;1;1;1;1;3;3; ; ; ; ;600000;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;1;1;1;1;2;1;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;6;3;1;01;68;10;68;1;967,93233906759
2531396;1;1;1;1;1;1;1;6; ;3; ; ; ; ;180000;2;2;1;1;1;1;2;2;1;1;2;2;1;2;2;2;1;1;2;2;2;1;1;2;2; ;1;1;4;1;4;1;2;1;1;1;3;3;1;01;68;10;68;1;425,965008553221
2531397;1;5;2;1;1;1;1;1;3;1; ; ;100000000;600000; ;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;465,671357776784
2531398;1;4;1;1;1;1;1;1;3;1; ; ;50000000;350000; ;1;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;425,965008553221
2531399;1;4;2;1;1;1;1;1;3;1; ; ;98;300000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;484,546100530385
2531400;1;5;2;1;1;1;1;1;3;1; ; ;120000000;450000; ;1;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;469,537454936529
2531401;1;5;3;1;1;1;1;1;3;1; ; ;140000000;400000; ;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;531,235272623235
2531402;1;4;3;1;1;1;1;1;3;3; ; ; ; ;400000;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;1;1;1;1;1;2;1;4;2;2; ;5;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;506,894710350327
2531404;1;4;3;1;1;1;1;1;3;1; ; ;60000000;300000; ;1;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;463,20786403371
2531405;1;4;3;1;1;1;1;1;3;2; ;185000;80000000;350000; ;1;2;1;2;1;1;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;513,224301253146
2531406;1;4;3;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;3;3;1;01;68;10;68;1;567,939296070566
2531458;1;3;2;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2; ;2;1;2;1;3;1;1;1;1;1;2;2;1;01;17;10;17;1;120,657334420131
2531460;1;2;1;1;1;1;1;1;4;3; ; ; ; ;280000;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;4;2;1;2;1;1;1;1;2;1;01;17;10;17;1;138,70287299744
2531463;1;4;3;3;1;1;1;1;1;1; ; ;25000000;150000; ;2;2;1;2;1;2;1;1;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;6;1;2;4;3;1;2;2;1;1;1;2;1;01;17;10;17;1;125,618103573509
2531465;1;3;2;1;1;1;1;1;4;3; ; ; ; ;100000;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;2;1;4;1;2;1;1;1;1;2;1;01;17;10;17;1;147,241770683731
