DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4953523;1;2;1;70;1;24;48;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;53;15;1;2;07;1551;68;1500,44111782257; 
4953524;1;2;1;70;1;4;48;1; ;2;416;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;52;1;1;07;5233;68;2356,21771308711; 
4953527;1;4;1;70;1;28;48;1; ;2;7;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;87;75;1;2;07;7522;68;2489,12762079674; 
4953537;1;2;1;70;1;24;48;1; ;2;24;3; ;1;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;54;95;1;2;07;9500;68;2424,65017046661; 
4953537;1;3;1;70;1;4;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;41;52;1;1;07;5233;68;2424,65017046661; 
4953549;1;1;1;70;1;16;48;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;83;83;28;1;2;07;2811;68;1243,74943313846; 
4953550;1;1;1;70;1;9;48;1; ;2;9;1; ;5;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;828116;2; ;58;58;63;1;1;07;6331;68;1863,70020341258; 
4953550;1;2;1;70;1;4;48;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;52;1;1;07;5244;68;1863,70020341258; 
4953551;1;2;1;70;1;40;48;1; ;2;48;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;33;39;65;1;2;07;6512;68;2535,6678206617; 
4953557;1;2;1;70;1;6;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;1;07;4521;68;1550,88316069128; 
4953561;1;2;1;70;1;32;48;1; ;2;38;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;44;21;71;1;2;07;7130;68;2512,66495913259; 
4953565;1;2;1;70;1;52;72;1; ;2;52;1; ;4;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;828116;2; ;45;45;52;1;2;07;5234;68;1819,72594106997; 
4953590;1;1;1;70;1;12;48;1; ;2;12;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;58;58;80;1;1;07;8060;76;2075,59694398262; 
4953590;1;3;1;70;1;48;48;1; ;2;48;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;95;95;74;1;2;07;7493;76;2075,59694398262; 
4953590;1;4;1;70;1;48;48;1; ;2;48;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;32;80;1;2;07;8060;76;2075,59694398262; 
4953590;1;5;1;70;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ;09; ; ;1;2;07; ;76;2075,59694398262; 
