DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;MES;DPTO;ORDEN;fex_c_2011
2552400;1;4;2;1;1;1;1;1;3;2; ;210000;90000000;300000; ;2;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;1;01;73;11;73;1;193,896009112029
2552401;1;4;3;1;1;1;1;1;3;3; ; ; ; ;150000;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2; ;2;2; ;3;1;1;1;2;1;1;1;1;1;1;3;1;01;73;11;73;1;147,807646654503
2552402;1;2;2;1;1;1;1;1;3;1; ; ;20000000;200000; ;2;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;2;1;01;73;11;73;1;206,361883943525
2552403;1;5;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;1;1;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;1;01;73;11;73;1;228,81035959272
2552405;1;3;2;1;1;1;1;1;3;1; ; ;60000000;450000; ;1;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;1;01;73;11;73;1;228,719607431893
2552406;1;6;3;1;1;1;1;1;3;1; ; ;60000000;250000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;1;3;1;01;73;11;73;1;205,675092188902
2552407;1;3;1;1;1;1;1;1;3;3; ; ; ; ;280000;2;2;1;2;2;1;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;1;3;1;01;73;11;73;1;209,885493119562
2552408;1;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;1;3;1;01;73;11;73;1;179,12356904797
2552410;1;3;2;1;1;1;1;1;3;1; ; ;80000000;350000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;1;01;73;11;73;1;210,398672668733
2552411;1;1;1;1;1;1;1;6; ;3; ; ; ; ;120000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;3;3;1;01;73;11;73;1;232,24321660793
2552412;1;4;3;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;1;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;73;11;73;1;215,157494704632
2552413;1;5;3;1;1;1;1;1;3;1; ; ;45000000;400000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;3;2;1;1;4;1;1;1;2;1;1;1;1;1;3;3;1;01;73;11;73;1;177,967337026202
2552414;1;4;2;1;1;1;1;1;3;1; ; ;20000000;250000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;3;1;1;1;2;1;1;1;1;1;2;3;2;01;73;11;73;1;208,122047675292
