DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2562304;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;63;657,445349439673
2562305;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;63;926,836581472533
2562308;1;2;1;80;2;1;1;9;CAMBIO DE DOMICILIO;2; ;2; ; ; ; ;9;2;1;11;63;1258,75662024825
2562308;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ;TRABAJO SOLO LAS VACACIONES;12;2;1;11;63;1258,75662024825
2562913;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;5091,5990383523
2562913;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;5091,5990383523
2562913;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;5091,5990383523
2562916;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;5091,5990383523
2562916;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;5091,5990383523
2562917;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;68;1819,39198419217
2562917;1;2;1;80;2;1;1;9;EDAD;2; ;2; ; ; ; ;8;2;1;11;68;1819,39198419217
2562923;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;5172,54990637795
2562924;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;68;1819,39198419217
2562932;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;68;948,311939036052
2562932;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;948,311939036052
2562953;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;68;2565,13361673024
2562957;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;4856,05881226623
2562958;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;3825,34808326822
2562959;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;11;68;2565,13361673024
2562961;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;3866,83633833941
2562963;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;4;2;1;11;68;1819,39198419217
2562964;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;11;68;1819,39198419217
2562967;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;1007,71412991116
2562968;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;68;1145,07910710027
2562968;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;1145,07910710027
2562969;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;11;68;801,476085249442
2562970;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;68;954,259308310345
2562971;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;11;68;533,05392091452
2562971;1;4;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;11;68;533,05392091452
2563509;1;1;1;80;2;1;4;9;POR EDAD;2; ;2; ; ; ; ;8;2;1;11;52;1718,54307931597
2563509;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;1718,54307931597
2563513;1;3;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;11;52;1498,57761341874
2563514;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;11;52;3531,30170498085
2563514;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3531,30170498085
2563515;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;1;2;1;11;52;2464,79165726732
2563515;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2464,79165726732
2563517;1;3;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;11;52;1498,57761341874
2563518;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2334,44646171969
2563519;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3845,60370809245
2563519;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3845,60370809245
