DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2562249;1;3;2;2;1;4;1;1;5;1; ; ;12000000;50000; ;2;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;1;2; ;2;01;2;11;63;1;423,231309394781
2562251;1;2;2;2;2;5;1;1;5;4; ; ; ;50000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;2; ;2;01;2;11;63;1;772,580513883836
2562251;2;2;1;2;2;5;1;1;4;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;2; ; ; ; ; ; ; ; ; ; ;2;01;2;11;63;1;772,580513883836
2562251;3;2;2;2;2;5;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;3; ; ; ; ; ; ; ; ; ; ;2;01;2;11;63;1;772,580513883836
2562252;1;3;3;2;1;5;2;1;5;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;4;2;2; ;6;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;63;1;759,30782671461
2562260;1;4;2;2;1;4;2;1;5;4; ; ; ;100000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;63;1;456,73881786796
2562261;1;2;2;3;1;4;2;1;4;4; ; ; ;100000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;3;1;1;7;2;1;2;2;2;2;1; ; ;01;2;11;63;1;346,686288268846
2562262;1;3;2;3;1;4;2;1;5;1; ; ;12000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;2;2;2;2; ; ;01;2;11;63;1;666,771383225847
2562263;1;4;2;2;1;5;2;1;4;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;2; ;2;01;2;11;63;1;1971,46632526965
2562265;1;3;1;2;1;5;2;1;4;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;63;1;1006,98048600297
2562266;1;3;2;2;1;4;1;1;5;4; ; ; ;200000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;4;3;1;2;2;2;1;3; ;1;01;2;11;63;1;638,594401680774
2562270;1;2;1;2;2;5;2;1;5;4; ; ; ;50000; ;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;3;1;1;1;2;1;2;1;2;2;3; ; ;01;2;11;63;1;316,004170547987
2562270;2;3;1;2;1;5;2;1;4;1; ; ;30000000;80000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2; ;2;2; ; ; ; ; ; ; ; ; ; ; ;01;2;11;63;1;316,004170547987
2562272;1;5;1;2;1;5;2;1;5;1; ; ;80000000;50000; ;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;2;2; ;1;1;1;4;4;1;2;2;2;2;2; ; ;01;2;11;63;1;524,604664233803
