DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6585S4A2,P6773S1,P6775,P6772S1,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P9450,P6915S1,P6915,P6773,P7075,P7077,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,OFICIO,RAMA2D,OCI,P6430,P6420S1,RAMA4D,RAMA4DP8,RAMA2DP8,INGLABO,MES,DPTO,fex_c_2011
2799029,1,1,1,60,2,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,380000,1,1700000,3,,12,,,,,,,,,,,,,,,,,,,,,2011,2,1,45,,.,45,,,1,7,12,1,13,17,2,,,2,8,,2,,,,1,,,,1,,,,,,2,1,90,1,,2,,,,,0,2,,2,,,,2,,,,2,,,,,,,,,,,,,,,1,1,2,2,2,2,2,4,3,8,,61,1,1,5,,111,,,380000,10,63,154.019.546.834.664
2799029,1,2,1,60,2,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,.,12,,,,,,,,,,,,,,,,,,,,,,,,49,,.,49,,,1,7,11,1,15,18,2,,,2,1,,2,,,,1,,,,,,,,1,,2,1,90,6,,2,,,,,0,2,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,53,1,1,7,,111,,,,10,63,154.019.546.834.664
2799029,1,3,1,60,2,2,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,.,12,,,,,,,,,,,,,,,,,,,,,,,,45,,.,45,,,1,7,12,1,13,17,2,,,2,8,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,2,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,62,1,1,6,,111,,,,10,63,154.019.546.834.664
2799030,1,1,1,60,2,1,2,1,,2,1,,2,2,2,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,321720,1,3860640,3,,12,2,,,,,,,,,,,,,,,,,,,,,2,,40,,.,40,,,1,8,16,2,,,,,,9,1,,1,4,1,3,1,,,,,,,,1,,1,1,12,3,,2,,,,,0,2,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,54,85,1,4,8532,8532,8532,85,321720,10,63,165.203.867.619.089
2799030,1,2,1,60,2,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,8000,1,8000,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,48,,.,48,,,1,8,16,2,,,,,,1,2,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,2,,2,,,,1,24,1,1,1,1,2,2,2,1,2,2,2,2,2,,1,1,,2,2,2,2,2,2,2,2,3,3,,55,74,1,4,,7493,,,8000,10,63,165.203.867.619.089
2799031,1,1,1,60,2,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,320000,1,640000,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,45,,.,45,,,1,7,12,1,13,17,2,,,1,8,,2,,,,1,,,,,,,,1,,2,1,3,1,,2,,,,,10,2,,1,,,,2,,,,1,1,2,1,2,2,2,2,2,2,1,TRABAJO FIJO,1,1,,3,2,2,4,4,2,2,1,3,3,,61,1,1,4,,140,,,320000,10,63,215.540.060.414.179
2799031,1,2,1,60,2,1,2,2,12,1,1,,2,2,1,60,,1,,420000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,.,,,,,,.,12,,,,,,,,,,,,,2,2,,,,2,,,,,,40,,.,40,,,1,8,16,2,,,,,,1,7,,2,,,,1,,,,,,,,1,,2,1,36,4,,2,,,,,0,2,,1,,,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,,2,2,2,3,4,2,2,2,3,8,,54,85,1,1,,8532,,,420000,10,63,215.540.060.414.179
2799032,1,1,1,60,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,75000,1,75000,1,,12,,,,,,,,,,,,,,,,,,,,,,2,,50,,.,27,7,SOLO PODIA TRABAJAR ESAS HORAS,1,7,12,1,13,17,2,,,1,8,,2,,,,1,,,,,,,,1,,2,1,2,1,,1,30,7,,,0,2,,2,,4,5,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,61,1,1,4,,111,,,75000,10,63,195.699.879.001.799
2799033,1,1,1,60,2,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,300000,1,3600000,1,,12,,,,,,,,,,,,,,,,,,,,,,2,,50,,.,50,,,1,7,12,1,13,17,1,7,12,2,8,,2,,,,1,,,,,,,,1,,2,1,120,4,,2,,,,,0,2,,2,,,,2,,,,1,1,1,2,2,2,2,2,2,2,2,,1,1,,3,3,2,3,3,2,2,2,3,3,,61,1,1,4,,111,,,300000,10,63,176.649.356.656.986
2799033,1,2,1,60,2,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,.,12,,,,,,,,,,,,,,,,,,,,,,,,30,2,,30,,,1,13,17,2,,,,,,2,8,,2,,,,1,,,,,,,,1,,2,1,24,6,,2,,,,,0,2,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,62,1,1,6,,111,,,,10,63,176.649.356.656.986
