DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2797388,1,1,1,80,68,1,3,3,,2,,2,,,,,9,2,1,10,68,49.864.956.738.855
2797389,1,3,1,80,17,1,2,8,,2,,2,,,2,,2,1,1,10,17,251.701.891.453.452
2797390,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,38.635.950.851.211
2797391,1,1,1,80,17,1,4,4,,2,,2,,,,,4,2,1,10,17,256.000.444.755.193
2797391,1,2,1,80,17,1,4,3,,2,,2,,,,,9,2,1,10,17,256.000.444.755.193
2797394,1,2,1,80,17,1,4,5,,3,,2,,,,,10,2,1,10,17,149.962.938.509.824
2797394,1,3,1,80,17,1,4,4,,3,,2,,,,,4,2,1,10,17,149.962.938.509.824
2797395,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,166.936.205.785.752
2797395,1,4,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,166.936.205.785.752
2797396,1,1,1,80,17,1,3,6,,2,,2,,,,,8,2,1,10,17,151.969.561.725.756
2797396,1,2,1,80,17,1,4,3,,2,,2,,,,,9,2,1,10,17,151.969.561.725.756
2797400,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,213.560.973.277.832
2797400,1,4,1,80,17,1,1,8,,2,,2,,,,,2,2,1,10,17,213.560.973.277.832
2797401,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,149.160.783.359.404
2797404,1,2,1,80,17,2,,,,2,,1,400000,1,1,,2,,1,10,17,193.179.754.256.055
2797406,1,3,1,80,17,1,1,2,,2,,2,,,,,2,2,1,10,17,214.428.494.472.277
2797406,1,4,1,80,17,1,1,2,,2,,2,,,,,2,2,1,10,17,214.428.494.472.277
2797406,1,5,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,214.428.494.472.277
2797408,1,4,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,214.192.302.405.143
2797408,1,5,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,214.192.302.405.143
2797408,1,6,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,214.192.302.405.143
2797409,1,1,1,80,17,1,1,2,,2,,2,,,,,2,2,1,10,17,197.335.654.122.858
2797419,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,274.118.658.895.495
2797419,1,4,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,274.118.658.895.495
2797419,1,5,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,274.118.658.895.495
2797419,1,6,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,274.118.658.895.495
2797419,1,7,1,80,17,1,3,2,,2,,2,,,,,2,2,1,10,17,274.118.658.895.495
2797419,1,8,1,80,17,1,3,2,,2,,2,,,,,2,2,1,10,17,274.118.658.895.495
2797443,1,1,1,80,17,1,4,4,,3,,2,,,,,4,2,1,10,17,151.969.561.725.756
2797443,1,2,1,80,17,1,4,3,,2,,2,,,,,9,2,1,10,17,151.969.561.725.756
2797444,1,1,1,80,17,1,4,4,,2,,2,,,,,4,2,1,10,17,128.000.222.377.596
2797445,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,115.386.747.901.973
2797445,1,3,1,80,17,1,4,5,,3,,2,,,4,,1,1,1,10,17,115.386.747.901.973
2797446,1,5,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,189.697.010.016.747
2797450,1,1,1,80,23,1,3,3,,2,,2,,,,,9,2,1,10,23,139.062.381.059.114
2797450,1,2,1,80,23,1,4,5,,3,,2,,,,,8,2,1,10,23,139.062.381.059.114
2797450,1,3,1,80,23,2,,,,2,,2,,2,,.,,,1,10,23,139.062.381.059.114
2797451,1,1,1,80,23,2,,,,2,,2,,2,,.,,,1,10,23,116.455.036.266.329
2797453,1,2,1,80,23,2,,,,2,,2,,2,,.,,,1,10,23,1.063.510.628.529
2797455,1,3,1,80,23,1,1,2,,2,,2,,,,,2,2,1,10,23,935.024.702.491.918
2797461,1,2,1,80,23,1,1,4,,2,,2,,,,,4,2,1,10,23,133.346.999.854.793
2797484,1,1,1,80,76,1,4,4,,3,,2,,,,,4,2,1,10,76,113.584.967.992.589
2797484,1,4,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,113.584.967.992.589
2797485,1,2,1,80,76,1,2,3,,2,,2,,,,,9,2,1,10,76,832.588.976.649.138
2797486,1,1,1,80,76,1,3,4,,2,,2,,,,,4,2,1,10,76,100.590.910.277.438
2797488,1,1,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,856.411.888.910.432
2797489,1,3,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,903.144.878.971.626
2797495,1,1,1,80,76,1,4,5,,3,,2,,,,,8,2,1,10,76,106.205.254.240.796
2797495,1,2,1,80,76,1,1,7,,2,,2,,,,,4,2,1,10,76,106.205.254.240.796
2797496,1,1,1,80,76,1,3,5,,3,,2,,,,,4,2,1,10,76,106.205.254.240.796
2797496,1,2,1,80,76,1,4,4,,3,,2,,,,,4,2,1,10,76,106.205.254.240.796
2797497,1,1,1,80,76,1,4,9,NO NECESITABA  TRABAJAR,3,,2,,,,NO  NECESITABA,12,2,1,10,76,703.367.043.290.392
2797498,1,1,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,719.093.760.540.153
2797501,1,3,1,80,8,2,,,,2,,2,,2,,.,,,1,10,8,525.127.967.467.681
2797503,1,2,1,80,52,1,3,4,,2,,2,,,,,4,2,1,10,52,144.065.656.486.233
2797506,1,1,1,80,52,2,,,,3,,2,,2,,.,,,1,10,52,130.101.542.253.667
2797506,1,2,1,80,52,1,4,5,,3,,2,,,,,8,2,1,10,52,130.101.542.253.667
2797509,1,1,1,80,52,1,4,8,,2,,2,,,,,9,2,1,10,52,11.413.411.899.547
2797509,1,2,1,80,52,2,,,,2,,2,,2,,.,,,1,10,52,11.413.411.899.547
2797509,1,3,1,80,52,2,,,,2,,2,,2,,.,,,1,10,52,11.413.411.899.547
2797516,1,1,1,80,52,2,,,,2,,2,,2,,.,,,1,10,52,150.111.948.228.731
2797518,1,1,1,80,52,1,4,7,,2,,2,,,,,9,2,1,10,52,123.518.186.571.052
2797521,1,1,1,80,52,1,3,8,,2,,2,,,2,,8,1,1,10,52,28.501.511.543.473
2797521,1,2,1,80,52,1,2,6,,2,,2,,,,,1,2,1,10,52,28.501.511.543.473
2797523,1,2,1,80,52,1,4,3,,2,,2,,,,,9,2,1,10,52,207.448.016.438.742
2797524,1,1,1,80,52,1,2,4,,2,,2,,,,,4,2,1,10,52,19.073.031.513.802
2797524,1,4,1,80,52,1,2,3,,2,,2,,,,,9,2,1,10,52,19.073.031.513.802
2797526,1,2,1,80,52,1,1,8,,2,,2,,,,,2,2,1,10,52,376.275.630.692.335
2797531,1,7,1,80,52,1,1,8,,2,,2,,,,,9,2,1,10,52,178.053.542.888.096
2797532,1,1,1,80,52,1,4,5,,3,,2,,,,,10,2,1,10,52,114.671.182.935.587
2797534,1,2,1,80,52,1,1,8,,2,,2,,,,,2,2,1,10,52,20.643.575.630.343
2797550,1,1,1,80,50,1,2,3,,2,,2,,,,,9,2,1,10,50,109.036.958.536.535
2797552,1,2,1,80,50,1,4,8,,2,,2,,,2,,7,1,1,10,50,362.322.291.992.958
2797559,1,3,1,80,50,2,,,,2,,2,,2,,.,,,1,10,50,193.376.026.243.109
2797598,1,1,1,80,73,1,3,4,,2,,2,,,,,4,2,1,10,73,448.632.441.021.181
2797599,1,2,1,80,73,1,4,4,,2,,2,,,,,4,2,1,10,73,389.822.942.435.145
2797601,1,3,1,80,73,1,3,7,,2,,2,,,2,,4,1,1,10,73,154.277.759.366.117
2797604,1,1,1,80,73,1,4,9,EL HIJO NO LA DEJA TRABAJAR,2,,2,,,,,9,2,1,10,73,13.508.423.188.383
2797604,1,2,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,13.508.423.188.383
2797605,1,4,1,80,73,1,1,8,,2,,2,,,,,2,2,1,10,73,247.743.948.614.797
2797607,1,1,1,80,73,1,4,5,,3,,2,,,,,1,2,1,10,73,206.024.105.383.197
2797607,1,2,1,80,73,1,4,3,,3,,2,,,,,9,2,1,10,73,206.024.105.383.197
2797607,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,206.024.105.383.197
2797609,1,1,1,80,73,1,4,4,,2,,2,,,,,4,2,1,10,73,277.265.026.300.628
2797612,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,337.784.710.991.158
2797612,1,3,1,80,66,2,,,,2,,2,,1,4,,2,,1,10,66,337.784.710.991.158
2797613,1,1,1,80,66,1,4,5,,3,,2,,,,,10,2,1,10,66,25.002.367.920.328
2797614,1,2,1,80,66,1,2,3,,2,,2,,,,,9,2,1,10,66,334.126.158.165.206
2797616,1,1,1,80,66,1,4,5,,3,,2,,,,,10,2,1,10,66,258.995.850.813.927
2797616,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,258.995.850.813.927
2797617,1,1,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,29.523.838.356.091
