DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2797283,1,3,2,1,1,1,1,1,3,3,,,,,280000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,10,73,1,73,185.670.223.554.566
2797285,1,4,3,1,1,1,1,1,3,1,,,140000000,1200000,,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,2,2,,4,1,2,1,4,1,1,1,1,1,5,3,2,1,1,10,73,1,73,19.678.285.772.019
2797286,1,7,4,1,1,1,1,1,3,1,,,70000000,600000,,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,5,2,2,,7,1,1,1,4,1,1,1,1,1,2,3,2,1,1,10,73,1,73,296.749.802.608.235
2797287,1,3,1,1,1,1,1,1,4,3,,,,,200000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,1,1,1,2,3,2,1,1,10,73,1,73,234.703.140.702.457
2797288,1,4,2,1,1,1,1,1,3,3,,,,,240000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,2,1,2,1,1,1,1,1,2,3,2,1,1,10,73,1,73,258.972.911.173.235
2797289,1,5,3,1,1,1,1,1,3,1,,,90000000,700000,,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,73,1,73,455.862.123.469.344
2797291,1,6,5,1,1,1,1,1,3,1,,,80000000,300000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,7,1,1,1,2,1,1,1,1,1,2,3,2,1,1,10,73,1,73,155.328.550.365.258
2797292,1,2,1,1,1,1,1,1,3,3,,,,,180000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,,2,2,,3,1,2,1,2,1,1,1,1,1,2,3,1,1,1,10,73,1,73,249.788.450.754.326
2797293,1,1,1,1,1,1,1,1,3,3,,,,,120000,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,2,1,2,1,2,1,1,1,1,1,2,3,1,1,1,10,73,1,73,226.303.935.406.022
2797294,1,5,2,1,1,1,1,1,3,1,,,100000000,400000,,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,73,1,73,308.555.518.732.234
2797295,1,6,4,1,1,1,1,1,3,1,,,80000000,600000,,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,5,2,2,,5,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,73,1,73,217.554.115.359.699
2797296,1,6,1,1,1,1,1,1,3,3,,,,,450000,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,73,1,73,389.822.942.435.145
2797297,1,4,2,1,1,1,1,1,3,1,,,110000000,600000,,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,3,2,2,,3,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,73,1,73,443.092.008.794.609
2797298,1,1,1,1,1,1,1,2,4,5,,,,80000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,1,1,1,5,2,1,2,1,1,1,1,3,1,1,1,10,63,1,63,108.769.669.226.637
2797299,1,4,2,1,1,1,1,1,3,1,,,40000000,200000,,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,2,3,1,1,1,10,63,1,63,121.920.448.872.305
2797300,1,1,1,1,2,1,1,1,4,3,,,,,70000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,2,1,3,1,2,1,2,1,1,1,1,3,1,1,1,10,63,1,63,138.065.680.131.732
2797301,1,1,1,2,1,1,9,2,4,5,,,,30000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,2,1,1,5,2,2,2,2,1,2,,3,,1,1,10,63,1,63,130.704.256.446.933
