DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,MES,DPTO,ORDEN,fex_c_2011
2797277,1,4,1,1,1,1,1,1,3,1,,,250000000,1500000,,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,,2,1,2,1,5,1,1,1,1,1,5,3,1,1,73,10,73,1,194.911.471.217.572
2797278,1,4,1,1,1,1,1,1,4,1,,,250000000,1500000,,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,,2,1,2,1,4,1,2,1,1,1,4,9,1,1,73,10,73,1,194.911.471.217.572
2797279,1,6,3,1,1,1,1,1,3,1,,,280000000,800000,,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,5,7,2,1,73,10,73,1,141.962.665.427.535
2797281,1,4,1,1,1,1,1,1,3,1,,,130000000,800000,,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,,2,2,,1,1,2,1,4,1,1,1,1,1,5,3,1,1,73,10,73,1,24.786.027.700.761
2797282,1,4,1,1,1,1,1,6,,1,,,130000000,1500000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,1,1,1,1,5,3,1,1,73,10,73,1,164.605.309.569.662
2797283,1,3,2,1,1,1,1,1,3,3,,,,,280000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,73,10,73,1,185.670.223.554.566
2797285,1,4,3,1,1,1,1,1,3,1,,,140000000,1200000,,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,2,2,,4,1,2,1,4,1,1,1,1,1,5,3,2,1,73,10,73,1,19.678.285.772.019
2797286,1,7,4,1,1,1,1,1,3,1,,,70000000,600000,,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,5,2,2,,7,1,1,1,4,1,1,1,1,1,2,3,2,1,73,10,73,1,296.749.802.608.235
2797287,1,3,1,1,1,1,1,1,4,3,,,,,200000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,1,1,1,2,3,2,1,73,10,73,1,234.703.140.702.457
2797288,1,4,2,1,1,1,1,1,3,3,,,,,240000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,2,1,2,1,1,1,1,1,2,3,2,1,73,10,73,1,258.972.911.173.235
2797289,1,5,3,1,1,1,1,1,3,1,,,90000000,700000,,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,3,3,1,1,73,10,73,1,455.862.123.469.344
2797291,1,6,5,1,1,1,1,1,3,1,,,80000000,300000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,7,1,1,1,2,1,1,1,1,1,2,3,2,1,73,10,73,1,155.328.550.365.258
2797292,1,2,1,1,1,1,1,1,3,3,,,,,180000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,,2,2,,3,1,2,1,2,1,1,1,1,1,2,3,1,1,73,10,73,1,249.788.450.754.326
2797293,1,1,1,1,1,1,1,1,3,3,,,,,120000,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,2,1,2,1,2,1,1,1,1,1,2,3,1,1,73,10,73,1,226.303.935.406.022
2797294,1,5,2,1,1,1,1,1,3,1,,,100000000,400000,,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,3,3,1,1,73,10,73,1,308.555.518.732.234
2797295,1,6,4,1,1,1,1,1,3,1,,,80000000,600000,,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,5,2,2,,5,1,1,1,4,1,1,1,1,1,3,3,1,1,73,10,73,1,217.554.115.359.699
2797296,1,6,1,1,1,1,1,1,3,3,,,,,450000,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,3,3,1,1,73,10,73,1,389.822.942.435.145
2797297,1,4,2,1,1,1,1,1,3,1,,,110000000,600000,,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,3,2,2,,3,1,1,1,4,1,1,1,1,1,3,3,1,1,73,10,73,1,443.092.008.794.609
2797308,1,3,2,1,1,1,1,1,3,1,,,100000000,600000,,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,6,2,1,1,66,10,66,1,258.995.850.813.927
2797309,1,4,3,1,1,1,1,1,4,2,,500000,120000000,120000000,,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,3,2,2,,3,1,2,1,4,1,2,1,1,1,6,2,1,1,66,10,66,1,264.902.010.572.051
2797311,1,2,1,1,1,1,1,1,3,1,,,50000000,200000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,,2,2,,2,1,1,1,2,1,1,1,1,1,1,2,1,1,66,10,66,1,258.995.850.813.927
2797312,1,2,1,1,1,1,1,1,3,3,,,,,200000,1,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,3,2,2,,3,1,2,1,3,1,1,1,1,1,1,2,1,1,66,10,66,1,29.563.923.890.645
2797313,1,3,2,1,1,1,1,1,3,4,,,,150000,,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,,4,1,2,7,2,1,1,1,1,1,1,2,1,1,66,10,66,1,34.264.301.592.798
2797314,1,2,2,1,1,1,1,1,4,3,,,,,90000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,3,1,1,7,3,1,2,1,1,1,1,2,1,1,66,10,66,1,261.266.186.321.518
2797315,1,5,1,1,1,1,1,6,,1,,,150000000,600000,,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,6,2,1,1,66,10,66,1,29.058.924.834.174
2797317,1,4,1,1,1,1,1,1,3,3,,,,,700000,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,1,1,1,1,6,2,1,1,66,10,66,1,29.058.924.834.174
2797319,1,4,2,1,1,1,1,1,3,4,,,,250000,,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,1,2,1,1,66,10,66,1,29.563.923.890.645
2797320,1,4,2,1,1,1,1,1,3,1,,,35000000,250000,,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,3,2,2,,3,1,1,1,4,1,1,1,1,1,1,2,1,1,66,10,66,1,251.140.250.374.595
2797321,1,1,1,4,1,3,1,1,5,5,,,,150000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,3,1,1,7,1,1,2,2,2,1,1,,1,1,66,10,66,1,293.391.631.974.278
2797322,1,6,5,1,1,1,1,1,3,1,,,50000000,300000,,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,2,2,,5,1,1,1,4,1,1,1,1,1,3,2,1,1,66,10,66,1,222.092.054.921.816
2797323,1,4,2,1,1,1,1,1,3,3,,,,,290000,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,3,2,1,1,66,10,66,1,334.126.158.165.206
