DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
4367127;1;4;3;1;1;1;1;1;3;1; ; ;99;98; ;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;1;1;2;4;2; ;1;2;1;4;1;1;1;1;1;3;1;2;01;1;07;76;2732,03338505246; 
4367128;1;4;1;1;1;1;1;1;3;3; ; ; ; ;350000;2;1;2;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;1;2;2;1;2;2;2; ;1;1;1;4;1;2;1;1;1;3;1;2;01;1;07;76;2885,4115671578; 
4367129;1;4;3;1;1;1;1;1;3;1; ; ;35000000;300000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;2;2;1;3;4;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;07;76;2727,46046971757; 
4367130;1;5;4;1;1;1;1;1;3;1; ; ;98;250000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;1;2;2;1;2;2;2;1;2; ;2;2; ;1;2;1;4;1;1;1;1;1;3;1;2;01;1;07;76;2885,4115671578; 
4367131;1;4;3;1;1;1;1;1;3;1; ; ;99;150000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;1;1;3;5;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;07;76;2008,19638521542; 
4367132;1;4;3;1;1;1;1;1;3;3; ; ; ; ;150000;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;7;2; ;1;1;1;4;1;2;1;1;1;3;1;2;01;1;07;76;1934,1748214959; 
4367133;1;3;2;1;1;1;1;1;3;3; ; ; ; ;150000;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;1;2;2;2;1;2;3;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;07;76;2773,15136012583; 
4367134;1;3;2;1;1;1;1;1;3;1; ; ;98;200000; ;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;3;3;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;07;76;2688,70845718057; 
4367135;1;2;1;5;1;1;2;5;5;1; ; ;98;98; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;3;1;1;2;2;1;7;2; ;01;1;07;76;1980,19670104234; 
4367136;1;3;2;5;1;1;1;1;4;3; ; ; ; ;200000;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;5;2; ;1;1;9;3;1;1;2;2;1;5;1;2;01;1;07;76;2547,2428241685; 
