DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011;AREA
4367127;1;2;1;80;1;2; ; ; ; ;1;2;5; ;2; ;2; ;1;44;737800;2;1;07;76;2732,03338505246; 
4367127;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;500000;2;1;07;76;2732,03338505246; 
4367129;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;800000; ;1;07;76;2727,46046971757; 
4367130;1;1;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ;700000;2;1;07;76;2885,4115671578; 
4367131;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;450000;2;1;07;76;2008,19638521542; 
4367131;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;250000;2;1;07;76;2008,19638521542; 
4367131;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;200000; ;1;07;76;2008,19638521542; 
4367132;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;500000;2;1;07;76;1934,1748214959; 
4367132;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;500000; ;1;07;76;1934,1748214959; 
4367132;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;500000; ;1;07;76;1934,1748214959; 
4367132;1;6;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;800000;2;1;07;76;1934,1748214959; 
4367136;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;150000;2;1;07;76;2547,2428241685; 
4367137;1;2;1;80;1;1;4;8; ;2; ; ;1; ;2; ;2; ;1;50;300000;2;1;07;76;1879,33984401343; 
4367137;1;3;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ;700000;2;1;07;76;1879,33984401343; 
4367137;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;300000;2;1;07;76;1879,33984401343; 
4367139;1;1;1;80;1;1;4;3; ;2; ; ;9; ;3; ;2; ; ; ;737717;3;1;07;76;1980,19670104234; 
4367140;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;200000; ;1;07;76;2373,20459164845; 
4367145;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;1000000;3;1;07;76;1980,19670104234; 
4367146;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;734000;2;1;07;76;2372,98621584771; 
4367146;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;734000;2;1;07;76;2372,98621584771; 
4367147;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;700000;2;1;07;76;2161,57456732076; 
4367156;1;4;1;80;1;2; ; ; ; ;1;2;1; ;2; ;2; ;1;30;300000;2;1;07;76;2470,13955498161; 
4367156;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;5000; ;1;07;76;2470,13955498161; 
4367157;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;2; ;1350000;2;1;07;76;2113,12137657378; 
4367163;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;40;400000;2;1;07;76;2282,87751704839; 
