DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4372911;1;2;1;70;2;20;24;1; ;2;20;8; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;380000;2; ;53;62;01;1;2;0117;07;63;1612,7439400076
4372912;1;1;1;70;2;104;48;3; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;738000;2; ;55;53;55;1;2;5521;07;63;2047,76604298177
4372912;1;2;1;70;2;104;48;8; ;2;150;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;738000;2; ;62;95;45;1;2;4521;07;63;2047,76604298177
4374036;1;1;1;70;2;1;48;1; ;2;161;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;58;58;74;1;1;7492;07;66;3491,79330304285
4374039;1;1;1;70;2;26;48;3; ;2;26;8; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;54;62;01;1;2;0111;07;66;3954,47169678705
4374041;1;1;1;70;2;6;50;1; ;2;6;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;737717;2; ;62;62;52;1;1;5241;07;66;2750,99948317035
4377284;1;2;1;70;2;40;48;1; ;2;40;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;95;95;45;1;2;4552;07;25;6678,3964642516
4377312;1;2;1;70;2;4;48;1; ;2;6;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;740000;2; ;59;97;24;1;1;2423;07;25;2888,39643379595
4377349;1;3;1;70;2;2;45;8; ;2;2;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;400000;2; ;62;62;01;1;1;0111;07;76;5173,30442753829
4377381;1;2;1;70;2;1;14;4; ;2;32;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;62;61;01;1;1;0123;07;76;2895,46850834254
4377387;1;1;1;70;2;16;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;32; ; ;1;2; ;07;76;6446,17455977384
4377389;1;2;1;70;2;4;40;1; ;2;8;3; ;2;2;9;SE TRASLADA AL MUNICIPIO DONDE TIENE COBERTURA DE EPSS; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;55;54;95;1;1;9500;07;76;5483,81397425779
4377437;1;3;1;70;2;24;48;1; ;2;156;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;13;13;80;1;2;8044;07;19;1096,58831997539
4377439;1;2;1;70;2;25;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;45; ; ;1;2; ;07;19;1253,42336304347
4377443;1;1;1;70;2;12;40;2; ;2;12;2; ;9;2;3; ; ; ; ; ;1; ; ; ; ; ;2; ;1000000;2; ;13;13;80;1;1;8041;07;19;1096,58831997539
4377451;1;2;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;750000; ; ;97; ; ;1;2; ;07;19;3688,91966878885
4377459;1;2;1;70;2;4;48;1; ;2;100;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;97;97;24;1;1;2423;07;19;2926,79629781706
4377460;1;2;1;70;2;32;40;1; ;2;32;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;55;54;74;1;2;7493;07;19;2566,05163293372
4377464;1;1;1;70;2;32;40;1; ;2;40;1; ;9;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;737717;2; ;55;55;65;1;2;6599;07;19;1707,91841531678
4377470;1;2;1;70;2;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;32;92;1;2;9242;07;19;3766,95846990449
4377472;1;4;1;70;2;24;48;1; ;2;28;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;13;54;95;1;2;9500;07;19;1096,58831997539
4377475;1;2;1;70;2;12;48;3; ;2;12;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;737717;2; ;54;54;95;1;1;9500;07;19;1937,71622945643
4378273;1;2;1;70;2;4;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;45; ; ;1;1; ;07;52;1040,6799208699
4378279;1;1;1;70;2;4;48;1; ;2;4;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;500000;500000;2; ;95;95;45;1;1;4521;07;52;2208,35036890458
4378280;1;4;1;70;2;52;40;1; ;2;52;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;59;07;85;1;2;8511;07;52;673,969681587812
4378282;1;3;1;70;2;8;25;1; ;2;10;4; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;59;85;1;1;8512;07;52;950,931252274669
4378284;1;1;1;70;2;3;30;1; ;2;3;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;717000;2; ;53;54;95;1;1;9500;07;52;1210,84288095343
4378287;1;2;1;70;2;26;40;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;717000;2; ;33;33;52;1;2;5211;07;52;673,969681587812
4378292;1;1;1;70;2;17;24;3; ;2;72;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;53;55;1;2;5530;07;52;1252,13983858197
4378387;1;2;1;70;2;12;40;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;15000;200000;2; ;61;61;01;1;1;0140;07;52;1642,47296545469
4378387;1;3;1;70;2;1;40;1; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;200000;2; ;95;61;01;1;1;0140;07;52;1642,47296545469
4378389;1;2;1;70;2;8;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;400000;2; ;61;61;01;1;1;0140;07;52;2150,07262625239
4378396;1;3;1;70;2;2;40;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;500000;2; ;61;61;00;1;1;0000;07;52;1365,80219925687
4378562;1;3;1;70;2;1;45;8; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;315000;400000;2; ;61;61;01;1;1;0123;07;63;1612,54626218976
4378562;1;4;1;70;2;3;56;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;800000;2; ;95;95;45;1;1;4521;07;63;1612,54626218976
4378587;1;2;1;70;2;52;40;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;738000;2; ;97;59;63;1;2;6340;07;63;1492,8365348665
4378595;1;2;1;70;2;12;48;8; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;2; ;61;55;74;1;1;7493;07;63;1798,67106461086
4378599;1;4;1;70;2;4;48;8; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;737700;2; ;61;61;01;1;1;0111;07;63;2326,19094933413
4378602;1;3;1;70;2;5;45;4; ;2;104;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;650000;2; ;98;97;33;1;1;3311;07;63;2150,09453382476
4378607;1;5;1;70;2;20;40;2; ;2;28;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;53;55;1;2;5521;07;63;2583,35429638621
