DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5494143;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;05;701,341041920786
5494143;1;4;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;701,341041920786
5494143;1;6;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;701,341041920786
5494145;1;1;1;80;05;1;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;07;4;05;1215,32607214556
5494145;1;2;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1215,32607214556
5494146;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;925,642356162365
5494146;1;2;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;925,642356162365
5494146;1;5;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;925,642356162365
5494147;1;1;1;80;05;1;1; ;2; ; ;12;ESTA ESPERANDO QUE PASE LA  PANDEMIA;2; ;2; ;1;24;450000;2;1;07;2;05;1162,17455401171
5494148;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ;1;48;908000;2;1;07;4;05;1083,59232450441
5494148;1;5;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;1083,59232450441
5494149;1;3;1;80;05;1;8; ;2; ; ;2; ;2; ;1;50000;1;24;300000;2;1;07;1,1;05;1647,18850776525
5494149;1;4;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;1647,18850776525
5494151;1;1;1;80;05;1;9;SITUACION DE VENEZUELA;2; ; ;1; ;3; ;2; ;1;48;908526;2;1;07;3;05;1162,17455401171
5494152;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1251,4387175877
5494152;1;2;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1251,4387175877
5494153;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;3;05;1041,9989283646
5494153;1;2;1;80;05;2; ; ; ;1;4;9; ;2; ;2; ;1;48;908526;2;1;07; ;05;1041,9989283646
5494155;1;2;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;4;05;1220,80682284322
5494156;1;2;1;80;05;1;2; ;2; ; ;2; ;1; ;2; ;1;24;500000;2;1;07;1,3;05;1352,65861203127
5494157;1;3;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;1483,47764511695
5494158;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1241,54229284645
5494158;1;2;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;1241,54229284645
5494158;1;3;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ;1;48;908526;2;1;07; ;05;1241,54229284645
5494161;1;4;1;80;05;1;7; ;2; ; ;9; ;2; ;2; ;1;24;300000;2;1;07;2;05;2329,80735904102
5494161;1;9;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;2329,80735904102
5494162;1;4;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;1095,66609691889
5494166;1;1;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ;2; ;908526;2;1;07; ;05;1661,96744563881
5494166;1;3;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;1661,96744563881
5494167;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1131,26309194059
5494167;1;3;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;05;1131,26309194059
5494169;1;3;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ;2; ;98; ;1;07; ;05;1397,63492611229
5494170;1;2;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;2305,17106607259
5494172;1;1;1;80;05;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;05;988,847410230753
5494172;1;2;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;988,847410230753
5494173;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ;2; ;1200000;2;1;07;1,2;05;1114,50378657552
5494175;1;1;1;80;05;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;07;4;05;1162,17455401171
5494176;1;2;1;80;05;2; ; ; ;1;4;9; ;2; ;2; ; ; ; ;2;1;07; ;05;1827,26049062312
5494179;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1251,4387175877
5494179;1;2;1;80;05;1;9;POR EL COVID 19;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;2;05;1251,4387175877
5494180;1;2;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1253,10041484049
5494181;1;3;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;4;05;952,852806335511
5494186;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ;2; ;908000;2;1;07;4;05;1945,85393393422
5494186;1;2;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;1945,85393393422
5494186;1;3;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;1945,85393393422
5494187;1;2;1;80;05;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;05;1068,61275793903
5494187;1;4;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;1068,61275793903
5494188;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;2;05;1129,6013946878
5494188;1;2;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;1129,6013946878
5494188;1;3;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;1129,6013946878
5494188;1;4;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;1129,6013946878
5494189;1;1;1;80;05;1;1; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;07;4;05;1546,60318426856
5494191;1;2;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;05;1769,02583066514
5494191;1;3;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;2;05;1769,02583066514
5494193;1;6;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;4;05;1383,91944792617
5494195;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1373,2760404876
5494195;1;2;1;80;05;1;7; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;07;4;05;1373,2760404876
5494197;1;1;1;80;05;1;1; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;05;1479,5790767553
5494197;1;2;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1479,5790767553
5494197;1;3;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;4;05;1479,5790767553
5494200;1;3;1;80;05;1;8; ;2; ; ;2; ;2; ;2; ;1;48;908526;2;1;07;1,4;05;1009,82337791423
5494200;1;4;1;80;05;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;05;1009,82337791423
5494201;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1373,2760404876
5494201;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;05;1373,2760404876
5494202;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;05;1546,60318426856
