DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5494060;1;4;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;68;3852,67854657639
5494061;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;68;4246,73663788484
5494061;1;3;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;68;4246,73663788484
5494061;1;4;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;68;4246,73663788484
5494062;1;1;1;80; ;1;1;9;RECUPERANDOSE POR COVID 19;1; ;1;4; ;2; ;2; ;2; ;908526;2;1;07;1,2;68;3100,63251067008
5494063;1;1;1;80; ;1;1;1; ;1; ;2;1; ;2; ;2; ;2; ;908526;2;1;07;2;68;2837,30171505022
5494063;1;3;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;68;2837,30171505022
5494063;1;4;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;68;2837,30171505022
5494065;1;2;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;68;3225,42311299618
5494066;1;1;1;80; ;1;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;07;4;68;1550,71562123147
5494070;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;68;3142,08513936354
5494071;1;1;1;80; ;1;1;1; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;07;4;68;3389,77590662411
5494078;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;3;68;2441,27970926514
5494078;1;3;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;68;2441,27970926514
5494084;1;2;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;68;4054,41585413748
5494084;1;3;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ;2; ;1000000;2;1;07; ;68;4054,41585413748
5494085;1;2;1;80; ;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;07;1,2;68;3158,54247882898
5494088;1;1;1;80; ;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;07;4;68;2481,94102044637
5494088;1;2;1;80; ;1;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;68;2481,94102044637
5494091;1;1;1;80; ;1;1;9;PANDEMIA;2; ; ;1; ;2; ;2; ;1;35;400000;2;1;07;2;76;1836,10098117077
5494091;1;2;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;76;1836,10098117077
5494091;1;3;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;76;1836,10098117077
5494092;1;3;1;80; ;1;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;76;2834,9357818459
5494095;1;1;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;3;76;3547,52525228886
