DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5494062;1;3;1;70; ;1;60;48;1; ;2;68;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;61;59;21;1;2;07;6190;68;3100,63251067008
5494065;1;1;1;70; ;1;60;48;1; ;2;72;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;42;33;33;1;2;07;4210;68;3225,42311299618
5494070;1;1;1;70; ;1;4;48;1; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;1000000;2; ;49;98;98;1;1;07;4921;68;3142,08513936354
5494071;1;2;1;70; ;1;52;48;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;1000000;2; ;41;95;95;1;2;07;4111;68;3389,77590662411
5494078;1;2;1;70; ;1;3;48;4; ;2;4;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;908526;2; ;97;53;54;1;1;07;9700;68;2441,27970926514
5494081;1;2;1;70; ;1;12;48;3; ;2;11;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;54;45;1;1;07;4771;68;4247,53536967771
5494082;1;1;1;70; ;1;8;48;1; ;2;28;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;1;07;4111;68;2814,76591196413
5494092;1;2;1;70; ;1;28;48;1; ;2;250;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;53;54;1;2;07;9700;76;2834,9357818459
5494096;1;2;1;70; ;1;24;48;4; ;2;40;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;03;64;64;1;2;07;0311;76;2976,40435952893
5494099;1;4;1;70; ;1;14;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;1200000; ; ; ;97; ;1;2;07;   .;76;2834,9357818459
5494111;1;2;1;70; ;1;8;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;900000;2; ;52;45;97;1;1;07;5224;76;2039,04474757612
5494144;1;1;1;70;05;1;150;48;1; ;2;84;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;92;55;21;1;2;07;9200;05;910,662789596985
5494144;1;4;1;70;05;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;45; ;1;2;07;   .;05;910,662789596985
5494150;1;2;1;70;05;1;104;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;450000; ; ; ;38; ;1;2;07;   .;05;1078,50918268028
5494154;1;1;1;70;05;1;12;48;1; ;2;98;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;64;33;33;1;1;07;6412;05;893,50587535838
5494158;1;5;1;70;05;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;93; ;1;1;07;   .;05;1241,54229284645
5494160;1;1;1;70;05;1;2;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;70000;908526;2; ;18;92;92;1;1;07;1811;05;1162,17455401171
5494161;1;5;1;70;05;1;2;48;1; ;2;3;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;200000;908526;2; ;07;45;71;1;1;07;0722;05;2329,80735904102
5494162;1;3;1;70;05;1;52;24;1; ;2;104;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;81;45;55;1;2;07;8121;05;1095,66609691889
5494164;1;1;1;70;05;1;16;48;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;52;39;39;1;2;07;5229;05;1388,65321592651
5494167;1;4;1;70;05;1;52;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;43;93;93;1;2;07;4330;05;1131,26309194059
5494170;1;5;1;70;05;1;52;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908000; ; ; ;95; ;1;2;07;   .;05;2305,17106607259
