DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5498841;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;4;15;2544,71875297439
5498841;1;2;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;15;2544,71875297439
5498842;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;48;908500;2;1;07;2;15;2430,31435646858
5498843;1;3;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;15;8824,47746837621
5498843;1;4;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;15;8824,47746837621
5498846;1;1;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;15;3432,25912019241
5498847;1;2;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;15;4923,45555260565
5498848;1;2;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;15;2430,31435646858
5498849;1;1;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;07;4;15;3432,25912019241
5498850;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;4;15;2430,31435646858
5498850;1;2;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .;2; ;2; ; ; ; ;2;1;07; ;15;2430,31435646858
5498850;1;3;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;07;2;15;2430,31435646858
5498850;1;5;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;15;2430,31435646858
5498850;1;6;1;80;2;2; ; ; ;2; ; ;                                                                                                                                                                                                                                                         .; ; ;2; ; ; ; ; ;1;07; ;15;2430,31435646858
5499636;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;07;4;41;2520,69937051148
5499637;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;07;4;41;1748,20511391038
