DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;AREA;DPTO;fex_c_2011
1010028;1;1;1;90; ;2; ;2;2;1;2;2;2;1;2;1; ; ; ; ;2; ; ; ;2; ;6;05;05;894,168948230467
1010028;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;20; ;40; ; ; ; ; ; ;05;05;894,168948230467
1010029;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ;05;05;917,327007194806
1010029;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ;05;05;917,327007194806
1010030;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;05;05;1056,17463048996
1010030;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1056,17463048996
1010030;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ;05;05;1056,17463048996
1010031;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;15; ;20; ; ; ; ; ; ;05;05;944,608167687299
1010032;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1247,57187745447
1010032;1;2;1;90; ;2; ;1;2;2;1;2;2;2;2;2; ; ;20; ; ;12; ; ; ; ; ;05;05;1247,57187745447
1010032;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1247,57187745447
1010033;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;25; ; ; ; ; ; ;05;05;1093,83144007248
1010033;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;05;05;1093,83144007248
1010034;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;10; ;12; ; ; ; ; ; ;05;05;979,486217255615
1010035;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;7; ;10; ; ; ; ; ; ;05;05;1128,53123806181
1010035;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;21; ;2; ; ; ; ; ; ;05;05;1128,53123806181
1010036;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;20; ;63; ; ; ; ; ; ;05;05;794,474011806919
1010036;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;05;05;794,474011806919
1010036;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;05;05;794,474011806919
1010038;1;1;1;90; ;2; ;1;2;1;1;2;2;2;2;2; ; ;10; ;10;10; ; ; ; ; ;05;05;1112,91289981409
1010038;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;10; ;25; ; ; ; ; ; ;05;05;1112,91289981409
1010039;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,03485024578
1010039;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;15; ; ; ; ; ; ;05;05;1078,03485024578
1010040;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ; ;4;05;05;1102,71550230305
1010040;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;20; ; ; ; ; ; ;05;05;1102,71550230305
1010041;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;785,559836375357
1010041;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ;05;05;785,559836375357
1010041;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ;05;05;785,559836375357
1010041;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ;05;05;785,559836375357
1010041;1;5;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ;05;05;785,559836375357
1010041;1;6;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ;05;05;785,559836375357
1010042;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;964,7937315357
1010042;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;964,7937315357
1010042;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;964,7937315357
1010042;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;964,7937315357
1010042;1;5;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;964,7937315357
1010043;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1333,67183899971
1010043;1;2;1;90; ;2; ;1;1;2;1;2;2;2;2;2; ; ;25;15; ;15; ; ; ; ; ;05;05;1333,67183899971
1010043;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1333,67183899971
1010044;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ;05;05;1093,04874755239
1010045;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1027,53846242974
1010045;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;25; ; ; ; ; ; ;05;05;1027,53846242974
1010046;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1210,81884361182
1010046;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ;05;05;1210,81884361182
1010046;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ;05;05;1210,81884361182
1010046;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;1210,81884361182
1010047;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1118,33384055077
1010047;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;30; ; ; ; ; ; ;05;05;1118,33384055077
1010048;1;1;1;90; ;2; ;2;2;2;1;2;2;2;2;2; ; ; ; ; ;21; ; ; ; ; ;05;05;1231,89637084755
1010048;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1231,89637084755
1010049;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ;05;05;1179,02762587785
1010049;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1179,02762587785
1010050;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ;05;05;1509,59161743786
1010050;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1509,59161743786
1010050;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;1509,59161743786
1010050;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1509,59161743786
1010051;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1056,17463048996
1010051;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ;05;05;1056,17463048996
1010051;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;1056,17463048996
1010052;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;914,61646502001
1010052;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;24; ;20; ; ; ; ; ; ;05;05;914,61646502001
1010052;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;914,61646502001
1010052;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ;05;05;914,61646502001
1010052;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;914,61646502001
1010052;1;6;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;1; ;30; ; ; ; ; ; ;05;05;914,61646502001
1010053;1;1;1;90; ;2; ;2;2;1;2;2;2;2;2;2; ; ; ; ;5; ; ; ; ; ; ;05;05;1318,05350075199
1010053;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;24; ;10; ; ; ; ; ; ;05;05;1318,05350075199
1010053;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1318,05350075199
1010054;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;886,997263119293
1010054;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;886,997263119293
1010054;1;3;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;10; ; ; ; ; ; ;05;05;886,997263119293
1010055;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1009,86917861506
1010055;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ;05;05;1009,86917861506
1010055;1;3;1;90; ;2; ;2;2;1;2;2;2;2;2;2; ; ; ; ;12; ; ; ; ; ; ;05;05;1009,86917861506
1010055;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1009,86917861506
1010055;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1009,86917861506
1010056;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1324,31745904803
1010056;1;2;1;90; ;2; ;2;2;2;1;2;2;2;2;2; ; ; ; ; ;40; ; ; ; ; ;05;05;1324,31745904803
1010056;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1324,31745904803
1010056;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1324,31745904803
1010056;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1324,31745904803
1010056;1;6;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1324,31745904803
1010058;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;965,112852836047
1010058;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;10; ;9; ; ; ; ; ; ;05;05;965,112852836047
1010058;1;3;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;5; ;3; ; ; ; ; ; ;05;05;965,112852836047
1010058;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;965,112852836047
1010058;1;5;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;05;05;965,112852836047
1010058;1;6;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;965,112852836047
1010059;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;1333,67183899971
1010059;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;9; ; ; ; ; ; ; ; ;05;05;1333,67183899971
1010059;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;05;05;1333,67183899971
1010060;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ;05;05;1247,57187745447
1010060;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ;05;05;1247,57187745447
1010060;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;1247,57187745447
1010061;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;3; ;4; ; ; ; ; ; ;05;05;861,466847001295
1010061;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;18; ;10; ; ; ; ; ; ;05;05;861,466847001295
1010061;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;05;05;861,466847001295
1010062;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;9; ; ; ; ; ; ; ; ;05;05;1133,95217879849
1010062;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ;05;05;1133,95217879849
1010063;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;16; ; ; ; ; ; ; ; ;05;05;1231,89637084755
1010063;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ;05;05;1231,89637084755
1010064;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;28; ;21; ; ; ; ; ; ;05;05;1005,8564942529
1010064;1;4;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;28; ;14; ; ; ; ; ; ;05;05;1005,8564942529
1010064;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1005,8564942529
1010065;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;917,703296854357
1010065;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;28; ;14; ; ; ; ; ; ;05;05;917,703296854357
1010065;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;05;05;917,703296854357
1010065;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ;05;05;917,703296854357
1010066;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;12; ; ; ; ; ; ; ; ;05;05;1349,66646690698
1010066;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1349,66646690698
1010066;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;05;05;1349,66646690698
1010066;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;05;05;1349,66646690698
1010066;1;5;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;1349,66646690698
1010068;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;05;05;1179,02762587785
1010068;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;28; ;21; ; ; ; ; ; ;05;05;1179,02762587785
1010069;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1055,85550918962
1010069;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ;05;05;1055,85550918962
1010070;1;1;1;90; ;2; ;2;2;1;2;2;2;2;2;2; ; ; ; ;7; ; ; ; ; ; ;05;05;1005,67824267393
1010070;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;35; ;14; ; ; ; ; ; ;05;05;1005,67824267393
1010070;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;05;05;1005,67824267393
1010071;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1140,51547189328
1010071;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ;05;05;1140,51547189328
1010071;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1140,51547189328
1010071;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ;05;05;1140,51547189328
1010072;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;7; ;14; ; ; ; ; ; ;05;05;1112,91289981409
1010072;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;28; ;14; ; ; ; ; ; ;05;05;1112,91289981409
1010073;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ;05;05;980,769439335094
1010073;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;980,769439335094
1010073;1;3;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;15; ;20; ; ; ; ; ; ;05;05;980,769439335094
1010073;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;980,769439335094
1010074;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ; ;3;05;05;1055,85550918962
1010074;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ;05;05;1055,85550918962
1010075;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;1179,02762587785
1010075;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1179,02762587785
1010076;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1205,39790287514
1010076;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;40; ; ; ; ; ; ; ; ;05;05;1205,39790287514
1010076;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1205,39790287514
1010076;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1205,39790287514
1010077;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1195,2005053641
1010077;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ;05;05;1195,2005053641
1010077;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1195,2005053641
1010077;1;4;1;90; ;1; ;2;2;2;2;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ; ;05;05;1195,2005053641
1010078;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;05;05;917,327007194806
1010078;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;917,327007194806
1010079;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ;05;05;1365,46305673368
1010079;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,46305673368
1010079;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,46305673368
1010079;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,46305673368
1010079;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,46305673368
1010080;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;808,187748095788
1010080;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ;05;05;808,187748095788
1010080;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;808,187748095788
1010080;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ;05;05;808,187748095788
1010080;1;5;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;10; ;5; ; ; ; ; ; ;05;05;808,187748095788
1010080;1;6;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ;05;05;808,187748095788
1010080;1;7;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;808,187748095788
1010080;1;8;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;808,187748095788
1010081;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;50; ;50; ; ; ; ; ; ;05;05;1349,4684288264
1010081;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1349,4684288264
1010081;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;1349,4684288264
1010083;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;30; ;50; ; ; ; ; ; ;05;05;1093,04874755239
1010084;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;05;05;1488,31605212156
1010084;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ;05;05;1488,31605212156
1010084;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;05;05;1488,31605212156
1010084;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;05;05;1488,31605212156
1010085;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;05;05;1040,18000258269
1010086;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;05;05;1272,60176401308
1010087;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;35; ;48; ; ; ; ; ; ;05;05;866,830619378769
1010087;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;05;05;866,830619378769
