DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011;P6030S1;P6030S3
1010018;1;1;1;10;1;1;1;44;1;3;1; ; ;3; ; ;1;1;2; ;3;2; ;05;2;05;1175,99796240271;2;1964
1010018;1;2;1;10;2;2;1;39;2;3;1; ; ;3; ; ;1;1;2; ;3;2; ;05;2;05;1175,99796240271;12;1969
1010018;1;3;1;10;1;2;1;15;3;6;1; ; ;3; ; ;1;1;1;1;4;8; ;05;8;05;1175,99796240271;2;1993
1010018;1;4;1;10;1;1;1;12;3;6;1; ; ;3; ; ;1;1;1;1;3;3; ;05;3;05;1175,99796240271;9;1996
1010018;1;5;1;10;1;2;1;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;05; ;05;1175,99796240271;2;2007
1010018;1;6;1;10;6;1;1;80;5;5;1; ; ;3; ; ;1;1;2; ;3;4; ;05;4;05;1175,99796240271;2;1928
1010019;1;1;1;10;1;2;1;20;1;6;1; ; ;2;5; ;2;1;1;2;6;1;2;05;12;05;1149,74876862519;10;1988
1010019;1;2;1;10;2;1;1;18;5;6;1; ; ;2;5; ;2;1;1;2;6;1;2;05;12;05;1149,74876862519;8;1990
1010020;1;1;1;10;1;1;1;31;1;2;1; ; ;3; ; ;1;1;2; ;4;8; ;05;8;05;908,32684011473;7;1977
1010020;1;2;1;10;2;2;1;26;2;2;1; ; ;3; ; ;1;1;2; ;5;11;2;05;11;05;908,32684011473;12;1982
1010020;1;3;1;10;2;1;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;05;3;05;908,32684011473;10;1999
1010020;1;4;1;10;2;2;1;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;908,32684011473;9;2005
1010020;1;5;1;10;2;2;1;15;5;6;1; ; ;3; ; ;2;1;2; ;3;4; ;05;4;05;908,32684011473;9;1993
1010020;1;6;1;10;2;1;1;11;5;6;1; ; ;3; ; ;2;1;2; ;3;4; ;05;4;05;908,32684011473;10;1997
1010020;1;7;1;10;2;1;1;10;5;6;1; ; ;3; ; ;2;2;1;2;3;0; ;05;0;05;908,32684011473;9;1998
1010020;1;8;1;10;2;2;1;8;5; ;1; ; ;3; ; ;2;1;1;1;3;2; ;05;2;05;908,32684011473;12;2000
1010021;1;1;1;10;1;2;1;46;1;5;2;1;1; ; ; ;1;1;2; ;6;3;3;05;14;05;917,327007194806;2;1962
1010021;1;2;1;10;1;2;1;14;3;6;2;1;1; ; ; ;1;1;1;1;4;8; ;05;8;05;917,327007194806;1;1994
1010022;1;1;1;10;1;1;1;24;1;6;1; ; ;1;1;18460;2;1;2; ;6;4;3;05;15;05;1194,82421570455;10;1984
1010022;1;2;1;10;2;2;1;46;5;4;1; ; ;1;5; ;2;1;2; ;4;7; ;05;7;05;1194,82421570455;1;1962
1010023;1;1;1;10;1;1;1;20;1;6;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;1149,74876862519;4;1988
1010023;1;2;1;10;2;2;1;19;5;6;1; ; ;3; ; ;2;1;2; ;4;8; ;05;8;05;1149,74876862519;10;1989
1010024;1;1;1;10;1;2;1;50;1;6;1; ; ;1;1;48000;2;1;2; ;6;2;3;05;13;05;1128,53123806181;12;1958
1010024;1;2;1;10;2;1;1;33;5;3;1; ; ;1;3;57700;2;1;2; ;5;11;2;05;11;05;1128,53123806181;1;1975
1010024;1;3;1;10;1;2;1;11;5;6;1; ; ;1;5; ;2;1;1;1;3;5; ;05;5;05;1128,53123806181;2;1997
1010026;1;1;1;10;1;1;1;46;1;3;1; ; ;1;1;40000;2;1;2; ;6;5;3;05;16;05;908,412831763243;11;1962
1010026;1;2;1;10;2;2;1;48;2;3;1; ; ;1;1;48400;2;1;2; ;6;3;3;05;14;05;908,412831763243;6;1960
1010026;1;3;1;10;3;2;1;19;3;6;1; ; ;1;5; ;2;1;1;1;6;3;2;05;14;05;908,412831763243;2;1989
1010026;1;4;1;10;2;2;1;14;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;908,412831763243;11;1994
1010026;1;5;1;10;5;2;1;71;5;5;1; ; ;1;3;57700;2;1;2; ;3;3; ;05;3;05;908,412831763243;11;1937
1010027;1;1;1;10;1;1;1;26;1;3;1; ; ;1;3;65000;2;1;1;1;6;3;3;05;14;05;1083,45579098246;9;1982
1010027;1;2;1;10;2;2;1;22;2;3;1; ; ;1;5; ;2;1;1;1;6;1;2;05;12;05;1083,45579098246;3;1986
1010027;1;3;1;10;1;2;1;3;3; ;1; ; ;1;5; ;2;2;1;2;1;0; ;05;0;05;1083,45579098246;5;2005
1010028;1;1;1;10;1;1;1;56;1;4;1; ; ;3; ; ;2;1;1;1;3;4; ;05;4;05;894,168948230467;7;1952
1010028;1;2;1;10;2;2;1;22;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;894,168948230467;6;1986
1010028;1;3;1;10;2;2;1;8;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;05;2;05;894,168948230467;10;2000
1010028;1;4;1;10;2;2;1;6;4; ;1; ; ;3; ; ;2;2;1;1;3;0; ;05;0;05;894,168948230467;11;2002
1010028;1;5;1;10;2;1;1;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;05; ;05;894,168948230467;6;2006
1010029;1;1;1;10;1;2;1;37;1;6;2;1;24; ; ; ;1;1;2; ;6;3;3;05;14;05;917,327007194806;6;1971
1010029;1;2;1;10;1;2;1;16;3;6;2;1;2; ; ; ;2;1;1;1;5;10;1;05;10;05;917,327007194806;5;1992
1010030;1;1;1;10;1;2;1;50;1;6;1; ; ;3; ; ;2;1;1;1;4;6; ;05;6;05;1056,17463048996;9;1958
1010030;1;2;1;10;2;1;1;26;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;1056,17463048996;7;1982
