DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P6410;P6640S1;P6642S11;P6642S7;P6642S8;P6642S9;P6642S10;P6642S12;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P9450;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6915S1;P6915;P6585S4A2;P6773;P6773S1;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;DPTO;fex_c_2011
1016129;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;6; ;1; ;600000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;6;48; ;.;48; ; ;1;12;20;2; ; ; ; ; ;2;3; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;1; ;2; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2; ; ; ;2; ; ;2; ; ; ;2; ; ; ;1;1;1;1;1;1;2;1;2;2;2;2;1; ;2;3;2;2;3;3;2;4;3;3; ;50;55;1;1; ;5530; ; ;600000;05;6012,24625710537
1016138;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;1200000;1;1200000;3; ;12;84; ;.;84; ; ;1;8;20;2; ; ; ; ; ;1;4; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;168;5; ;2; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;1;2;1; ;2;3;2;3;2;3;2;3;3;9; ;98;60;1;4; ;6031; ; ;1200000;05;1054,69473306538
1016138;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;72; ;1; ;497000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;12;21;1; ;21; ; ;1;18;1;2; ; ; ; ; ;4;11;restaurante;1;1;1;0;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2; ; ; ;2; ; ;1; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2;2;9; ;2;2;2;2;2;2;2;3;3;5; ;54;95;1;3; ;9500; ; ;497000;05;1054,69473306538
1016139;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;80000;1;960000;1; ;12;70; ;.;4;5; ;1;6;16;2; ; ; ; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;50;3; ;2; ; ; ; ;96; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;1;5;2;1;1;1;2;1;2;1;2;1;2;2;2;2;1; ;2;2;2;2;3;2;2;3;3;3; ;41;36;1;4; ;3699; ; ;80000;05;3882,68242314102
1016139;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;4; ;2; ;460000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;12;40; ;.;40; ; ;1;7;17;2; ; ; ; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2; ; ; ;2; ; ;2; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2;2;1; ;3;3;2;3;3;3;2;3;3;3; ;62;01;1;8; ;0140; ; ;460000;05;3882,68242314102
1016141;1;1;1;60;2;1;2;1; ;1;1; ;1;1;1;60; ;3; ;424000;2; ; ;2; ;2; ;2; ;2; ; ;59300;32572; ;2;1; ;1;1; ;2;2;2; ; ; ;1; ;212000;250000; ;2;1;2;2; ; ; ; ; ; ; ; ; ; ; ;12;48; ;.;48; ; ;2; ; ; ; ; ; ; ; ;9;7; ;1;1;1;5;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2; ; ; ;2; ; ;1; ; ; ;1;24;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;3;2;2;2;3;3;1; ;44;92;1;1; ;9242; ; ;424000;05;937,266300173418
1016142;1;3;1;60;2;1;2;2;6;1;1; ;2;2;2;0; ;1; ;331740;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;0;54; ;.;54; ; ;1;7;17;2; ; ; ; ; ;9;9; ;1;1;1;0;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2; ; ; ;2; ; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;3;3;2;2;2;3;3; ;95;45;1;1; ;4521; ; ;331740;05;1644,54531024812
1016144;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;10; ;1; ;261000;2; ; ;1;200000;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;10;50; ;.;50; ; ;1;8;16;2; ; ; ; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2; ; ; ;2; ; ;11; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;3;9; ;62;01;1;8; ;0121; ; ;461000;05;8725,13906113947
1016362;1;3;1;60;2;1;2;1; ;1;1; ;1;1;1;24; ;2; ;460000;2; ; ;2; ;2; ;2; ;2; ; ;30000; ; ; ;1; ;1;2; ;2;2;2; ; ; ;1; ;225000;225000; ;2;1;2;2; ; ; ; ; ; ; ; ; ; ; ;12;51; ;.;0;3; ;1;7;16;2; ; ; ; ; ;9;9; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;1;1;0;9;no tenia empleo;2; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2; ; ; ;2; ; ;1; ; ; ;2; ; ; ;1;1;1;1;2;2;1;1;1;1;1;2;1; ;2;2;2;3;3;2;2;3;3;3; ;03;70;1;1; ;7010; ; ;460000;05;6150,82757003968
1016369;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;180; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;200000;1;2400000;3; ;12;98; ;.;98; ; ;1;7;21;2; ; ; ; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;3;3;2;2;3;3;5; ;41;52;1;4; ;5211; ; ;200000;05;1523,55918762284
