DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;P6030S1;P6030S3;DPTO;fex_c_2011
1016129;1;1;1;10;1;2;1;21;1;6;1; ; ;3; ; ;2;1;2; ;6;1;2;2;12;3;1987;05;6012,24625710537
1016138;1;1;1;10;1;1;1;48;1;3;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;12;1960;05;1054,69473306538
1016138;1;2;1;10;1;2;1;40;2;3;1; ; ;1;1;135000;2;1;2; ;3;5; ;2;5;11;1968;05;1054,69473306538
1016138;1;3;1;10;1;2;1;19;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;6;1989;05;1054,69473306538
1016138;1;4;1;10;3;1;1;16;3;6;1; ; ;1;5; ;2;1;1;1;5;10;1;2;10;12;1992;05;1054,69473306538
1016138;1;5;1;10;3;2;1;13;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;2;7;1;1996;05;1054,69473306538
1016138;1;6;1;10;3;1;1;10;3;6;1; ; ;1;5; ;2;1;1;1;3;4; ;2;4;7;1998;05;1054,69473306538
1016138;1;7;1;10;3;1;1;8;3; ;1; ; ;1;5; ;2;1;1;1;3;2; ;2;2;7;2000;05;1054,69473306538
1016138;1;8;1;10;3;1;1;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;7;2008;05;1054,69473306538
1016139;1;1;1;10;1;2;1;35;1;2;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;5;1973;05;3882,68242314102
1016139;1;2;1;10;1;1;1;40;2;2;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;10;1968;05;3882,68242314102
1016139;1;3;1;10;1;1;1;18;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;7;1990;05;3882,68242314102
1016139;1;4;1;10;1;1;1;16;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;3;1992;05;3882,68242314102
1016139;1;5;1;10;1;1;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;9;1994;05;3882,68242314102
1016139;1;6;1;10;1;2;1;14;3;6;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;4;1994;05;3882,68242314102
1016139;1;7;1;10;1;2;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;5;1998;05;3882,68242314102
1016139;1;8;1;10;1;2;1;13;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;9;1995;05;3882,68242314102
1016139;1;9;1;10;1;1;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;6;1999;05;3882,68242314102
1016139;1;10;1;10;1;1;1;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;11;2000;05;3882,68242314102
1016139;1;11;1;10;1;1;1;6;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;5;2002;05;3882,68242314102
1016139;1;12;1;10;1;2;1;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;5;2007;05;3882,68242314102
1016139;1;13;1;10;1;2;1;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;8;2003;05;3882,68242314102
1016141;1;1;1;10;1;2;1;30;1;4;1; ; ;1;1;18460;1;1;2; ;5;11;2;2;11;4;1978;05;937,266300173418
1016141;1;2;1;10;1;2;1;12;3;6;1; ; ;1;5; ;1;1;1;1;4;6; ;2;6;5;1996;05;937,266300173418
1016141;1;3;1;10;1;2;1;6;3; ;1; ; ;1;5; ;1;2;1;1;3;0; ;2;0;9;2002;05;937,266300173418
1016142;1;1;1;10;1;2;1;38;1;4;1; ; ;3; ; ;1;1;2; ;3;3; ;2;3;2;1970;05;1644,54531024812
1016142;1;2;1;10;1;1;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;9;1994;05;1644,54531024812
1016142;1;3;1;10;1;1;1;36;5;6;1; ; ;1;1;14400;2;1;2; ;3;2; ;2;2;3;1972;05;1644,54531024812
1016144;1;1;1;10;1;1;1;34;1;6;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;9;1974;05;8725,13906113947
1016362;1;1;1;10;1;2;1;52;1;2;1; ; ;1;3;58000;2;1;2; ;3;2; ;2;2;3;1956;05;6150,82757003968
1016362;1;2;1;10;1;1;2;54;2;2;1; ; ;1;3;58000;1;2;2; ;1;0; ;2;0; ; ;05;6150,82757003968
1016362;1;3;1;10;1;1;1;19;3;6;1; ; ;1;1;45000;1;1;2; ;5;11;2;2;11;6;1989;05;6150,82757003968
1016362;1;4;1;10;1;1;1;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;4;2005;05;6150,82757003968
1016369;1;1;1;10;1;1;1;54;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;10;1954;05;1523,55918762284
1016369;1;2;1;10;2;2;1;30;2;1;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;9;1978;05;1523,55918762284
1016369;1;3;1;10;2;2;1;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;7;2004;05;1523,55918762284
1016370;1;1;1;10;4;1;1;50;1;3;1; ; ;1;6; ;2;1;2; ;3;4; ;2;4;9;1958;05;743,32374774406
