Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Area;Esc;Mes;Dpto;Fex_c_2011
3682779;1;1;1;10;2;1;1;1;1958;57;1;3;1; ; ;2;1;68000;2;1;2; ;6;5;5;17;16;03;17;137,890355953711
3682779;1;2;1;10;2;2;1;8;1957;57;2;3;1; ; ;2;2;144000;2;1;2; ;6;4;4;17;15;03;17;137,890355953711
3682779;1;3;1;10;3;1;1;7;1994;20;3;6;1; ; ;2;5; ;2;1;1;2;6;0;2;17;11;03;17;137,890355953711
3682780;1;1;1;10;1;1;1;2;1977;38;1;3;1; ; ;1;1;99;2;1;2; ;6;7;5;17;18;03;17;295,48003780943
3682780;1;2;1;10;2;2;1;11;1974;40;2;3;1; ; ;1;1;99;2;1;2; ;6;7;5;17;18;03;17;295,48003780943
3682780;1;3;1;10;2;2;1;9;2003;11;3;6;1; ; ;1;5; ;2;1;1;2;4;0; ;17;5;03;17;295,48003780943
3682780;1;4;1;10;2;1;1;1;2007;8;3; ;1; ; ;1;5; ;2;1;1;2;3;2; ;17;2;03;17;295,48003780943
3682781;1;1;1;10;1;1;1;3;1956;58;1;3;1; ; ;1;2;840000;2;1;2; ;6;14;5;17;25;03;17;137,890355953711
3682781;1;2;1;10;2;2;1;1;1958;57;2;3;1; ; ;1;2;216000;2;1;2; ;6;9;5;17;20;03;17;137,890355953711
3682781;1;3;1;10;3;1;1;5;1990;24;3;6;1; ; ;1;5; ;2;1;2; ;6;5;2;17;16;03;17;137,890355953711
3682782;1;1;1;10;1;1;1;7;1969;45;1;3;1; ; ;1;3;187500;2;1;2; ;6;14;5;17;25;03;17;302,645037561061
3682782;1;2;1;10;2;2;1;2;1989;26;2;3;1; ; ;1;1;25774;2;1;2; ;6;5;4;17;16;03;17;302,645037561061
3682782;1;3;1;10;2;1;1;5;2007;7;3; ;1; ; ;1;5; ;2;1;1;2;3;1; ;17;1;03;17;302,645037561061
3682782;1;4;1;10;2;2;1;9;2008;6;3; ;1; ; ;1;5; ;2;1;1;2;3;0; ;17;0;03;17;302,645037561061
3682782;1;5;1;10;5;2;1;6;1986;28;6;3;1; ; ;1;1;25774;2;1;2; ;3;5; ;17;5;03;17;302,645037561061
3682783;1;1;1;10;1;1;1;1;1990;25;1;2;1; ; ;1;1;25774;2;1;2; ;5;11;2;17;11;03;17;158,159819194993
3682783;1;2;1;10;2;2;1;6;1994;20;2;2;1; ; ;1;5; ;2;1;1;1;6;1;2;17;12;03;17;158,159819194993
3682783;1;3;1;10;2;1;1;4;2012;2;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;17; ;03;17;158,159819194993
3682783;1;4;1;10;4;1;1;1;1991;24;5;6;1; ; ;3; ; ;2;1;2; ;4;9; ;17;9;03;17;158,159819194993
3682783;1;5;1;10;2;1;1;7;2000;14;5;6;1; ; ;3; ; ;2;1;1;1;4;9; ;17;9;03;17;158,159819194993
3682785;1;1;1;10;1;1;1;5;1983;31;1;2;1; ; ;1;1;25774;2;1;1;2;3;0; ;17;0;03;17;311,830072914359
3682785;1;2;1;10;2;2;1;6;1988;26;2;2;1; ; ;1;1;25774;2;1;2; ;5;11;2;17;11;03;17;311,830072914359
3682785;1;3;1;10;2;2;1;6;2008;6;3; ;1; ; ;1;5; ;2;2;1;1;3;0; ;17;0;03;17;311,830072914359
3682785;1;4;1;10;2;1;1;4;2012;2;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;17; ;03;17;311,830072914359
3682785;1;5;1;10;5;2;1;10;1948;66;5;5;1; ; ;3; ; ;2;1;2; ;3;2; ;17;2;03;17;311,830072914359
3682785;1;6;1;10;5;1;1;8;2003;11;9;6;1; ; ;3; ; ;2;1;1;1;3;4; ;17;4;03;17;311,830072914359
3682786;1;1;1;10;1;2;1;12;1977;37;1;4;1; ; ;1;1;25774;2;1;2; ;5;11;2;17;11;03;17;150,914659013616
3682786;1;2;1;10;1;2;1;12;1997;17;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;17;8;03;17;150,914659013616
3682786;1;3;1;10;1;1;1;4;2000;14;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ;17;9;03;17;150,914659013616
3682787;1;1;1;10;1;2;1;10;1934;80;1;5;1; ; ;1;3;80544;2;1;2; ;1;0; ;17;0;03;17;119,023282377008
3682787;1;2;1;10;2;2;1;2;1957;58;3;5;1; ; ;1;2;73322;2;1;2; ;4;8; ;17;8;03;17;119,023282377008
3682788;1;1;1;10;1;2;2; ; ;49;1;6;1; ; ;1;5; ;2;1;2; ;1;0; ;17;0;03;17;253,630567200338
3682788;1;2;1;10;2;1;1;3;1986;28;3;6;1; ; ;1;3;80544;2;1;2; ;3;5; ;17;5;03;17;253,630567200338
3682788;1;3;1;10;3;2;1;5;1987;27;3;6;1; ; ;1;1;25774;2;1;1;2;5;11;2;17;11;03;17;253,630567200338
3682789;1;1;1;10;1;2;1;7;1981;33;1;2;1; ; ;1;5; ;2;1;2; ;5;11;2;17;11;03;17;249,810950520473
3682789;1;2;1;10;1;2;1;9;2010;4;3; ;1; ; ;1;5; ;2;2;1;1;2;0; ;17;0;03;17;249,810950520473
3682790;1;1;1;10;1;1;1;11;1968;46;1;3;1; ; ;2;2;171600;2;1;2; ;5;11;2;17;11;03;17;221,102510728674
3682790;1;2;1;10;2;2;1;9;1970;44;2;3;1; ; ;2;5; ;2;1;2; ;5;11;2;17;11;03;17;221,102510728674
3682791;1;1;1;10;1;1;1;5;1963;51;1;2;1; ; ;1;5; ;2;1;2; ;5;10;1;73;10;03;73;400,731530742911
3682791;1;2;1;10;2;2;1;10;1966;48;2;2;1; ; ;1;5; ;2;1;2; ;4;9; ;73;9;03;73;400,731530742911
3682791;1;3;1;10;3;1;1;3;1989;25;3;6;1; ; ;3; ; ;2;1;1;1;6;1;2;73;12;03;73;400,731530742911
3682791;1;4;1;10;4;2;1;7;1997;17;3;6;1; ; ;3; ; ;2;1;1;1;6;0;2;73;11;03;73;400,731530742911
3682791;1;5;1;10;5;2;1;5;2003;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;73;5;03;73;400,731530742911
3682791;1;6;1;10;6;2;1;2;1994;21;3;4;1; ; ;3; ; ;2;1;2; ;5;11;2;73;11;03;73;400,731530742911
3682791;1;7;1;10;6;1;1;11;2012;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;73; ;03;73;400,731530742911
3682791;1;8;1;10;6;2;1;6;2014;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;73; ;03;73;400,731530742911
3682791;1;9;1;10;9;1;1;6;1935;79;9;6;1; ; ;3; ; ;2;1;2; ;3;1; ;73;1;03;73;400,731530742911
3682793;1;1;1;10;1;2;1;4;1981;33;1;4;1; ; ;3; ; ;2;1;2; ;4;8; ;73;8;03;73;239,134864417074
3682793;1;2;1;10;1;2;1;9;1998;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;73;8;03;73;239,134864417074
