Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3696502;1;2;1;70;2;52;24;3; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;61;01;1;2;0140;03;52;1733,8435649577
3696502;1;3;1;70;2;32;48;3; ;2;32;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;61;01;1;2;0140;03;52;1733,8435649577
3697209;1;2;1;70;2;1;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;03;13;2149,57207521356
3697226;1;2;1;70;2;32;48;2; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;03;13;2044,63734410926
3697230;1;2;1;70;2;8;40;2; ;2;52;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8060;03;13;2347,88330069327
3697234;1;2;1;70;2;32;40;1; ;2;48;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;39;80;1;2;8060;03;13;1260,97870943098
3697235;1;2;1;70;2;28;48;3; ;2;86;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;03;13;3331,97343960361
3697265;1;2;1;70;2;2;48;2; ;2;4;1; ;5;1; ; ; ; ;1; ; ; ; ; ; ;1;760000;2;55;55;70;1;1;7020;03;13;2554,19472145144
3697700;1;2;1;70;2;5;48;1; ;2;5;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;87;45;1;1;4549;03;66;715,575622196985
3697746;1;1;1;70;2;8;48;1; ;2;10;8; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;70;62;01;1;1;0114;03;66;393,150983331077
3697759;1;1;1;70;2;48;48;1; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;03;66;430,230253753042
3697785;1;2;1;70;2;8;48;1; ;2;8;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;64;1;1;6421;03;66;637,318082371267
3697792;1;2;1;70;2;8;24;3; ;2;52;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;54;53;55;1;1;5521;03;66;475,267043721351
3697800;1;1;1;70;2;2;48;3; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;54;54;95;1;1;9500;03;66;386,501560760485
