Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3117960;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;76;1014,00371852692;76
3117961;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;811,587435033867;76
3117961;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;811,587435033867;76
3117961;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;811,587435033867;76
3117963;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;747,427337484071;76
3117963;1;3;1;80;1;2; ; ; ;2; ;2; ;1;2; ;2; ;1;01;76;747,427337484071;76
3117963;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;747,427337484071;76
3117963;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;747,427337484071;76
3117963;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;76;747,427337484071;76
3117966;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;01;73;250,689375356956;73
3117966;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;73;250,689375356956;73
3117968;1;3;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;01;76;775,108343011596;76
3117968;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;775,108343011596;76
3117968;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;76;775,108343011596;76
3117970;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;01;73;270,501789581319;73
3117972;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;73;161,390948774158;73
3117972;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;73;161,390948774158;73
3117972;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;73;161,390948774158;73
3117972;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;73;161,390948774158;73
3117975;1;5;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;73;328,394293378399;73
3117978;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;73;216,197778063543;73
3117979;1;1;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;01;15;85,5731801762508;15
3117980;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;15;120,998608214863;15
3117981;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;01;15;75,6696720470197;15
3117982;1;1;1;80;1;1;2;3; ;2; ;2; ; ; ; ;8;2;1;01;15;46,4134304207133;15
3117982;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;15;46,4134304207133;15
3117982;2;2;2;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;01;15;46,4134304207133;15
3117985;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;01;15;122,581898880686;15
3117986;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;15;127,311303818803;15
3117988;1;1;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;01;15;107,371585156331;15
3117988;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;15;107,371585156331;15
3117988;1;3;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;15;107,371585156331;15
3117992;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;01;11;2309,37828045488;11
3117992;1;2;1;80;1;1;4;3; ;3; ;2; ; ; ; ;9;2;1;01;11;2309,37828045488;11
3117992;1;3;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;11;2309,37828045488;11
3117993;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;19;51,6022749754535;19
3117995;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;19;228,44703006752;19
3117995;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;19;228,44703006752;19
3117995;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;19;228,44703006752;19
3117996;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;01;19;76,4123945759441;19
3117996;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;19;76,4123945759441;19
3117997;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;01;19;72,649905659288;19
3117997;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;19;72,649905659288;19
3117998;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;19;97,0785651436518;19
3117999;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;19;78,485074415556;19
3118002;1;2;1;80;1;2; ; ; ;2; ;2; ;1;4; ;9; ;1;01;63;136,218737802618;63
3118005;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;177,076167371861;63
3118005;1;4;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;01;63;177,076167371861;63
3118005;1;5;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;177,076167371861;63
3118009;1;1;1;80;1;1;4;3; ;1;2;2; ; ;3; ;8;1;1;01;63;121,257076383113;63
3118010;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;160,15280323846;63
3118011;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;121,257076383113;63
3118012;1;3;1;80;1;1;1;6; ;2; ;2; ; ; ;POR VIAJE;12;2;1;01;63;147,994939049269;63
3118013;1;2;1;80;1;1;1;4; ;1;1;1;566700; ; ; ;4;2;1;01;63;182,970215084441;63
3118014;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;170,06301013012;63
3118015;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;143,788872690589;63
3118016;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;107,058146000464;63
3118021;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;01;63;196,493342208909;63
3118022;1;5;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;84,2769993211553;63
3118023;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;107,058146000464;63
3118023;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;107,058146000464;63
3118024;1;2;1;80;1;1;3;6; ;2; ;2; ; ; ; ;9;2;1;01;63;111,416288701736;63
3118024;1;4;1;80;1;1;1;2; ;2; ;1;98; ; ; ;2;2;1;01;63;111,416288701736;63
3118024;1;5;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;111,416288701736;63
3118024;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;111,416288701736;63
3118026;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;184,725665739393;63
3118027;1;1;1;80;1;1;2;6; ;2; ;2; ; ; ; ;11;2;1;01;63;160,189068405132;63
3118027;1;2;1;80;1;1;1;8; ;2; ;1;44000; ;1; ;9;1;1;01;63;160,189068405132;63
3118028;1;6;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;01;63;224,053840913857;63
3118029;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;81,1563824179574;63
3118030;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;01;63;160,432520031225;63
3118030;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;160,432520031225;63
3118030;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;160,432520031225;63
3118031;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;01;63;136,218737802618;63
3118032;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;168,909994686558;63
3118034;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;163,200052094867;63
3118035;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;63;140,668255787391;63
3118036;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;63;168,082018398756;63
3118037;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;63;136,702250715027;63
3118039;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;63;179,942850600848;63
3118039;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;63;179,942850600848;63
3118039;1;3;1;80;1;1;1;9;VIAJE;2; ;2; ; ; ;VIAJE;12;2;1;01;63;179,942850600848;63
3118042;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;149,659014420719;63
3118042;1;4;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;63;149,659014420719;63
3118042;1;6;1;80;1;1;3;3; ;2; ;2; ; ; ; ;4;2;1;01;63;149,659014420719;63
3118043;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;63;122,69570736518;63
3118044;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;63;184,725665739393;63
3118044;1;3;1;80;1;2; ; ; ;2; ;2; ;1;2; ;2; ;1;01;63;184,725665739393;63
3118048;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;107,058146000464;63
3118049;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;8;2;1;01;63;155,629917206896;63
