DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
846848;1;3;1;70;1;1;48;1;;2;2;1;;9;3;;;;;;;;;;1;;1;500000;2;39;32;60;1;1;6022;5;5;60.429.769.264.198
846850;1;1;1;70;1;4;48;1;;2;4;4;;2;1;;;;;;;;;;1;;1;250000;2;95;95;52;1;1;5272;5;5;966.076.230.376.886
846851;1;3;1;70;1;7;48;1;;2;12;1;;2;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5234;5;5;686.916.505.772.758
846867;1;1;1;70;1;3;48;3;;2;4;4;;1;8;;;;;;;;;;1;;1;100000;2;54;41;52;1;1;5221;5;5;782.982.174.378.034
846870;1;1;1;70;1;5;4;4;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;5;5;895.285.598.973.072
846871;1;1;1;70;1;12;48;1;;2;12;1;;2;3;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;5;5;852.616.571.802.909
846873;1;1;1;70;1;4;48;1;;2;5;1;;2;1;;;;;;;;;;1;;1;300000;2;95;95;45;1;1;4521;5;5;166.145.905.292.602
846877;1;1;1;70;1;3;48;4;;2;4;4;;1;1;;;;;;;;;;1;;1;100000;2;95;95;45;1;1;4521;5;5;199.671.929.562.408
846882;1;4;1;70;1;1;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;5;5;101.914.284.175.499
846883;1;3;1;70;1;4;48;1;;2;5;1;;9;3;;;;;;;;;;1;;1;920000;2;75;75;17;1;1;1720;5;5;997.129.479.841.315
846916;1;2;1;70;1;1;48;1;;2;52;1;;6;2;;;;;;;;;;1;;2;;2;79;78;18;1;1;1810;5;5;923.131.627.553.952
846917;1;1;1;70;1;52;48;4;;2;52;1;;7;3;;;;;;;;;1;;HACER EMPRESA;2;;2;79;79;18;1;2;1810;5;5;811.741.229.223.601
846917;1;4;1;70;1;24;48;4;;2;24;4;;2;4;;;;;;;;;;1;;2;;2;95;95;20;1;2;2010;5;5;811.741.229.223.601
846925;1;1;1;70;1;12;48;1;;2;15;1;;5;2;;;;;;;;;;1;;1;461500;2;77;77;15;1;1;1530;5;5;966.253.171.919.209
846927;1;2;1;70;1;20;48;1;;2;20;1;;9;3;;;;;;;;;;1;;2;;2;45;97;24;1;2;2424;5;5;546.477.880.387.096
846937;1;2;1;70;1;1;48;1;;2;2;4;;1;2;;;;;;;;;;1;;1;300000;2;97;41;52;1;1;5233;5;5;77.041.169.427.449
846941;1;2;1;70;1;5;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;95;;;1;1;;5;5;805.930.525.587.116
846943;1;4;1;70;1;10;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;1;;5;5;981.227.015.461.607
846943;1;5;1;70;1;12;48;4;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;5;5;981.227.015.461.607
846949;1;2;1;70;1;12;48;1;;2;2;4;;1;2;;;;;;;;;;1;;1;50000;2;54;45;52;1;1;5262;5;5;102.050.274.704.284
846959;1;3;1;70;1;48;48;1;;2;72;3;;1;8;;;;;;;;;;1;;2;;2;79;54;95;1;2;9500;5;5;833.183.380.371.076
846959;1;4;1;70;1;1;24;4;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;5;5;833.183.380.371.076
846962;1;2;1;70;1;4;48;4;;2;5;4;;2;6;;;;;;;;;;1;;1;500000;2;95;95;45;1;1;4521;5;5;702.219.026.136.233
846966;1;5;1;70;1;2;48;1;;2;4;4;;5;4;;;;;;;;;;1;;1;700000;2;53;53;55;1;1;5521;5;5;979.720.815.399.999
846973;1;1;1;70;1;2;48;1;;2;2;4;;3;2;;;;;;;;;;1;;2;;2;75;75;17;1;1;1720;5;5;699.961.715.351.586
846981;1;1;1;70;1;24;48;3;;2;48;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;2;9500;5;5;116.655.879.350.355
846981;1;4;1;70;1;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;5;5;116.655.879.350.355
846987;1;2;1;70;1;2;48;3;;2;2;3;;1;7;;;;;;;;;;1;;1;1200000;2;54;54;95;1;1;9500;5;5;161.186.105.117.423
847014;1;3;1;70;1;96;48;1;;2;96;1;;9;1;;;;;;;;;;1;;2;;2;79;79;18;1;2;1810;5;5;856.221.644.467.746
847031;1;1;1;70;1;4;48;4;;2;16;4;;2;2;;;;;;;;;;1;;2;;2;79;79;18;1;1;1810;5;5;623.966.576.656.225
847039;1;2;1;70;1;12;48;1;;2;16;1;;9;2;;;;;;;;;;1;;2;;2;45;45;52;1;1;5211;5;5;997.403.285.664.428
847043;1;4;1;70;1;48;48;1;;2;96;4;;2;1;;;;;;;;;;1;;2;;2;45;41;52;1;2;5233;5;5;655.087.057.209.776
847043;1;8;1;70;1;96;48;3;;2;96;1;;2;1;;;;;;;;;;1;;2;;2;54;45;52;1;2;5233;5;5;655.087.057.209.776
847052;1;3;1;70;1;24;48;1;;2;4;1;;9;4;;;;;;;;;;1;;1;332000;2;39;39;85;1;2;8512;5;5;837.557.259.153.684
847056;1;3;1;70;1;2;24;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;5;5;741.671.672.771.093
847062;1;4;1;70;1;24;30;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;5;5;787.776.441.425.748
847065;1;2;1;70;1;3;16;4;;1;;;.;;;.;.;;;;;;;;;.;;;;57;;;1;1;;5;5;729.022.472.760.902
847070;1;2;1;70;1;6;48;3;;2;96;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;5;5;809.841.942.953.097
847099;1;1;1;70;1;4;48;1;;2;4;1;;9;8;;;;;;;;;;1;;1;400000;2;92;92;17;1;1;1730;5;5;918.752.733.549.177
847104;1;1;1;70;1;36;60;4;;2;32;4;;1;2;;;;;;;;;;1;;2;;2;57;57;93;1;2;9302;5;5;78.491.222.969.691
847107;1;4;1;70;1;12;48;1;;2;12;1;;2;1;;;;;;;;;;1;;2;;2;81;95;45;1;1;4521;5;5;189.760.878.620.341
847116;1;2;1;70;1;50;48;4;;2;4;4;;1;2;;;;;;;;;;1;;2;;2;79;45;52;1;2;5261;5;5;879.794.414.581.188
847139;1;3;1;70;1;28;48;1;;2;28;1;;2;4;;;;;;;;;;1;;2;;2;59;59;85;1;2;8531;5;5;721.498.794.608.815
847139;1;6;1;70;1;50;24;1;;2;12;1;;3;1;;;;;;;;;;1;;2;;2;32;45;52;1;2;5233;5;5;721.498.794.608.815
