DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;DPTO;fex_c_2011
861018;1;1;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;334.745.976.386.261
861018;1;2;1;90;;1;1;2;1;2;2;2;2;2;2;7;21;;42;;;;;;;2;25;334.745.976.386.261
861019;1;1;1;90;;2;1;2;1;2;2;2;2;2;2;;35;;50;;;;;;;2;25;320.750.789.323.937
861019;1;2;1;90;;2;2;2;1;2;2;2;2;2;2;;;;7;;;;;;;2;25;320.750.789.323.937
861020;1;1;1;90;;1;1;2;2;2;2;2;2;2;2;3;15;;;;;;;;;2;25;417.998.505.437.391
861020;1;2;1;90;;2;1;1;2;2;2;2;2;2;2;;15;14;;;;;;;;2;25;417.998.505.437.391
861021;1;1;1;90;;2;1;2;2;2;2;2;2;2;2;;7;;;;;;;;;2;25;377.446.123.013.746
861021;1;2;1;90;;2;1;2;2;2;2;2;2;2;2;;42;;;;;;;;;2;25;377.446.123.013.746
861021;1;3;1;90;;2;1;2;2;2;2;2;2;2;2;;7;;;;;;;;;2;25;377.446.123.013.746
861022;1;1;1;90;;1;1;2;2;2;2;2;2;2;2;4;42;;;;;;;;;2;25;323.142.868.678.548
861022;1;2;1;90;;1;1;2;2;2;2;2;2;2;2;7;14;;;;;;;;;2;25;323.142.868.678.548
861022;1;3;1;90;;2;1;2;2;2;2;2;2;2;2;;5;;;;;;;;;2;25;323.142.868.678.548
861022;1;4;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;323.142.868.678.548
861023;1;1;1;90;;1;1;2;2;2;2;2;2;2;2;14;7;;;;;;;;;2;25;202.289.522.110.527
861023;1;2;1;90;;2;1;2;2;2;2;2;2;2;2;;42;;;;;;;;;2;25;202.289.522.110.527
861024;1;1;1;90;;2;1;2;2;2;2;2;2;2;2;;7;;;;;;;;;2;25;471.822.280.079.942
861024;1;2;1;90;;2;1;2;1;2;2;2;2;2;2;;21;;35;;;;;;;2;25;471.822.280.079.942
861025;1;1;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;286.316.273.037.765
861025;1;2;1;90;;1;1;2;2;1;2;2;2;2;2;3;35;;;28;;;;;;2;25;286.316.273.037.765
861025;1;3;1;90;;1;1;2;2;2;2;2;2;2;2;4;28;;;;;;;;;2;25;286.316.273.037.765
861026;1;1;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;377.446.123.013.746
861026;1;2;1;90;;1;1;2;2;2;2;2;2;2;2;3;42;;;;;;;;;2;25;377.446.123.013.746
861026;1;3;1;90;;2;1;2;2;2;2;2;2;2;2;;2;;;;;;;;;2;25;377.446.123.013.746
861028;1;1;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;311.389.831.671.024
861028;1;2;1;90;;2;1;2;1;2;2;2;2;2;2;;35;;42;;;;;;;2;25;311.389.831.671.024
861028;1;3;1;90;;2;1;2;1;2;2;2;2;2;2;;7;;21;;;;;;;2;25;311.389.831.671.024
861028;1;5;1;90;;2;1;2;1;2;2;2;2;2;2;;28;;42;;;;;;;2;25;311.389.831.671.024
861029;1;1;1;90;;1;1;2;2;2;2;2;2;2;2;3;7;;;;;;;;;2;25;310.446.639.629.109
861029;1;2;1;90;;1;1;2;2;2;2;2;2;2;2;3;21;;;;;;;;;2;25;310.446.639.629.109
861030;1;1;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;526.899.756.291.248
861030;1;2;1;90;;2;1;2;1;2;2;2;2;2;2;;28;;42;;;;;;;2;25;526.899.756.291.248
861031;1;1;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;334.745.976.386.261
861031;1;2;1;90;;1;1;2;2;2;2;2;2;2;2;2;42;;;;;;;;;2;25;334.745.976.386.261
861032;1;1;1;90;;1;2;2;2;2;2;2;2;2;2;3;;;;;;;;;;2;25;377.446.123.013.746
861032;1;2;1;90;;1;1;2;2;2;2;2;2;2;2;10;35;;;;;;;;;2;25;377.446.123.013.746
861032;1;3;1;90;;1;1;2;2;2;2;2;2;2;2;5;5;;;;;;;;;2;25;377.446.123.013.746
861033;1;1;1;90;;2;1;2;2;2;2;2;2;2;2;;7;;;;;;;;;2;25;287.259.465.079.679
861033;1;2;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;287.259.465.079.679
861033;1;3;1;90;;1;1;2;2;2;2;2;2;2;2;3;14;;;;;;;;;2;25;287.259.465.079.679
861033;1;4;1;90;;2;1;2;2;2;2;2;2;2;2;;14;;;;;;;;;2;25;287.259.465.079.679
861033;1;5;1;90;;2;1;2;2;2;2;2;2;2;2;;14;;;;;;;;;2;25;287.259.465.079.679
861034;1;1;1;90;;2;1;2;2;2;2;2;2;2;2;;4;;;;;;;;;2;25;354.089.978.298.509
861034;1;2;1;90;;1;1;2;2;2;2;2;2;2;2;5;30;;;;;;;;;2;25;354.089.978.298.509
861034;1;3;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;354.089.978.298.509
861034;1;4;1;90;;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;25;354.089.978.298.509
861034;1;5;1;90;;2;1;2;1;2;2;2;2;2;2;;28;;40;;;;;;;2;25;354.089.978.298.509
861035;1;1;1;90;;1;1;2;1;2;2;2;2;2;2;7;14;;21;;;;;;;2;25;492.175.668.410.175
861035;1;2;1;90;;1;2;2;2;2;2;2;2;2;2;7;;;;;;;;;;2;25;492.175.668.410.175
