DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,CLASE,P5070,DPTO,ORDEN,fex_c_2011
861018,1,3,2,2,1,4,2,4,4,,,,150000,,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,25,1,334.745.976.386.261
861019,1,3,1,2,1,4,2,5,1,,,25000000,150000,,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,2,,,1,2,1,25,1,320.750.789.323.937
861020,1,3,2,2,1,4,2,5,1,,,15000000,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,25,1,417.998.505.437.391
861021,1,2,2,2,1,4,4,5,3,,,,,85000,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,25,1,377.446.123.013.746
861022,1,3,2,2,1,4,2,5,1,,,30000000,60000,,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,4,1,2,2,2,2,2,,,1,2,1,25,1,323.142.868.678.548
861023,1,3,1,2,1,4,2,5,1,,,10000000,50000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,25,1,202.289.522.110.527
861024,1,3,1,2,2,4,2,6,3,,,,,100000,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,4,1,2,2,2,2,1,,,1,2,1,25,1,471.822.280.079.942
861025,1,3,2,2,1,4,1,6,1,,,20000000,50000,,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,25,1,286.316.273.037.765
861026,1,5,2,2,1,4,1,6,4,,,,100000,,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,25,1,377.446.123.013.746
861028,1,3,2,2,1,4,1,6,5,,,,100000,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,25,1,311.389.831.671.024
