DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030,P6030S1,P6030S3,P6040,P6050,P6070,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,AREA,ESC,DPTO,fex_c_2011
846845,1,1,1,10,1,2,1,2,1947,61,1,4,1,,,1,2,56000,2,1,2,,3,5,,5,5,5,764.317.789.063.972
846845,1,2,1,10,2,2,1,1,1974,34,3,6,1,,,1,1,19000,2,1,1,1,6,1,2,5,12,5,764.317.789.063.972
846846,1,1,1,10,1,1,1,2,1979,29,1,6,1,,,1,1,19000,2,1,2,,5,11,2,5,11,5,895.285.598.973.072
846848,1,1,1,10,1,2,1,4,1968,40,1,5,1,,,1,2,56000,2,1,2,,3,5,,5,5,5,60.429.769.264.198
846848,1,2,1,10,2,1,1,9,1990,18,3,6,1,,,3,,,2,1,2,,5,11,2,5,11,5,60.429.769.264.198
846848,1,3,1,10,3,2,1,10,1985,22,3,4,2,1,1,,,,2,1,2,,5,11,2,5,11,5,60.429.769.264.198
846848,1,4,1,10,3,2,1,12,2004,3,4,,2,1,1,,,,2,2,2,,1,0,,5,0,5,60.429.769.264.198
846848,1,5,1,10,5,2,1,4,1989,19,3,4,1,,,1,5,,2,1,1,1,6,0,2,5,11,5,60.429.769.264.198
846848,1,6,1,10,3,1,1,9,2006,2,4,,1,,,1,5,,2,,,,,,,5,,5,60.429.769.264.198
846850,1,1,1,10,1,1,1,6,1975,33,1,6,1,,,3,,,2,1,2,,5,10,1,5,10,5,966.076.230.376.886
846850,1,2,1,10,2,1,1,6,1975,33,5,6,1,,,3,,,2,1,2,,3,5,,5,5,5,966.076.230.376.886
846851,1,1,1,10,1,2,1,1,1944,64,1,4,1,,,3,,,2,1,2,,3,2,,5,2,5,686.916.505.772.758
846851,1,2,1,10,1,1,1,5,1995,13,5,6,1,,,1,5,,2,1,1,1,4,7,,5,7,5,686.916.505.772.758
846851,1,3,1,10,3,2,1,9,1985,22,5,6,1,,,3,,,2,1,2,,5,11,2,5,11,5,686.916.505.772.758
846851,1,4,1,10,4,1,1,6,1969,39,5,6,1,,,1,1,19000,2,1,2,,5,11,2,5,11,5,686.916.505.772.758
846853,1,1,1,10,1,1,1,9,1960,47,1,2,1,,,3,,,2,1,2,,3,5,,5,5,5,899.664.492.977.847
846853,1,2,1,10,2,2,1,6,1961,47,2,2,1,,,1,5,,2,1,2,,3,5,,5,5,5,899.664.492.977.847
846855,1,1,1,10,1,2,1,9,1979,29,1,4,1,,,1,1,21000,2,1,2,,6,1,2,5,12,5,849.892.157.464.239
846855,1,2,1,10,1,2,1,5,2001,7,3,,1,,,1,5,,2,1,1,1,3,0,,5,0,5,849.892.157.464.239
846856,1,1,1,10,1,2,1,10,1970,37,1,4,1,,,3,,,2,1,2,,3,3,,5,3,5,629.171.083.947.772
846856,1,2,1,10,1,2,1,10,1992,15,3,6,1,,,3,,,2,1,1,1,4,8,,5,8,5,629.171.083.947.772
846856,1,3,1,10,1,2,1,9,1994,13,3,6,1,,,3,,,2,1,1,1,4,8,,5,8,5,629.171.083.947.772
846857,1,1,1,10,1,1,1,11,1973,34,1,2,1,,,1,1,72000,2,1,2,,6,4,3,5,15,5,855.702.861.100.724
846857,1,2,1,10,2,2,1,6,1973,35,2,2,1,,,1,1,42000,2,1,1,2,6,1,2,5,12,5,855.702.861.100.724
846857,1,3,1,10,2,1,1,1,1993,15,3,6,1,,,1,5,,2,1,1,1,4,9,,5,9,5,855.702.861.100.724
846860,1,1,1,10,1,2,1,10,1957,50,1,4,1,,,1,5,,2,1,2,,4,7,,5,7,5,733.401.366.765.677
846860,1,2,1,10,2,2,1,1,1983,25,3,6,1,,,1,1,24000,2,1,2,,6,2,3,5,13,5,733.401.366.765.677
846860,1,3,1,10,3,2,1,11,1985,22,3,6,1,,,1,1,19000,2,1,1,1,6,2,2,5,13,5,733.401.366.765.677
846862,1,1,1,10,1,1,1,8,1957,51,1,2,1,,,1,4,,2,1,2,,4,9,,5,9,5,899.664.492.977.847
846862,1,2,1,10,2,2,1,5,1960,48,2,2,1,,,1,5,,2,1,2,,3,5,,5,5,5,899.664.492.977.847
846863,1,1,1,10,1,1,1,9,1941,67,1,3,1,,,3,,,2,1,2,,3,2,,5,2,5,864.968.552.119.062
846863,1,2,1,10,2,2,1,3,1940,68,2,3,1,,,3,,,2,1,2,,3,5,,5,5,5,864.968.552.119.062
846863,1,3,1,10,2,1,1,10,1991,16,4,6,1,,,3,,,2,1,1,1,4,9,,5,9,5,864.968.552.119.062
846863,2,1,2,10,1,2,1,12,1964,43,1,4,1,,,3,,,2,1,2,,3,2,,5,2,5,864.968.552.119.062
846863,2,2,2,10,1,1,1,10,1992,15,3,6,1,,,3,,,2,1,1,1,4,8,,5,8,5,864.968.552.119.062
846863,2,3,2,10,1,1,1,11,2004,3,4,,1,,,3,,,2,2,2,,1,0,,5,0,5,864.968.552.119.062
846863,2,4,2,10,1,2,1,6,2006,2,4,,1,,,3,,,2,,,,,,,5,,5,864.968.552.119.062
846867,1,1,1,10,1,2,1,1,1968,40,1,4,1,,,3,,,2,1,2,,3,4,,5,4,5,782.982.174.378.034
846867,1,2,1,10,2,1,1,11,1992,15,3,6,1,,,3,,,2,2,2,,3,5,,5,5,5,782.982.174.378.034
846867,1,3,1,10,1,1,1,1,1999,9,3,,1,,,3,,,2,1,2,,3,2,,5,2,5,782.982.174.378.034
846869,1,1,1,10,1,2,1,6,1964,44,1,4,1,,,3,,,2,1,2,,4,9,,5,9,5,782.982.174.378.034
846869,1,2,1,10,1,1,1,5,1996,12,3,6,1,,,3,,,2,1,1,1,3,3,,5,3,5,782.982.174.378.034
846869,1,3,1,10,1,1,1,5,2005,3,3,,1,,,3,,,2,2,2,,1,0,,5,0,5,782.982.174.378.034
846870,1,1,1,10,1,1,1,10,1972,35,1,4,1,,,3,,,2,1,2,,3,5,,5,5,5,895.285.598.973.072
846871,1,1,1,10,1,1,1,1,1946,62,1,3,2,1,3,,,,2,1,2,,3,2,,5,2,5,852.616.571.802.909
846871,1,2,1,10,2,2,1,4,1961,47,2,3,2,1,3,,,,2,1,2,,4,9,,5,9,5,852.616.571.802.909
846871,1,3,1,10,3,1,1,4,1990,18,3,6,2,1,3,,,,2,1,1,1,4,7,,5,7,5,852.616.571.802.909
846871,1,4,1,10,2,2,1,7,1993,15,3,6,2,1,3,,,,2,1,1,1,4,8,,5,8,5,852.616.571.802.909
846871,1,5,1,10,2,1,1,2,2006,2,3,,2,1,3,,,,2,,,,,,,5,,5,852.616.571.802.909
846873,1,1,1,10,1,1,1,2,1955,53,1,2,1,,,3,,,2,1,2,,4,6,,5,6,5,166.145.905.292.602
846873,1,2,1,10,2,2,1,1,1945,63,2,2,1,,,3,,,2,1,2,,4,8,,5,8,5,166.145.905.292.602
846875,1,1,1,10,1,1,1,1,1983,25,1,2,2,1,1,,,,2,1,2,,3,5,,5,5,5,187.568.194.824.102
846875,1,2,1,10,2,2,1,11,1980,27,2,2,1,,,3,,,2,1,2,,3,5,,5,5,5,187.568.194.824.102
846875,1,3,1,10,2,2,1,12,1996,11,3,6,1,,,3,,,2,1,1,1,3,4,,5,4,5,187.568.194.824.102
846875,1,4,1,10,2,1,1,3,1999,9,3,,1,,,3,,,2,1,1,1,3,3,,5,3,5,187.568.194.824.102
846875,1,5,1,10,2,1,1,9,2003,4,3,,1,,,3,,,2,2,2,,1,0,,5,0,5,187.568.194.824.102
846875,1,6,1,10,2,2,1,12,2007,0,3,,1,,,3,,,2,,,,,,,5,,5,187.568.194.824.102
846877,1,1,1,10,1,1,1,10,1945,62,1,2,1,,,3,,,2,1,2,,3,2,,5,2,5,199.671.929.562.408
846877,1,2,1,10,2,2,1,12,1960,47,2,2,1,,,3,,,2,1,2,,3,4,,5,4,5,199.671.929.562.408
846878,1,1,1,10,1,1,1,1,1960,48,1,3,1,,,3,,,2,1,2,,3,5,,5,5,5,156.420.968.718.707
846878,1,2,1,10,2,2,1,4,1961,47,2,3,1,,,1,5,,2,1,2,,4,8,,5,8,5,156.420.968.718.707
846878,1,3,1,10,3,2,1,5,1998,10,3,6,1,,,1,5,,2,1,1,1,3,4,,5,4,5,156.420.968.718.707
846878,1,4,1,10,4,2,1,12,1983,24,3,4,1,,,3,,,2,1,2,,5,11,2,5,11,5,156.420.968.718.707
846878,1,5,1,10,2,1,1,10,2003,4,4,,1,,,3,,,2,2,2,,1,0,,5,0,5,156.420.968.718.707
846878,1,6,1,10,2,2,1,10,2006,1,4,,1,,,3,,,2,,,,,,,5,,5,156.420.968.718.707
846878,1,7,1,10,7,2,1,11,1987,20,3,4,1,,,3,,,2,1,2,,3,5,,5,5,5,156.420.968.718.707
846878,1,8,1,10,2,2,1,6,2003,5,4,,1,,,3,,,2,2,2,,1,0,,5,0,5,156.420.968.718.707
