DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
861018,1,2,1,80,2,1,1,8,CAMBIO DE RESIDENCIA,2,,2,,,,,1,2,1,25,334.745.976.386.261
861019,1,1,1,80,2,1,2,6,,2,,2,,,,,9,2,1,25,320.750.789.323.937
861021,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,377.446.123.013.746
861021,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,377.446.123.013.746
861022,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,323.142.868.678.548
861022,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,323.142.868.678.548
861025,1,1,1,80,2,1,4,4,,3,,2,,,,,4,2,1,25,286.316.273.037.765
861025,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,286.316.273.037.765
861026,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,377.446.123.013.746
861026,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,377.446.123.013.746
861028,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,311.389.831.671.024
861028,1,5,1,80,2,1,2,2,,2,,2,,,,EMBARAZO,12,2,1,25,311.389.831.671.024
861029,1,1,1,80,2,1,4,4,,3,,2,,,,,8,2,1,25,310.446.639.629.109
861030,1,2,1,80,2,1,2,2,,2,,2,,,,,9,2,1,25,526.899.756.291.248
861031,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,334.745.976.386.261
861033,1,2,1,80,2,1,1,2,,2,,2,,,,,9,2,1,25,287.259.465.079.679
861033,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,287.259.465.079.679
861033,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,287.259.465.079.679
861033,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,25,287.259.465.079.679
861034,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,354.089.978.298.509
861034,1,5,1,80,2,1,1,5,,2,,2,,,,,9,2,1,25,354.089.978.298.509
861035,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,492.175.668.410.175
861036,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,471.822.280.079.942
861038,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,471.822.280.079.942
861039,1,2,1,80,2,1,1,8,CAMBIO DE DOMICILIO,2,,2,,,,,9,2,1,25,309.841.387.918.809
861040,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,25,310.446.639.629.109
861043,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,643.080.904.684.275
861043,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,643.080.904.684.275
861044,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,501.995.167.823.795
861045,1,2,1,80,2,1,4,6,,2,,2,,,,,9,2,1,25,549.478.969.494.187
861045,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,549.478.969.494.187
861046,1,1,1,80,2,1,1,7,,2,,2,,,,,1,2,1,25,378.581.281.449.385
861046,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,378.581.281.449.385
861046,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,378.581.281.449.385
861053,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,535.168.102.316.463
861055,1,1,1,80,2,1,4,8,POR SU EDAD YA NO PUEDE TRABAJAR,2,,2,,,,,8,2,1,25,553.207.975.627.266
861055,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,553.207.975.627.266
861055,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,553.207.975.627.266
861060,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,501.995.167.823.795
861062,1,2,1,80,2,1,2,7,,2,,2,,,2,,9,1,1,25,806.886.646.217.794
861062,1,7,1,80,2,1,2,1,,2,,2,,,,,2,2,1,25,806.886.646.217.794
861062,1,8,1,80,2,1,2,1,,2,,2,,,,,2,2,1,25,806.886.646.217.794
861064,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,403.124.933.357.306
861064,1,3,1,80,2,1,2,1,,2,,2,,,,,2,2,1,25,403.124.933.357.306
861064,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,403.124.933.357.306
861065,1,1,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,347.273.235.269.892
861065,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,347.273.235.269.892
861066,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,25,201.721.661.554.448
861067,1,2,1,80,2,1,2,1,,2,,2,,,,,2,2,1,25,387.825.617.693.537
861068,1,2,1,80,2,1,3,6,,2,,2,,,,,8,2,1,25,261.580.654.736.119
861068,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,261.580.654.736.119
861068,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,261.580.654.736.119
861070,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,25,445.825.079.984.791
861070,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,25,445.825.079.984.791
861072,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,25,548.871.002.099.984
861073,1,2,1,80,2,2,,,,2,,2,,1,3,,1,,1,25,471.822.280.079.942
861075,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,25,310.446.639.629.109
861075,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,25,310.446.639.629.109
861076,1,2,1,80,2,1,3,3,,2,,2,,,,,4,2,1,25,64.462.934.843.649
861076,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,64.462.934.843.649
861076,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,64.462.934.843.649
861076,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,25,64.462.934.843.649
861077,1,2,1,80,2,1,4,3,,2,,2,,,,,4,2,1,25,212.350.627.038.727
861077,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,25,212.350.627.038.727
861077,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,25,212.350.627.038.727
861079,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,418.528.412.162.729
861080,1,2,1,80,2,1,2,0,,2,,2,,,,,9,2,1,25,201.721.661.554.448
861080,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,201.721.661.554.448
861081,1,2,1,80,2,1,2,7,,2,,2,,,,,1,2,1,25,418.528.412.162.729
861081,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,418.528.412.162.729
861083,1,2,1,80,2,1,1,8,EMBARAZO,2,,2,,,,EMBARAZO,12,2,1,25,309.841.387.918.809
861084,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,25,445.050.858.108.684
