DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;FT;DPTO;AREA;fex_c_2011
846889;1;2;1;90;;2;;1;2;2;1;2;2;2;2;2;;;12;;;20;;;;;;1;1;5;5;929.424.681.297.202
846892;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;2;;5;;;;;;;1;1;5;5;853.772.805.781.848
846892;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;24;;24;;;;;;;1;1;5;5;853.772.805.781.848
846892;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;853.772.805.781.848
846894;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;695.382.822.549.136
846894;1;2;1;90;;2;;1;2;2;1;2;2;2;2;2;;;18;;;30;;;;;;1;1;5;5;695.382.822.549.136
846895;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;1;1;5;5;759.938.895.059.197
846898;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;974.633.535.177.691
846898;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;28;;;;;;;;;1;1;5;5;974.633.535.177.691
846900;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;18;;;;;;;;;1;1;5;5;750.756.095.141.549
846900;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;5;;12;;;;;;;1;1;5;5;750.756.095.141.549
846900;1;3;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;2;;;;;;;1;1;5;5;750.756.095.141.549
846900;1;6;1;90;;2;;1;2;1;2;2;2;2;2;2;;;7;;2;;;;;;;1;1;5;5;750.756.095.141.549
846900;1;7;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;750.756.095.141.549
846900;1;8;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;750.756.095.141.549
846903;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;793.504.154.841.066
846903;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;20;;;;;;;1;1;5;5;793.504.154.841.066
846904;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;853.772.805.781.848
846904;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;24;;5;;;;;;;1;1;5;5;853.772.805.781.848
846904;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;853.772.805.781.848
846907;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;656.000.083.474.464
846907;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;656.000.083.474.464
846907;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;656.000.083.474.464
846907;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;656.000.083.474.464
846907;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;656.000.083.474.464
846909;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;100.021.531.270.102
846909;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;100.021.531.270.102
846909;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;100.021.531.270.102
846910;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;825.210.294.059.698
846910;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;825.210.294.059.698
846910;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;12;;15;;;;;;;1;1;5;5;825.210.294.059.698
846910;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;825.210.294.059.698
846913;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;795.952.993.526.964
846913;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;20;;;;;;;1;1;5;5;795.952.993.526.964
846913;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;795.952.993.526.964
846914;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;755.851.472.287.594
846914;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;24;;20;;;;;;;1;1;5;5;755.851.472.287.594
846914;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;755.851.472.287.594
846914;1;4;1;90;;2;;1;2;2;2;2;1;2;2;2;;;1;;;;;2;;;;1;1;5;5;755.851.472.287.594
846915;1;1;1;90;;2;;1;2;2;1;2;2;2;2;2;;;20;;;5;;;;;;1;1;5;5;768.696.683.068.746
846915;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;768.696.683.068.746
