DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
846848,1,3,1,70,5,1,48,1,,2,2,1,,9,3,,,,,,,,,,1,,1,500000,2,1,1,39,32,60,6022,5,60.429.769.264.198
846850,1,1,1,70,5,4,48,1,,2,4,4,,2,1,,,,,,,,,,1,,1,250000,2,1,1,95,95,52,5272,5,966.076.230.376.886
846851,1,3,1,70,5,7,48,1,,2,12,1,,2,1,,,,,,,,,,1,,2,,2,1,1,45,45,52,5234,5,686.916.505.772.758
846867,1,1,1,70,5,3,48,3,,2,4,4,,1,8,,,,,,,,,,1,,1,100000,2,1,1,54,41,52,5221,5,782.982.174.378.034
846870,1,1,1,70,5,5,4,4,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,1,1,95,95,45,4521,5,895.285.598.973.072
846871,1,1,1,70,5,12,48,1,,2,12,1,,2,3,,,,,,,,,,1,,2,,2,1,1,95,95,45,4521,5,852.616.571.802.909
846873,1,1,1,70,5,4,48,1,,2,5,1,,2,1,,,,,,,,,,1,,1,300000,2,1,1,95,95,45,4521,5,166.145.905.292.602
846877,1,1,1,70,5,3,48,4,,2,4,4,,1,1,,,,,,,,,,1,,1,100000,2,1,1,95,95,45,4521,5,199.671.929.562.408
846882,1,4,1,70,5,1,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,5,101.914.284.175.499
846883,1,3,1,70,5,4,48,1,,2,5,1,,9,3,,,,,,,,,,1,,1,920000,2,1,1,75,75,17,1720,5,997.129.479.841.315
846916,1,2,1,70,5,1,48,1,,2,52,1,,6,2,,,,,,,,,,1,,2,,2,1,1,79,78,18,1810,5,923.131.627.553.952
846917,1,1,1,70,5,52,48,4,,2,52,1,,7,3,,,,,,,,,1,,HACER EMPRESA,2,,2,1,2,79,79,18,1810,5,811.741.229.223.601
846917,1,4,1,70,5,24,48,4,,2,24,4,,2,4,,,,,,,,,,1,,2,,2,1,2,95,95,20,2010,5,811.741.229.223.601
846925,1,1,1,70,5,12,48,1,,2,15,1,,5,2,,,,,,,,,,1,,1,461500,2,1,1,77,77,15,1530,5,966.253.171.919.209
846927,1,2,1,70,5,20,48,1,,2,20,1,,9,3,,,,,,,,,,1,,2,,2,1,2,45,97,24,2424,5,546.477.880.387.096
846937,1,2,1,70,5,1,48,1,,2,2,4,,1,2,,,,,,,,,,1,,1,300000,2,1,1,97,41,52,5233,5,77.041.169.427.449
846941,1,2,1,70,5,5,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,95,,,,5,805.930.525.587.116
846943,1,4,1,70,5,10,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,58,,,,5,981.227.015.461.607
846943,1,5,1,70,5,12,48,4,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,97,,,,5,981.227.015.461.607
846949,1,2,1,70,5,12,48,1,,2,2,4,,1,2,,,,,,,,,,1,,1,50000,2,1,1,54,45,52,5262,5,102.050.274.704.284
846959,1,3,1,70,5,48,48,1,,2,72,3,,1,8,,,,,,,,,,1,,2,,2,1,2,79,54,95,9500,5,833.183.380.371.076
846959,1,4,1,70,5,1,24,4,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,97,,,,5,833.183.380.371.076
846962,1,2,1,70,5,4,48,4,,2,5,4,,2,6,,,,,,,,,,1,,1,500000,2,1,1,95,95,45,4521,5,702.219.026.136.233
846966,1,5,1,70,5,2,48,1,,2,4,4,,5,4,,,,,,,,,,1,,1,700000,2,1,1,53,53,55,5521,5,979.720.815.399.999
846973,1,1,1,70,5,2,48,1,,2,2,4,,3,2,,,,,,,,,,1,,2,,2,1,1,75,75,17,1720,5,699.961.715.351.586
