Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Fex_c_2011;Mes;Dpto
3053981;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;28; ; ; ; ; ; ;17;157,049839706002;10;17
3053982;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;35; ; ; ; ; ; ;17;162,566031854202;10;17
3053983;1;1;1;90; ;2;2;2;2;1;2;1;2;2;2; ; ; ; ;7; ;4; ; ; ;17;144,675222602748;10;17
3053983;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;35; ; ;35; ; ; ; ; ;17;144,675222602748;10;17
3053984;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;190,747699736517;10;17
3053984;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;190,747699736517;10;17
3053985;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;17;134,582579708123;10;17
3053985;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;17;134,582579708123;10;17
3053986;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;162,566031854202;10;17
3053987;1;1;1;90; ;2;1;2;2;2;2;2;2;1;2; ;1; ; ; ; ; ; ;6; ;17;175,64794596182;10;17
3053987;1;2;1;90; ;2;1;2;2;2;2;2;2;1;2; ;2; ; ; ; ; ; ;6; ;17;175,64794596182;10;17
3053988;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;185,231507588316;10;17
3053988;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;185,231507588316;10;17
3053989;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;2;7; ; ; ; ; ; ; ; ;17;144,675222602748;10;17
3053989;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;144,675222602748;10;17
3053990;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;199,633580090721;10;17
3053990;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;14; ; ; ; ; ; ;17;199,633580090721;10;17
3053991;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;157,049839706002;10;17
3053992;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;104,858540126219;10;17
3053992;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;104,858540126219;10;17
3053992;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;17;104,858540126219;10;17
3053992;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;17;104,858540126219;10;17
3053993;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;149,345398876822;10;17
3053994;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;148,29493083589;10;17
3053995;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;35; ; ; ; ; ; ;17;145,216609375551;10;17
3053995;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;145,216609375551;10;17
3053997;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;172,856890485063;10;17
3053997;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;172,856890485063;10;17
3053997;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;172,856890485063;10;17
3053998;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;17;129,575468828051;10;17
3053998;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;129,575468828051;10;17
3053999;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;144,675222602748;10;17
3053999;1;2;1;90; ;2;1;2;2;2;1;2;2;2;2; ;42; ; ; ;8; ; ; ; ;17;144,675222602748;10;17
3054001;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;4; ;28; ; ; ; ; ; ;17;194,815069214813;10;17
3054001;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;21; ; ; ; ; ; ;17;194,815069214813;10;17
3054002;1;1;1;90; ;2;1;1;2;2;2;2;2;2;2; ;28;5; ; ; ; ; ; ; ;17;144,675222602748;10;17
3054002;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;144,675222602748;10;17
3054003;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;17;91,974841754837;10;17
3054003;1;2;1;90; ;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;3;17;91,974841754837;10;17
3054003;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;91,974841754837;10;17
3054003;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;91,974841754837;10;17
3054003;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;17;91,974841754837;10;17
3054004;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;144,675222602748;10;17
3054004;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;144,675222602748;10;17
3054006;1;1;1;90; ;2;1;1;1;2;2;2;2;2;2; ;8;8;8; ; ; ; ; ; ;17;139,097786929537;10;17
3054006;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;139,097786929537;10;17
3054006;1;3;1;90; ;2;2;1;2;2;2;1;2;2;2; ; ;8; ; ; ;5; ; ; ;17;139,097786929537;10;17
3054006;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;139,097786929537;10;17
3054006;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;139,097786929537;10;17
3054007;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;143,287819955818;10;17
3054008;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;48; ; ; ; ; ; ;17;172,280564964791;10;17
3054009;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;139,097786929537;10;17
3054009;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;28; ; ;21; ; ; ; ; ;17;139,097786929537;10;17
3054009;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;139,097786929537;10;17
3054009;1;4;1;90; ;2;1;2;2;1;2;2;2;2;2; ;21; ; ;21; ; ; ; ; ;17;139,097786929537;10;17
3054009;1;5;1;90; ;2;1;2;2;1;2;1;2;2;2; ;14; ; ;14; ;10; ; ; ;17;139,097786929537;10;17
3054010;1;1;1;90; ;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;48; ; ;17;129,575468828051;10;17
3054010;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;129,575468828051;10;17
3054011;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;11;2514,91775720353;10;11
3054034;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;24; ; ; ; ; ; ;54;492,131422261726;10;54
3054034;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;54;492,131422261726;10;54
3054034;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;54;492,131422261726;10;54
3054035;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;54;365,607702684469;10;54
3054035;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;54;365,607702684469;10;54
3054035;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;54;365,607702684469;10;54
3054036;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;54;294,683231178851;10;54
3054058;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;66;232,913623040583;10;66
3054058;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;66;232,913623040583;10;66
3054059;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;66;298,057058603827;10;66
3054059;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;66;298,057058603827;10;66
3054059;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;66;298,057058603827;10;66
3054060;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;66;242,914320141517;10;66
3054060;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;27; ; ; ; ; ; ; ; ;66;242,914320141517;10;66
3054061;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;66;263,170681626796;10;66
3054062;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;66;224,268971515303;10;66
3054062;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;66;224,268971515303;10;66
3054063;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;66;254,010848659653;10;66
3054064;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;66;263,170681626796;10;66
3054066;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;6; ; ; ;66;287,038281161499;10;66
3054066;1;2;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;66;287,038281161499;10;66
3054067;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;66;278,02299277272;10;66
3054067;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;14; ; ; ; ; ; ;66;278,02299277272;10;66
3054069;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;38; ;20; ; ; ; ; ; ;66;278,393629636219;10;66
3054069;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;66;278,393629636219;10;66
3054070;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;48; ; ; ; ; ; ; ; ;66;266,744139335536;10;66
3054070;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;66;266,744139335536;10;66
3054071;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;66;222,947047812966;10;66
3054071;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;66;222,947047812966;10;66
3054071;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;66;222,947047812966;10;66
3054072;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;66;254,010848659653;10;66
3054073;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;66;277,878448194356;10;66
3054073;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;66;277,878448194356;10;66
3054074;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;42; ; ; ; ; ; ;66;286,271396299416;10;66
3054075;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;66;254,010848659653;10;66
3054076;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;66;245,68469405715;10;66
3054076;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;66;245,68469405715;10;66
3054076;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;66;245,68469405715;10;66
3054076;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;66;245,68469405715;10;66
3054077;1;1;1;90; ;2;2;2;2;1;2;2;2;2;2; ; ; ; ;30; ; ; ; ; ;66;231,817791623381;10;66
3054077;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;66;231,817791623381;10;66
3054077;1;3;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ;66;231,817791623381;10;66
3054078;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;66;232,913623040583;10;66
3054078;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;66;232,913623040583;10;66
3054079;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;24; ; ; ; ; ; ;66;278,393629636219;10;66
3054079;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;20; ; ; ; ; ; ;66;278,393629636219;10;66
3054080;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;66;298,134809679635;10;66
3054081;1;1;1;90; ;2;1;2;1;2;2;1;2;2;2; ;28; ;70; ; ;4; ; ; ;73;244,429298020849;10;73
3054082;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;73;530,280618781917;10;73
3054082;1;2;1;90; ;2;1;2;2;2;2;1;1;2;2; ;7; ; ; ; ;24;2; ; ;73;530,280618781917;10;73
3054083;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;371,625521184268;10;73
3054083;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;14; ; ; ; ; ; ;73;371,625521184268;10;73
3054083;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;371,625521184268;10;73
3054083;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;73;371,625521184268;10;73
3054084;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;212,600916362091;10;73
3054084;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;73;212,600916362091;10;73
3054084;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;212,600916362091;10;73
3054085;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;213,890850793958;10;73
3054086;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;254,792148561708;10;73
3054086;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;254,792148561708;10;73
3054086;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;254,792148561708;10;73
3054086;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;254,792148561708;10;73
3054092;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;7; ; ; ; ; ; ;05;1140,59779455345;10;05
3054092;1;2;1;90; ;2;1;1;1;2;2;2;2;2;1; ;28;2;21; ; ; ; ; ;2;05;1140,59779455345;10;05
3054093;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;875,286240568842;10;05
3054093;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;2; ; ; ; ;2; ; ; ;05;875,286240568842;10;05
3054094;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;1135,34633154479;10;05
3054095;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;20; ; ;20; ; ; ; ; ;05;896,279726135603;10;05
3054095;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;12; ; ;60; ; ; ; ; ;05;896,279726135603;10;05
