Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3053982;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;10;17;162,566031854202
3053983;1;2;1;80;17;1;4;7; ;2; ;2; ; ; ; ;8;2;1;10;17;144,675222602748
3053984;1;2;1;80;17;2; ; ; ;2; ;2; ;1;4; ;9; ;1;10;17;190,747699736517
3053985;1;2;1;80;17;1;1;9;ESTA HACIENDO DILIGENCIAS PARA SALIR DEL PAIS;2; ;1;566700; ; ;POR MOTIVO DE VIAJE CAMBIA DE RESIDENCIA A OTRO PAIS;12;2;1;10;17;134,582579708123
3053986;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;10;17;162,566031854202
3053989;1;1;1;80;17;1;3;8; ;3; ;2; ; ; ; ;10;2;1;10;17;144,675222602748
3053989;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;144,675222602748
3053992;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;104,858540126219
3053992;1;4;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;10;17;104,858540126219
3053993;1;1;1;80;17;1;2;8; ;2; ;2; ; ; ; ;1;2;1;10;17;149,345398876822
3053994;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;148,29493083589
3053995;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;145,216609375551
3053997;1;2;1;80;17;1;4;5; ;2; ;2; ; ; ; ;10;2;1;10;17;172,856890485063
3053998;1;1;1;80;17;1;2;8; ;1;1;2; ; ; ; ;8;2;1;10;17;129,575468828051
3053999;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;144,675222602748
3054002;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;4;2;1;10;17;144,675222602748
3054003;1;2;1;80;17;1;1;8; ;2; ;2; ; ; ; ;11;2;1;10;17;91,974841754837
3054003;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;91,974841754837
3054003;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;91,974841754837
3054006;1;4;1;80;17;2; ; ; ;2; ;2; ;1;1; ;2; ;1;10;17;139,097786929537
3054006;1;5;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;139,097786929537
3054008;1;1;1;80;17;1;1;3; ;2; ;1;250000; ; ; ;9;2;1;10;17;172,280564964791
3054009;1;3;1;80;17;2; ; ; ;2; ;2; ;1;1; ;5; ;1;10;17;139,097786929537
3054009;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;17;139,097786929537
3054009;1;5;1;80;17;1;1;2; ;2; ;2; ; ; ; ;2;2;1;10;17;139,097786929537
3054010;1;1;1;80;17;1;1;5; ;3; ;2; ; ; ; ;11;2;1;10;17;129,575468828051
3054034;1;2;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;54;492,131422261726
3054034;1;3;1;80;54;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;54;492,131422261726
3054036;1;1;1;80;54;1;4;7; ;2; ;2; ; ; ; ;8;2;1;10;54;294,683231178851
3054058;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;66;232,913623040583
3054058;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;66;232,913623040583
3054060;1;1;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;10;66;242,914320141517
3054060;1;2;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;10;66;242,914320141517
3054062;1;2;1;80;66;1;1;6; ;2; ;2; ; ; ; ;6;2;1;10;66;224,268971515303
3054067;1;1;1;80;66;1;2;2; ;2; ;2; ; ; ; ;2;2;1;10;66;278,02299277272
3054070;1;1;1;80;66;1;1;4; ;2; ;2; ; ; ; ;4;2;1;10;66;266,744139335536
3054070;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;66;266,744139335536
3054071;1;3;1;80;66;2; ; ; ;2; ;2; ;1;1; ;2; ;1;10;66;222,947047812966
3054073;1;1;1;80;66;1;4;7; ;3; ;2; ; ; ; ;9;2;1;10;66;277,878448194356
3054073;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;10;66;277,878448194356
3054076;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;66;245,68469405715
3054076;1;2;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;10;66;245,68469405715
3054076;1;3;1;80;66;1;3;7; ;1;2;2; ; ; ; ;8;2;1;10;66;245,68469405715
3054076;1;4;1;80;66;1;3;6; ;2; ;2; ; ; ; ;11;2;1;10;66;245,68469405715
3054077;1;1;1;80;66;1;4;7; ;2; ;2; ; ; ; ;11;2;1;10;66;231,817791623381
3054077;1;2;1;80;66;1;3;4; ;2; ;2; ; ; ; ;4;2;1;10;66;231,817791623381
3054078;1;1;1;80;66;1;3;5; ;3; ;2; ; ; ; ;10;2;1;10;66;232,913623040583
