Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
2950276;1;3;2;2;1;3;1;1;5;4; ; ; ;300000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;2;2;1;3; ;1;01;2;05;63;727,063300720682
2950278;1;1;1;2;1;4;1;1;4;4; ; ; ;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2; ;2;1;1;1;4;1;2;2;2;1;1; ;1;01;2;05;63;1201,25088889447
2950279;1;1;1;2;1;5;1;1;4;4; ; ; ;120000; ;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;1;3; ;1;01;2;05;63;1386,52599976881
2950280;1;6;3;2;1;1;1;1;5;1; ; ;98;300000; ;2;2;1;2;1;2;2;2;2;1;2;1;1;1;2;1;1;1;1;2;1;1;2;2;2; ;3;1;1;1;4;1;2;2;1;1;3;2;1;01;2;05;63;1015,97577802012
2950281;1;7;3;2;1;1;1;1;4;4; ; ; ;300000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;2;2;1;1;3;2;1;01;2;05;63;675,12313929738
2950283;1;2;2;2;1;1;1;1;4;4; ; ; ;150000; ;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;1;4;2;2; ;5;1;1;1;2;1;2;2;1;1;3;2;1;01;2;05;63;779,762328705608
2950296;1;5;1;2;1;5;1;1;4;1; ; ;40000000;300000; ;2;1;1;1;1;2;2;2;2;1;1;2;1;2;2;1;1;1;1;2;1;1;2;2;2; ;2;1;1;4;6;1;2;2;2;1;2; ;1;01;2;05;63;918,830933693623
2950298;1;2;1;3;1;4;1;1;4;4; ; ; ;40000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;2;2;2;1;2; ;1;01;2;05;63;1201,25088889447
2950299;1;5;4;2;1;4;1;1;4;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;5;2;2; ;7;1;1;4;4;1;2;2;2;1;2; ;1;01;2;05;63;1385,54951277955
2950312;1;3;2;2;1;4;1;1;4;4; ; ; ;170000; ;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;4;1;1;1;2;1;2;2;2;1;2; ;1;01;2;05;63;1701,44950394739
2950313;1;1;1;2;1;4;1;6; ;4; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;1;4;1;2;1;2;2;2;1;2; ;1;01;2;05;63;1700,50993856009
2950314;1;2;1;2;1;4;1;1;4;4; ; ; ;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;1;2; ;1;01;2;05;63;1709,34260541021
2950315;1;6;1;2;1;4;1;1;4;4; ; ; ;200000; ;2;1;1;2;2;1;1;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2; ;1;1;1;1;4;1;2;2;2;1;3; ;1;01;2;05;63;1386,52599976881
2950496;1;3;2;2;1;4;1;1;4;4; ; ; ;70000; ;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;2;2;2;1;2; ;1;01;2;05;63;822,947117207152
2950498;1;3;2;2;1;1;1;1;5;4; ; ; ;50000; ;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;4;1;1;1;2;1;1;2;1;1;2;2;1;01;2;05;63;1047,53976161055
2950499;1;3;2;2;1;1;1;1;4;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;2;2;1;1;2;2;1;01;2;05;63;1512,66318580416
2950500;1;2;1;2;1;1;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;1;1;2;2;1;01;2;05;63;1393,42012862258
