Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
2945784;1;3;1;1;1;1;1;6; ;3; ; ; ; ;400000;2;2;1;1;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;2;01;73;05;73;222,634978467053
2945792;1;3;2;1;1;1;1;3;3;3; ; ; ; ;300000;1;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;3;3;2;01;73;05;73;237,486351813663
2945794;1;5;2;1;1;1;1;1;3;3; ; ; ; ;400000;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;2;01;73;05;73;170,257851590353
2945795;1;4;2;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;2;2;2; ;3;1;2;1;2;1;1;1;1;1;3;2;2;01;73;05;73;231,655646183233
2945796;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;3;3;2;01;73;05;73;260,506232224513
2945797;1;3;1;1;1;1;1;1;3;2; ;300000;45000000;250000; ;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;1;1;2;1;2;1;1;1;1;1;2;2;2;01;73;05;73;253,900974929998
2945798;1;3;1;1;1;1;1;1;3;1; ; ;30000000;300000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;2;1;1;1;1;1;2;3;2;01;73;05;73;253,900974929998
2945804;1;2;2;1;1;1;1;1;3;1; ; ;20000000;350000; ;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;1;1;1;1;2;3;2;01;73;05;73;155,745883479742
2945811;1;2;1;1;1;1;1;1;3;1; ; ;5000000;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;2;4;2;1;1;1;1;1;1;3;1;01;73;05;73;253,900974929998
2945812;1;4;3;1;1;1;1;1;3;2; ;350000;40000000;250000; ;1;2;1;1;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;2;1;1;1;1;1;2;3;2;01;73;05;73;229,321006202442
2945813;1;3;1;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;4;1;1;1;1;1;2;3;2;01;73;05;73;208,123010356442
2945814;1;3;1;1;1;1;1;1;3;1; ; ;25000000;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;1;1;1;1;2;3;2;01;73;05;73;235,805012625698
2945815;1;2;1;1;1;1;1;1;4;1; ; ;25000000;150000; ;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;3;2;2; ;4;1;1;1;2;1;2;1;1;1;2;3;1;01;73;05;73;146,731310754933
2945816;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;2;1;2;1;1;1;1;1;2;3;1;01;73;05;73;269,80931100915
2945826;1;5;3;1;1;1;1;1;3;1; ; ;200000000;700000; ;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;66;05;66;257,563834194061
2945827;1;7;3;1;1;1;1;1;3;1; ; ;150000000;500000; ;1;1;1;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;1;1;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;66;05;66;226,650497131211
2945828;1;3;2;1;1;1;1;1;3;1; ; ;70000000;300000; ;1;2;1;2;2;2;2;2;1;1;1;1;1;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;66;05;66;220,165169967746
2945829;1;4;2;1;1;1;1;1;3;1; ; ;60000000;300000; ;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;66;05;66;325,101739741303
2945831;1;5;3;1;1;1;1;1;4;3; ; ; ; ;400000;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;1;2;2; ;7;1;1;1;4;1;2;1;1;1;3;2;1;01;66;05;66;369,042258695019
2945832;1;3;1;1;1;1;1;1;3;1; ; ;70000000;450000; ;1;1;1;2;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;66;05;66;220,165169967746
2945833;1;6;4;1;1;1;1;1;3;3; ; ; ; ;400000;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;4;1;1;1;1;1;3;2;1;01;66;05;66;213,932664805638
2945834;1;4;1;1;1;1;1;1;3;3; ; ; ; ;230000;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;1;2;2;1;1;1;2;1;1;1;1;1;3;2;1;01;66;05;66;220,165169967746
2945835;1;2;1;1;1;1;1;6; ;3; ; ; ; ;130000;1;2;1;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;1;1;1;1;4;1;2;1;1;1;3;2;1;01;66;05;66;213,679842804281
2945836;1;3;1;1;1;1;1;1;3;4; ; ; ;200000; ;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;66;05;66;220,165169967746
2945837;1;5;4;1;1;1;1;1;3;3; ; ; ; ;450000;1;2;1;1;1;1;2;2;1;1;1;1;2;2;1;1;1;1;1;2;1;1;3;2;2; ;6;1;1;1;4;1;1;1;1;1;3;2;1;01;66;05;66;297,434606105634
2945839;1;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;66;05;66;257,563834194061
2945840;1;4;3;1;1;1;1;1;4;1; ; ;98;250000; ;1;2;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;2;1;4;1;2;1;1;1;2;2;1;01;66;05;66;297,372540565579
2945841;1;3;3;1;1;1;1;1;4;3; ; ; ; ;450000;1;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;2;2;1;3;2;2; ;3;1;2;1;4;1;2;1;1;1;4;2;1;01;66;05;66;305,898580252264
2945842;1;1;1;1;1;1;1;1;4;4; ; ; ;230000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;4;2;1;01;66;05;66;220,165169967746
2945843;1;4;3;1;1;1;1;1;3;4; ; ; ;400000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;4;3;1;01;66;05;66;202,902740760958
2945844;1;5;3;1;1;1;1;1;3;1; ; ;90000000;500000; ;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;4;3;1;01;66;05;66;251,110283703334
2945845;1;3;3;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;66;05;66;305,898580252264
2945846;1;4;3;1;1;1;1;1;4;3; ; ; ; ;400000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;5;2;2; ;5;1;1;1;4;1;2;1;1;1;4;3;1;01;66;05;66;269,647897187736
2945847;1;6;5;1;1;1;1;1;3;3; ; ; ; ;500000;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;5;1;1;1;4;1;1;1;1;1;2;2;1;01;66;05;66;383,381549497734
2945848;1;3;2;1;1;1;1;1;3;4; ; ; ;400000; ;1;2;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;4;2;1;01;66;05;66;324,650709022487
2945849;1;4;3;1;1;1;1;1;3;3; ; ; ; ;500000;1;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;2;1;2;2;1;6;2;2; ;6;1;1;1;4;1;1;1;1;1;2;2;1;01;66;05;66;213,928109007757
2945850;1;5;3;1;1;1;1;1;4;3; ; ; ; ;350000;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;4;1;2;1;4;1;2;1;1;1;4;2;1;01;66;05;66;278,173936874421
2945851;1;6;3;1;1;1;1;1;4;1; ; ;150000000;400000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;1;1;1;2;1;2;2;2; ;3;1;1;1;4;1;2;1;1;1;4;2;1;01;66;05;66;178,442954188835
2945852;1;4;3;1;1;1;1;1;3;3; ; ; ; ;350000;2;2;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;4;2;1;01;66;05;66;178,442954188835
2945853;1;5;3;1;1;1;1;1;3;1; ; ;100000000;500000; ;1;2;1;2;2;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;4;2;2; ;5;1;1;4;6;1;1;1;1;1;4;2;1;01;66;05;66;141,26533529114
2945854;1;3;1;1;1;1;1;1;4;1; ; ;100000000;350000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;66;05;66;220,165169967746
2945922;1;5;2;1;1;1;1;1;3;1; ; ;80000000;450000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;17;05;17;167,5015958927
2945923;1;3;2;1;1;1;1;1;3;2; ;300000;45000000;300000; ;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;3;2;1;01;17;05;17;248,160399383713
2945924;1;4;1;1;1;1;1;1;3;3; ; ; ; ;310000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2; ;2;2; ;2;1;2;4;3;1;1;1;1;1;3;3;1;01;17;05;17;170,707873509693
2945925;1;5;3;1;1;1;1;1;4;4; ; ; ;400000; ;1;2;1;1;1;1;2;2;2;1;1;1;2;2;1;2;1;1;1;2;2;1;2;2;2; ;5;1;2;1;3;1;2;1;1;1;3;2;1;01;17;05;17;184,120730162766
2945926;1;1;1;1;2;1;1;6; ;4; ; ; ;100000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;1;1;3;4;3;1;2;1;1;1;3;2;1;01;17;05;17;185,499032014029
2945928;1;5;4;1;1;1;1;1;3;1; ; ;75000000;400000; ;2;1;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;2;2;1;4;2;2; ;5;1;1;1;4;1;1;1;1;1;3;2;1;01;17;05;17;203,132128260552
2945929;1;3;2;1;1;1;1;1;3;1; ; ;70000000;300000; ;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;6;1;1;1;1;1;3;2;1;01;17;05;17;141,208906343863
2945930;1;3;1;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2; ;2;2; ;1;1;2;3;4;1;1;1;1;1;3;2;1;01;17;05;17;154,396591599285
2945931;1;2;1;1;1;1;1;1;4;3; ; ; ; ;250000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;05;17;176,989788365605
2945932;1;4;3;1;1;1;1;1;3;4; ; ; ;400000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;2;2;2; ;2;1;2;4;4;1;1;1;1;1;3;2;1;01;17;05;17;188,081454087425
2945933;1;1;1;1;2;1;1;6; ;3; ; ; ; ;120000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;3;4;3;1;2;1;1;1;3;2;1;01;17;05;17;154,396591599285
2945934;1;1;1;1;2;1;1;1;4;1; ; ;100000000;200000; ;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;2;1;3;4;3;1;2;1;1;1;3;2;1;01;17;05;17;176,989788365605
2945935;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;1;1;1;2;2;2;1;1;2;2;2;1;2;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;17;05;17;200,351650732481
