Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
2945769;1;2;1;70;1;20;40;1; ;2;20;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;13;80;1;2;8012;05;15;42,7649105580134;15
2945769;1;5;1;70;1;16;40;1; ;2;52;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;17;18;80;1;2;8012;05;15;42,7649105580134;15
2945776;1;2;1;70;1;20;40;1; ;2;20;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;07;07;85;1;2;8511;05;20;102,501527978852;20
2945780;1;1;1;70;1;28;40;1; ;2;28;4; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5521;05;20;108,911276371471;20
2945792;1;2;1;70;1;103;20;4; ;2;260;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;45;52;1;2;5261;05;73;237,486351813663;73
2945796;1;2;1;70;1;4;40;1; ;2;101;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;50;55;1;1;5511;05;73;260,506232224513;73
2945798;1;1;1;70;1;4;48;1; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ;1; ;ES PENSIONADO;1;200000;2;58;58;95;1;1;9500;05;73;253,900974929998;73
2945799;1;2;1;70;1;4;50;1; ;2;3;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;1;220000;2;95;95;45;1;1;4521;05;18;42,9727162349084;18
2945801;1;5;1;70;1;3;48;1; ;2;520;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;05;18;44,0114713811429;18
2945804;1;2;1;70;1;4;40;1; ;2;4;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;52;1;1;5211;05;73;155,745883479742;73
2945805;1;1;1;70;1;24;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;05;18;56,9451840353126;18
2945806;1;5;1;70;1;16;50;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;61;01;1;2;0113;05;18;70,7813888735238;18
2945806;1;7;1;70;1;12;48;1; ;2;12;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;05;18;70,7813888735238;18
2945807;1;2;1;70;1;48;48;1; ;2;108;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;2;5261;05;18;42,9727162349084;18
2945812;1;1;1;70;1;99;40;1; ;2;99;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;30;75;1;2;7512;05;73;229,321006202442;73
