Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Fex_c_2011;Mes;Dpto
2945784;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;222,634978467053;05;73
2945784;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;5; ; ; ; ;2; ; ; ;73;222,634978467053;05;73
2945792;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;237,486351813663;05;73
2945792;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;28; ; ; ; ; ; ;73;237,486351813663;05;73
2945792;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;73;237,486351813663;05;73
2945794;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;170,257851590353;05;73
2945794;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;73;170,257851590353;05;73
2945794;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;73;170,257851590353;05;73
2945795;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;14; ; ; ; ; ; ;73;231,655646183233;05;73
2945795;1;2;1;90; ;2;1;2;1;2;1;2;2;2;2; ;12; ;28; ;2; ; ; ; ;73;231,655646183233;05;73
2945796;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;10; ; ; ; ; ; ;73;260,506232224513;05;73
2945796;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;42; ; ; ; ; ; ;73;260,506232224513;05;73
2945797;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;73;253,900974929998;05;73
2945798;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;73;253,900974929998;05;73
2945804;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;73;155,745883479742;05;73
2945804;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;73;155,745883479742;05;73
2945811;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;73;253,900974929998;05;73
2945812;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;73;229,321006202442;05;73
2945812;1;2;1;90; ;2;1;2;1;2;2;2;2;1;2; ;25; ;15; ; ; ; ;10; ;73;229,321006202442;05;73
2945812;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;73;229,321006202442;05;73
2945813;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;73;208,123010356442;05;73
2945814;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;73;235,805012625698;05;73
2945814;1;2;1;90; ;2;1;1;1;2;2;2;2;2;2; ;25;20;15; ; ; ; ; ; ;73;235,805012625698;05;73
2945815;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;73;146,731310754933;05;73
2945815;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;73;146,731310754933;05;73
