Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Fex_c_2011;Mes;Dpto
3074928;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;20; ; ; ; ; ; ;17;229,066270567988;11;17
3074929;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;126,534343885556;11;17
3074929;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;17;126,534343885556;11;17
3074930;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;185,019008304178;11;17
3074930;1;2;1;90; ;2;1;2;2;2;2;2;2;2;1; ;35; ; ; ; ; ; ; ;35;17;185,019008304178;11;17
3074930;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;185,019008304178;11;17
3074930;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;185,019008304178;11;17
3074931;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;17;173,989383650872;11;17
3074931;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;17;173,989383650872;11;17
3074931;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;173,989383650872;11;17
3074932;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;208,45523656401;11;17
3074932;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;25; ; ; ; ; ; ;17;208,45523656401;11;17
3074933;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;15; ; ;25; ; ; ; ; ;17;104,361146219758;11;17
3074933;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;104,361146219758;11;17
3074933;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;104,361146219758;11;17
3074933;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;17;104,361146219758;11;17
3074935;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;17;170,766790857966;11;17
3074935;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;170,766790857966;11;17
3074936;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;172,827443401891;11;17
3074936;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;17;172,827443401891;11;17
3074937;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;17;206,863813758786;11;17
3074937;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;17;206,863813758786;11;17
3074937;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;17;206,863813758786;11;17
3074938;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;17;193,237332230681;11;17
3074938;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;193,237332230681;11;17
3074939;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;177,393691979244;11;17
3074940;1;1;1;90; ;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;3;17;193,237332230681;11;17
3074940;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;17;193,237332230681;11;17
3074941;1;1;1;90; ;2;1;2;1;2;2;1;2;2;2; ;28; ;28; ; ;3; ; ; ;17;179,990548854043;11;17
3074942;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;17;169,175368052741;11;17
3074942;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;169,175368052741;11;17
3074942;1;3;1;90; ;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;3;17;169,175368052741;11;17
3074943;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;35; ; ;14; ; ; ; ; ;17;142,549870168776;11;17
3074943;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;142,549870168776;11;17
3074944;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;172,827443401891;11;17
3074944;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;56; ; ; ; ; ; ; ; ;17;172,827443401891;11;17
3074945;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;172,827443401891;11;17
3074945;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;172,827443401891;11;17
3074947;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;137,811735559639;11;17
3074947;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;137,811735559639;11;17
3074947;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;137,811735559639;11;17
3074947;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;17;137,811735559639;11;17
3074948;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;174,468442893255;11;17
3074948;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;21; ; ;8; ; ; ; ; ;17;174,468442893255;11;17
3074949;1;1;1;90; ;2;1;2;2;2;2;1;2;2;1; ;7; ; ; ; ;8; ; ;2;17;192,611596312574;11;17
3074950;1;1;1;90; ;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;2; ; ; ;17;204,266956883987;11;17
3074950;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;8; ; ; ; ;4; ; ; ;17;204,266956883987;11;17
3074950;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;204,266956883987;11;17
3074951;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;175,75269248788;11;17
3074953;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;185,498067546561;11;17
3074953;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;17;185,498067546561;11;17
3074953;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;185,498067546561;11;17
3074954;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;6; ; ; ; ; ; ;17;227,253385044841;11;17
3074954;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;28; ; ; ; ; ; ;17;227,253385044841;11;17
3074955;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;209,818321988179;11;17
3074955;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;209,818321988179;11;17
3074956;1;1;1;90; ;2;1;2;2;2;2;2;2;2;1; ;10; ; ; ; ; ; ; ;5;17;225,661962239616;11;17
3074956;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;35; ; ; ; ;7; ; ; ;17;225,661962239616;11;17
3074956;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;17;225,661962239616;11;17
3074957;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;137,639849527856;11;17
3074957;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;137,639849527856;11;17
3074957;1;3;1;90; ;2;1;2;2;2;2;2;2;2;1; ;1; ; ; ; ; ; ; ;4;17;137,639849527856;11;17
3074957;2;1;2;90; ;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;4;17;137,639849527856;11;17
3074957;2;2;2;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;137,639849527856;11;17
3074958;1;1;1;90; ;1;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ;1; ; ; ;17;195,83418910548;11;17
