Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3075092;1;2;1;70;1;52;48;3; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;95;1;2;9500;11;63;107,928876700116;63
3075093;1;2;1;70;1;8;48;1; ;2;8;1; ;5;5; ; ; ; ;1; ; ; ; ; ; ;1;30000;2;45;45;52;1;1;5237;11;63;204,551427514853;63
3075097;1;3;1;70;1;1;48;1; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;45;53;55;1;1;5521;11;63;79,5664398024669;63
3075101;1;1;1;70;1;38;48;1; ;2;38;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6021;11;63;99,9171445110246;63
3075101;1;3;1;70;1;3;48;1; ;2;6;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;95;36;1;1;3611;11;63;99,9171445110246;63
3075101;1;4;1;70;1;2;48;1; ;2;8;1; ;7;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5244;11;63;99,9171445110246;63
3075106;1;2;1;70;1;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;63;170,477488539549;63
3075108;1;2;1;70;1;144;48;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;45;45;92;1;2;9242;11;63;135,347873092054;63
3075113;1;4;1;70;1;11;48;1; ;2;48;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;08;08;65;1;1;6512;11;63;114,516148228685;63
3075121;1;3;1;70;1;1;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;57; ; ;1;1; ;11;76;728,591747902643;76
3075123;1;1;1;70;1;8;48;1; ;2;34;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;1;5261;11;76;721,97714703171;76
3075131;1;2;1;70;1;104;48;3; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;74;1;2;7493;11;19;52,7741986015093;19
3075134;1;1;1;70;1;72;40;4; ;2;72;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;95;45;1;2;4521;11;19;168,723955301838;19
3075139;1;4;1;70;1;32;48;1; ;2;32;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;33;52;1;2;5211;11;63;117,06421210818;63
3075142;1;1;1;70;1;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;54;54;74;1;1;7493;11;63;129,571851258054;63
3075142;1;2;1;70;1;5;48;1; ;2;63;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;45;52;1;1;5233;11;63;129,571851258054;63
