DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
1118568;1;1;1;70;1;2;48;1; ;2;2;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;496900;2;39;97;51;1;1;5141;05;05;894,640628697889
1118573;1;2;1;70;1;6;60;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;41;38;64;1;1;6421;05;05;740,730888723297
1118578;1;1;1;70;1;16;40;4; ;2;78;5; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;95;45;1;2;4521;05;05;1113,42235015191
1118578;1;4;1;70;1;16;48;1; ;2;16;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;85;1;2;8515;05;05;1113,42235015191
1118582;1;3;1;70;1;3;48;1; ;2;8;1; ;6;2; ; ; ; ; ; ; ; ;1; ;ESTUDIANDO;2; ;2;53;19;24;1;1;2411;05;05;777,005964836499
1118586;1;2;1;70;1;4;50;4; ;2;2;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;130000;2;79;79;18;1;1;1810;05;05;840,609324970966
1118589;1;2;1;70;1;72;48;1; ;2;72;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;44;64;1;2;6421;05;05;921,107254631105
1118593;1;3;1;70;1;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;2; ;05;05;987,402471305273
1118600;1;9;1;70;1;24;48;1; ;2;104;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;53;55;1;2;5521;05;05;1001,31720833323
1118606;1;1;1;70;1;12;50;4; ;2;12;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;05;05;1098,15153447131
1118619;1;1;1;70;1;12;48;1; ;2;12;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;05;919,272751637891
1118619;1;2;1;70;1;4;48;1; ;2;5;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;95;95;45;1;1;4521;05;05;919,272751637891
1118619;1;3;1;70;1;52;24;1; ;2;20;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;80;1;2;8060;05;05;919,272751637891
1118637;1;3;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;05;05;945,846878151935
1118637;2;1;2;70;1;12;48;1; ;2;12;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;05;945,846878151935
1118639;1;2;1;70;1;4;48;1; ;2;4;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;05;05;1025,70812640413
1118649;1;2;1;70;1;52;48;1; ;2;52;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8060;05;05;966,684716404241
1118654;1;1;1;70;1;4;48;1; ;2;4;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;95;95;45;1;1;4521;05;05;970,534329385206
1118656;1;1;1;70;1;12;48;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;97;18;1;1;1810;05;05;1060,09941346402
1118660;1;1;1;70;1;24;48;4; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;2;4552;05;05;890,791015716924
1118665;1;1;1;70;1;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;41;41;50;1;1;5011;05;05;963,034938778827
1118673;1;3;1;70;1;32;48;1; ;2;32;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;2;3611;05;05;892,006889108248
1118681;1;2;1;70;1;8;48;1; ;2;104;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;32;52;1;1;5235;05;05;1025,70812640413
1118683;1;5;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;05;05;1140,79827030541
1118687;1;1;1;70;1;8;48;1; ;2;8;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;53;55;1;1;5529;05;05;862,251386887679
1118690;1;1;1;70;1;50;48;1; ;2;100;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;93;45;1;2;4552;05;05;966,684716404241
1118694;1;1;1;70;1;50;48;4; ;2;50;1; ;9;1; ; ; ; ; ; ; ; ;1; ;LA PENSION;2; ;2;87;87;45;1;2;4530;05;05;958,920735384306
1118701;1;2;1;70;1;24;48;1; ;2;20;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;05;05;790,212012563694
1118701;1;3;1;70;1;4;50;1; ;2;32;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;51;1;1;5125;05;05;790,212012563694
1118701;1;4;1;70;1;1;48;1; ;2;1;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;365000;2;32;59;24;1;1;2411;05;05;790,212012563694
1118726;1;1;1;70;1;28;50;1; ;2;28;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;50;55;1;2;5521;05;05;949,756532808537
1118736;1;2;1;70;1;4;48;1; ;2;32;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;97;18;1;1;1810;05;05;966,684716404241
1118741;1;1;1;70;1;5;30;4; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ;1; ;LA PENSION;2; ;2;79;79;18;1;1;1810;05;05;865,668867198622
1118742;1;3;1;70;1;30;48;1; ;2;30;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;77;15;1;2;1511;05;05;925,129123250903
1118745;1;2;1;70;1;33;50;1; ;2;33;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;92;1;2;9242;05;05;731,183889181435
1118746;1;2;1;70;1;4;50;1; ;2;8;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;05;05;991,909652121003
1118747;1;2;1;70;1;4;50;4; ;2;13;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5262;05;05;790,212012563694
1118747;1;3;1;70;1;52;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;00; ; ;1;2; ;05;05;790,212012563694
1118752;1;3;1;70;1;204;50;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;97;15;1;2;1594;05;05;983,552858324308
1118756;1;3;1;70;1;1;20;1; ;2;4;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;97;97;55;1;1;5529;05;05;1043,00840099422
1118757;1;5;1;70;1;10;24;1; ;2;12;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;58;75;1;1;7524;05;05;786,362399582729
1118762;1;7;1;70;1;15;50;1; ;2;30;1; ;4;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;33;39;25;1;2;2529;05;05;872,225805717195
1118764;1;3;1;70;1;160;50;1; ;2;160;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;45;45;74;1;2;7499;05;05;1056,06102144949
1118768;1;1;1;70;1;155;50;1; ;2;155;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;05;05;997,226390483166
1118773;1;6;1;70;1;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;99;99;50;1;1;5020;05;05;1147,27097981008
1118774;1;2;1;70;1;8;50;1; ;2;9;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;05;05;987,871260106472
1118777;1;2;1;70;1;26;50;1; ;2;26;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;70;1;2;7010;05;05;1025,70812640413
1118778;1;2;1;70;1;2;48;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;05;05;849,037216765284
1118779;1;1;1;70;1;5;50;1; ;2;5;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;70;70;18;1;1;1810;05;05;799,777684267649
1118781;1;3;1;70;1;52;50;1; ;2;52;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;74;1;2;7412;05;05;911,57352567596
1118786;1;1;1;70;1;8;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;1; ;05;05;751,961685758104
1118792;1;2;1;70;1;12;48;1; ;2;12;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;05;05;883,03699615372
