DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4609934;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;2754,20083594118
4609934;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;2; ;1;1; ;6;1;05;1;1;68;2754,20083594118
4609935;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;68;2779,89594857669
4609935;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;2779,89594857669
4609937;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;3883,97553110465
4609937;1;2;1;50; ;1;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;68;3883,97553110465
4609956;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;4723,4928516508
4609956;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;4723,4928516508
4609956;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;68;4723,4928516508
4609956;1;4;1;50; ;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;68;4723,4928516508
4609957;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;3883,97553110465
4609957;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;13;SE ENCUENTRA EN ESTADO DE EMBARAZO; ; ; ; ; ;05;2;1;68;3883,97553110465
4609958;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;2754,20083594118
4609958;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;68;2754,20083594118
4609967;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;3085,9403914196
4609967;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;3085,9403914196
4609967;1;3;1;50; ;1;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;76;3085,9403914196
4609968;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2738,67975552973
4609968;1;2;1;50; ;1; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;2738,67975552973
4609968;1;3;1;50; ;1;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;76;2738,67975552973
4609969;1;1;1;50; ;1; ; ;1;6;OCIO;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2543,43264648925
4609969;1;2;1;50; ;1; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;2543,43264648925
4609971;1;1;1;50; ;1;2; ;1;6;DILIGENCIAS PERSONALES;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;76;4093,80375194183
4609971;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;6; ;2; ;2; ; ;05;1;1;76;4093,80375194183
4609973;1;1;1;50; ;1; ; ;1;6;DELIGENCIAS MEDICAS;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2543,43264648925
4609973;1;2;1;50; ;1; ; ;2;6;VIAJANDO;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2543,43264648925
4609974;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;4406,65532482217
4609974;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;4406,65532482217
4609974;1;3;1;50; ;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;4406,65532482217
4609974;1;4;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;4406,65532482217
4609975;1;1;1;50; ;1;1; ;1;6;DELIGENCIAS PERSONALES;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;76;2206,71307597676
4609975;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2206,71307597676
4609975;1;3;1;50; ;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2206,71307597676
4609975;1;4;1;50; ;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;2206,71307597676
4609975;1;5;1;50; ;1; ; ;5;4; ;2;2;2;2;1;10; ; ; ; ; ; ;05;2;1;76;2206,71307597676
4609976;1;1;1;50; ;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;2447,16583921919
4609976;1;5;1;50; ;1; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2447,16583921919
4609987;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2606,63408092967
4609987;1;2;1;50; ;1; ; ;2;6;OCIO;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2606,63408092967
4609987;1;3;1;50; ;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2606,63408092967
4609987;1;4;1;50; ;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;2606,63408092967
4609997;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;76;4127,04975962503
4609997;1;2;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;4127,04975962503
4609997;1;3;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;76;4127,04975962503
4609998;1;1;1;50; ;1;2; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;76;2716,90006563979
4610000;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;810,305143440941
4610000;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;810,305143440941
4610000;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;810,305143440941
4610001;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;934,577008961856
4610002;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;995,975534458693
4610002;1;2;1;50;05;1;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;05;995,975534458693
4610002;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;995,975534458693
4610003;1;1;1;50;05;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1038,03914018574
4610003;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1038,03914018574
4610003;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1038,03914018574
4610003;1;4;1;50;05;1; ; ;4;3; ;1; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1038,03914018574
4610003;1;5;1;50;05;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1038,03914018574
4610004;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1239,1552350668
4610004;1;2;1;50;05;1;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;05;1239,1552350668
4610005;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1382,80916287757
4610005;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1382,80916287757
4610006;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1251,06733116538
4610006;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1251,06733116538
4610006;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1251,06733116538
4610006;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1251,06733116538
4610007;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1112,04618735726
4610007;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1112,04618735726
4610007;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1112,04618735726
4610008;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1090,5615825751
4610008;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1090,5615825751
4610008;1;3;1;50;05;1; ; ;2;6;PASEANDO;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1090,5615825751
4610009;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;990,124075539984
4610009;1;2;1;50;05;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;990,124075539984
4610009;1;3;1;50;05;1; ; ;3;6;ESTABA EN HOSPITAL;2;1; ; ; ; ; ; ; ; ; ; ;05; ;1;05;990,124075539984
4610009;1;4;1;50;05;1; ; ;4;6;ESTAR EN EL HOSPITAL CON LA ESPOSA;2;1; ; ; ; ; ; ; ; ; ; ;05; ;1;05;990,124075539984
4610010;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;940,169977665291
4610010;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;940,169977665291
4610010;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;940,169977665291
4610011;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;934,577008961856
4610012;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1207,91632585141
4610013;1;1;1;50;05;1;6; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;05;845,583929548881
4610013;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;845,583929548881
4610013;1;3;1;50;05;1;2; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;05;845,583929548881
4610014;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1038,31936666204
4610014;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1038,31936666204
4610015;1;1;1;50;05;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;05;1047,63338513034
4610015;1;2;1;50;05;1; ; ;2;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1047,63338513034
4610015;1;3;1;50;05;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1047,63338513034
4610016;1;1;1;50;05;1; ; ;1;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;934,577008961856
4610017;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1023,31159815956
4610017;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1023,31159815956
4610018;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1225,10256352574
4610018;1;2;1;50;05;1; ; ;2;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1225,10256352574
4610018;1;3;1;50;05;1; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1225,10256352574
4610018;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1225,10256352574
4610018;1;5;1;50;05;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1225,10256352574
4610019;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;810,305143440941
4610019;1;2;1;50;05;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;810,305143440941
4610019;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;810,305143440941
4610020;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1090,5615825751
4610020;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1090,5615825751
4610020;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1090,5615825751
4610021;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1168,18420088639
4610021;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1168,18420088639
4610022;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;706,562785740757
4610022;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;706,562785740757
4610023;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1158,87018241809
4610024;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;1;7; ;1;1; ;2;1;05;1;1;05;804,61139340676
4610024;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;804,61139340676
4610024;1;3;1;50;05;1;2; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;05;804,61139340676
4610024;1;4;1;50;05;1; ; ;4;3; ;2;2;2;2;1;9; ; ; ; ; ; ;05;2;1;05;804,61139340676
4610025;1;1;1;50;05;1; ; ;1;6;VER TV;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1173,87795092057
4610026;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1177,49821935469
4610026;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1177,49821935469
4610026;1;3;1;50;05;1;2; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05; ;1;05;1177,49821935469
4610027;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1232,41755796775
4610027;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1232,41755796775
4610028;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;632,735183714793
4610028;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;632,735183714793
4610028;1;3;1;50;05;1; ; ;3;4; ;2;2;2;2;1;10; ; ; ; ; ; ;05;2;1;05;632,735183714793
4610028;1;4;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;632,735183714793
4610029;1;1;1;50;05;1; ; ;1;6;DORMIR Y PASIAR;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1262,61254011827
4610029;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1262,61254011827
4610030;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;1318,5758057962
4610030;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05; ;1;05;1318,5758057962
4610031;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05; ;1;05;845,583929548881
